,La Paz,La Paz,La Paz,Cochabamba,Cochabamba,Cochabamba,Santa Cruz,Santa Cruz,Santa Cruz,Oruro,Oruro,Oruro,Potosi,Potosi,Potosi,Tarija,Tarija,Tarija,Chuquisaca,Chuquisaca,Chuquisaca,Beni,Beni,Beni,Pando,Pando,Pando
,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica,Primera,Segunda,Unica
2021-02-02,12,0,0,278,0,0,647,0,0,26,0,0,138,0,0,90,0,0,122,0,0,6,0,0,270,0,0
2021-02-03,361,0,0,687,0,0,1264,0,0,106,0,0,203,0,0,200,0,0,303,0,0,48,0,0,388,0,0
2021-02-04,1030,0,0,1044,0,0,1393,0,0,195,0,0,293,0,0,362,0,0,304,0,0,63,0,0,488,0,0
2021-02-05,1783,0,0,1369,0,0,1638,0,0,300,0,0,396,0,0,711,0,0,529,0,0,154,0,0,550,0,0
2021-02-06,1859,0,0,1369,0,0,1638,0,0,412,0,0,396,0,0,712,0,0,530,0,0,170,0,0,550,0,0
2021-02-07,1859,0,0,1369,0,0,1638,0,0,499,0,0,396,0,0,712,0,0,530,0,0,199,0,0,550,0,0
2021-02-08,1938,0,0,1525,0,0,1879,0,0,700,0,0,432,0,0,783,0,0,690,0,0,408,0,0,550,0,0
2021-02-09,1987,0,0,1666,0,0,2200,0,0,715,0,0,463,0,0,825,0,0,776,0,0,570,0,0,550,0,0
2021-02-10,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-11,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-12,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-13,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-14,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-15,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-16,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-17,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-18,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-19,2006,0,0,1674,0,0,2218,0,0,715,0,0,816,0,0,825,0,0,776,0,0,587,0,0,550,0,0
2021-02-20,2009,12,0,1674,0,0,2218,0,0,715,0,0,826,0,0,825,0,0,881,0,0,603,0,0,550,0,0
2021-02-21,2009,12,0,1674,0,0,2218,0,0,715,0,0,826,0,0,825,0,0,881,0,0,603,0,0,550,0,0
2021-02-22,2009,12,0,1674,24,0,2218,0,0,715,0,0,826,54,0,825,25,0,881,10,0,603,0,0,550,85,0
2021-02-23,2009,31,0,1674,166,0,2218,244,0,715,25,0,826,123,0,825,74,0,881,122,0,603,6,0,550,239,0
2021-02-24,2009,264,0,1674,588,0,2218,619,0,715,99,0,826,173,0,825,224,0,881,276,0,603,42,0,550,349,0
2021-02-25,2043,1918,0,1674,1320,0,3629,1664,0,917,281,0,826,265,0,856,401,0,881,299,0,603,43,0,550,439,0
2021-02-26,2043,1918,0,1674,1320,0,3629,1664,0,917,281,0,826,265,0,856,401,0,881,299,0,603,43,0,550,439,0
2021-02-27,3717,1918,0,1674,1320,0,7453,1664,0,4063,402,0,827,365,0,1221,672,0,1875,524,0,649,221,0,733,515,0
2021-02-28,3717,1918,0,1674,1320,0,7453,1664,0,4063,402,0,827,365,0,1221,672,0,1875,524,0,649,221,0,733,515,0
2021-03-01,3717,1918,0,1674,1320,0,7453,1664,0,4063,402,0,827,365,0,1221,672,0,1875,524,0,649,221,0,733,515,0
2021-03-02,12047,1918,0,4749,1625,0,11036,1810,0,5571,697,0,1533,566,0,3462,795,0,5405,767,0,1448,469,0,1204,515,0
2021-03-03,12047,1918,0,4749,1625,0,11036,1810,0,5571,697,0,1533,566,0,3462,795,0,5405,767,0,1448,469,0,1204,515,0
2021-03-04,12047,1918,0,4749,1625,0,11036,1810,0,5571,697,0,1533,566,0,3462,795,0,5405,767,0,1448,469,0,1204,515,0
2021-03-05,12047,1918,0,4749,1625,0,11036,1810,0,5571,697,0,1533,566,0,3462,795,0,5405,767,0,1448,469,0,1204,515,0
2021-03-06,23147,1918,0,16364,1664,0,24235,2147,0,6149,700,0,4995,721,0,6516,803,0,8577,823,0,4861,486,0,1553,523,0
2021-03-07,23589,1918,0,16435,1664,0,24295,2147,0,6151,700,0,5028,721,0,6519,803,0,8629,823,0,4921,486,0,1553,523,0
2021-03-08,24431,1918,0,17494,1664,0,26242,2147,0,6436,700,0,5197,740,0,6703,803,0,8961,823,0,5170,507,0,1602,528,0
2021-03-09,25568,1918,0,18542,1664,0,29448,2148,0,6611,700,0,5603,774,0,7044,805,0,9272,823,0,5448,510,0,1674,528,0
2021-03-10,27254,1918,0,20285,1664,0,31858,2154,0,6821,700,0,6035,776,0,7559,805,0,9721,823,0,5719,510,0,1759,528,0
2021-03-11,28436,1918,0,21453,1664,0,33224,2158,0,6966,700,0,6321,788,0,7992,810,0,10247,861,0,5881,511,0,1828,528,0
2021-03-12,29585,1918,0,22558,1664,0,34211,2159,0,7109,700,0,6596,788,0,8482,810,0,10676,869,0,6016,511,0,1966,532,0
2021-03-13,29871,1918,0,22732,1664,0,34241,2159,0,7109,700,0,6596,788,0,8568,810,0,10723,869,0,6022,511,0,1974,532,0
