fecha,vacuna_fabricante,dosis,departamento,cantidad
2021-07-13,astrazeneca,1ra_dosis,beni,47663.0
2021-07-13,astrazeneca,1ra_dosis,chuquisaca,8014.0
2021-07-13,astrazeneca,1ra_dosis,cochabamba,31823.0
2021-07-13,astrazeneca,1ra_dosis,la paz,45094.0
2021-07-13,astrazeneca,1ra_dosis,oruro,8040.0
2021-07-13,astrazeneca,1ra_dosis,pando,19084.0
2021-07-13,astrazeneca,1ra_dosis,potosi,10153.0
2021-07-13,astrazeneca,1ra_dosis,santa cruz,38701.0
2021-07-13,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-13,astrazeneca,2da_dosis,beni,6204.0
2021-07-13,astrazeneca,2da_dosis,chuquisaca,1852.0
2021-07-13,astrazeneca,2da_dosis,cochabamba,16070.0
2021-07-13,astrazeneca,2da_dosis,la paz,10140.0
2021-07-13,astrazeneca,2da_dosis,oruro,4202.0
2021-07-13,astrazeneca,2da_dosis,pando,4162.0
2021-07-13,astrazeneca,2da_dosis,potosi,1193.0
2021-07-13,astrazeneca,2da_dosis,santa cruz,5596.0
2021-07-13,astrazeneca,2da_dosis,tarija,2591.0
2021-07-13,pfizer,1ra_dosis,beni,0.0
2021-07-13,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-13,pfizer,1ra_dosis,cochabamba,17586.0
2021-07-13,pfizer,1ra_dosis,la paz,29504.0
2021-07-13,pfizer,1ra_dosis,oruro,8750.0
2021-07-13,pfizer,1ra_dosis,pando,0.0
2021-07-13,pfizer,1ra_dosis,potosi,0.0
2021-07-13,pfizer,1ra_dosis,santa cruz,26520.0
2021-07-13,pfizer,1ra_dosis,tarija,5890.0
2021-07-13,pfizer,2da_dosis,beni,0.0
2021-07-13,pfizer,2da_dosis,chuquisaca,7822.0
2021-07-13,pfizer,2da_dosis,cochabamba,16828.0
2021-07-13,pfizer,2da_dosis,la paz,26938.0
2021-07-13,pfizer,2da_dosis,oruro,8226.0
2021-07-13,pfizer,2da_dosis,pando,0.0
2021-07-13,pfizer,2da_dosis,potosi,0.0
2021-07-13,pfizer,2da_dosis,santa cruz,25035.0
2021-07-13,pfizer,2da_dosis,tarija,5664.0
2021-07-13,sinopharm,1ra_dosis,beni,32548.0
2021-07-13,sinopharm,1ra_dosis,chuquisaca,77828.0
2021-07-13,sinopharm,1ra_dosis,cochabamba,239461.0
2021-07-13,sinopharm,1ra_dosis,la paz,315717.0
2021-07-13,sinopharm,1ra_dosis,oruro,65645.0
2021-07-13,sinopharm,1ra_dosis,pando,13558.0
2021-07-13,sinopharm,1ra_dosis,potosi,65634.0
2021-07-13,sinopharm,1ra_dosis,santa cruz,408556.0
2021-07-13,sinopharm,1ra_dosis,tarija,111986.0
2021-07-13,sinopharm,2da_dosis,beni,25201.0
2021-07-13,sinopharm,2da_dosis,chuquisaca,40562.0
2021-07-13,sinopharm,2da_dosis,cochabamba,128666.0
2021-07-13,sinopharm,2da_dosis,la paz,169789.0
2021-07-13,sinopharm,2da_dosis,oruro,34430.0
2021-07-13,sinopharm,2da_dosis,pando,8756.0
2021-07-13,sinopharm,2da_dosis,potosi,36826.0
2021-07-13,sinopharm,2da_dosis,santa cruz,181372.0
2021-07-13,sinopharm,2da_dosis,tarija,43119.0
2021-07-13,sputnik-v,1ra_dosis,beni,18184.0
2021-07-13,sputnik-v,1ra_dosis,chuquisaca,50023.0
2021-07-13,sputnik-v,1ra_dosis,cochabamba,148923.0
2021-07-13,sputnik-v,1ra_dosis,la paz,190805.0
2021-07-13,sputnik-v,1ra_dosis,oruro,42541.0
2021-07-13,sputnik-v,1ra_dosis,pando,7720.0
2021-07-13,sputnik-v,1ra_dosis,potosi,43294.0
2021-07-13,sputnik-v,1ra_dosis,santa cruz,247002.0
2021-07-13,sputnik-v,1ra_dosis,tarija,37893.0
2021-07-13,sputnik-v,2da_dosis,beni,599.0
2021-07-13,sputnik-v,2da_dosis,chuquisaca,870.0
2021-07-13,sputnik-v,2da_dosis,cochabamba,1664.0
2021-07-13,sputnik-v,2da_dosis,la paz,1961.0
2021-07-13,sputnik-v,2da_dosis,oruro,714.0
2021-07-13,sputnik-v,2da_dosis,pando,542.0
2021-07-13,sputnik-v,2da_dosis,potosi,822.0
2021-07-13,sputnik-v,2da_dosis,santa cruz,2160.0
2021-07-13,sputnik-v,2da_dosis,tarija,815.0
2021-07-14,astrazeneca,1ra_dosis,beni,47854.0
2021-07-14,astrazeneca,1ra_dosis,chuquisaca,8015.0
2021-07-14,astrazeneca,1ra_dosis,cochabamba,31825.0
2021-07-14,astrazeneca,1ra_dosis,la paz,45108.0
2021-07-14,astrazeneca,1ra_dosis,oruro,8042.0
2021-07-14,astrazeneca,1ra_dosis,pando,19086.0
2021-07-14,astrazeneca,1ra_dosis,potosi,10154.0
2021-07-14,astrazeneca,1ra_dosis,santa cruz,38712.0
2021-07-14,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-14,astrazeneca,2da_dosis,beni,6789.0
2021-07-14,astrazeneca,2da_dosis,chuquisaca,2593.0
2021-07-14,astrazeneca,2da_dosis,cochabamba,17450.0
2021-07-14,astrazeneca,2da_dosis,la paz,12592.0
2021-07-14,astrazeneca,2da_dosis,oruro,4579.0
2021-07-14,astrazeneca,2da_dosis,pando,4889.0
2021-07-14,astrazeneca,2da_dosis,potosi,1715.0
2021-07-14,astrazeneca,2da_dosis,santa cruz,7450.0
2021-07-14,astrazeneca,2da_dosis,tarija,2823.0
2021-07-14,janssen,dosis_unica,beni,0.0
2021-07-14,janssen,dosis_unica,chuquisaca,0.0
2021-07-14,janssen,dosis_unica,cochabamba,0.0
2021-07-14,janssen,dosis_unica,la paz,182.0
2021-07-14,janssen,dosis_unica,oruro,0.0
2021-07-14,janssen,dosis_unica,pando,0.0
2021-07-14,janssen,dosis_unica,potosi,0.0
2021-07-14,janssen,dosis_unica,santa cruz,0.0
2021-07-14,janssen,dosis_unica,tarija,0.0
2021-07-14,pfizer,1ra_dosis,beni,0.0
2021-07-14,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-14,pfizer,1ra_dosis,cochabamba,17589.0
2021-07-14,pfizer,1ra_dosis,la paz,29522.0
2021-07-14,pfizer,1ra_dosis,oruro,8750.0
2021-07-14,pfizer,1ra_dosis,pando,0.0
2021-07-14,pfizer,1ra_dosis,potosi,0.0
2021-07-14,pfizer,1ra_dosis,santa cruz,26520.0
2021-07-14,pfizer,1ra_dosis,tarija,5890.0
2021-07-14,pfizer,2da_dosis,beni,0.0
2021-07-14,pfizer,2da_dosis,chuquisaca,7822.0
2021-07-14,pfizer,2da_dosis,cochabamba,16849.0
2021-07-14,pfizer,2da_dosis,la paz,27094.0
2021-07-14,pfizer,2da_dosis,oruro,8241.0
2021-07-14,pfizer,2da_dosis,pando,0.0
2021-07-14,pfizer,2da_dosis,potosi,0.0
2021-07-14,pfizer,2da_dosis,santa cruz,25070.0
2021-07-14,pfizer,2da_dosis,tarija,5664.0
2021-07-14,sinopharm,1ra_dosis,beni,32888.0
2021-07-14,sinopharm,1ra_dosis,chuquisaca,79969.0
2021-07-14,sinopharm,1ra_dosis,cochabamba,241051.0
2021-07-14,sinopharm,1ra_dosis,la paz,318983.0
2021-07-14,sinopharm,1ra_dosis,oruro,67139.0
2021-07-14,sinopharm,1ra_dosis,pando,13626.0
2021-07-14,sinopharm,1ra_dosis,potosi,67448.0
2021-07-14,sinopharm,1ra_dosis,santa cruz,409919.0
2021-07-14,sinopharm,1ra_dosis,tarija,115657.0
2021-07-14,sinopharm,2da_dosis,beni,25438.0
2021-07-14,sinopharm,2da_dosis,chuquisaca,40697.0
2021-07-14,sinopharm,2da_dosis,cochabamba,130042.0
2021-07-14,sinopharm,2da_dosis,la paz,170803.0
2021-07-14,sinopharm,2da_dosis,oruro,34494.0
2021-07-14,sinopharm,2da_dosis,pando,8865.0
2021-07-14,sinopharm,2da_dosis,potosi,37106.0
2021-07-14,sinopharm,2da_dosis,santa cruz,184156.0
2021-07-14,sinopharm,2da_dosis,tarija,43470.0
2021-07-14,sputnik-v,1ra_dosis,beni,18581.0
2021-07-14,sputnik-v,1ra_dosis,chuquisaca,51164.0
2021-07-14,sputnik-v,1ra_dosis,cochabamba,156553.0
2021-07-14,sputnik-v,1ra_dosis,la paz,198786.0
2021-07-14,sputnik-v,1ra_dosis,oruro,42541.0
2021-07-14,sputnik-v,1ra_dosis,pando,7754.0
2021-07-14,sputnik-v,1ra_dosis,potosi,43504.0
2021-07-14,sputnik-v,1ra_dosis,santa cruz,265965.0
2021-07-14,sputnik-v,1ra_dosis,tarija,37892.0
2021-07-14,sputnik-v,2da_dosis,beni,599.0
2021-07-14,sputnik-v,2da_dosis,chuquisaca,870.0
2021-07-14,sputnik-v,2da_dosis,cochabamba,1664.0
2021-07-14,sputnik-v,2da_dosis,la paz,1980.0
2021-07-14,sputnik-v,2da_dosis,oruro,744.0
2021-07-14,sputnik-v,2da_dosis,pando,542.0
2021-07-14,sputnik-v,2da_dosis,potosi,822.0
2021-07-14,sputnik-v,2da_dosis,santa cruz,2160.0
2021-07-14,sputnik-v,2da_dosis,tarija,815.0
2021-07-15,astrazeneca,1ra_dosis,beni,48104.0
2021-07-15,astrazeneca,1ra_dosis,chuquisaca,8014.0
2021-07-15,astrazeneca,1ra_dosis,cochabamba,31826.0
2021-07-15,astrazeneca,1ra_dosis,la paz,45126.0
2021-07-15,astrazeneca,1ra_dosis,oruro,8043.0
2021-07-15,astrazeneca,1ra_dosis,pando,19090.0
2021-07-15,astrazeneca,1ra_dosis,potosi,10155.0
2021-07-15,astrazeneca,1ra_dosis,santa cruz,38702.0
2021-07-15,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-15,astrazeneca,2da_dosis,beni,7378.0
2021-07-15,astrazeneca,2da_dosis,chuquisaca,3284.0
2021-07-15,astrazeneca,2da_dosis,cochabamba,18498.0
2021-07-15,astrazeneca,2da_dosis,la paz,15198.0
2021-07-15,astrazeneca,2da_dosis,oruro,5206.0
2021-07-15,astrazeneca,2da_dosis,pando,5623.0
2021-07-15,astrazeneca,2da_dosis,potosi,2099.0
2021-07-15,astrazeneca,2da_dosis,santa cruz,9405.0
2021-07-15,astrazeneca,2da_dosis,tarija,3145.0
2021-07-15,janssen,dosis_unica,beni,0.0
2021-07-15,janssen,dosis_unica,chuquisaca,0.0
2021-07-15,janssen,dosis_unica,cochabamba,0.0
2021-07-15,janssen,dosis_unica,la paz,493.0
2021-07-15,janssen,dosis_unica,oruro,0.0
2021-07-15,janssen,dosis_unica,pando,0.0
2021-07-15,janssen,dosis_unica,potosi,0.0
2021-07-15,janssen,dosis_unica,santa cruz,118.0
2021-07-15,janssen,dosis_unica,tarija,0.0
2021-07-15,pfizer,1ra_dosis,beni,0.0
2021-07-15,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-15,pfizer,1ra_dosis,cochabamba,17591.0
2021-07-15,pfizer,1ra_dosis,la paz,29517.0
2021-07-15,pfizer,1ra_dosis,oruro,8750.0
2021-07-15,pfizer,1ra_dosis,pando,0.0
2021-07-15,pfizer,1ra_dosis,potosi,0.0
2021-07-15,pfizer,1ra_dosis,santa cruz,26520.0
2021-07-15,pfizer,1ra_dosis,tarija,5890.0
