Fecha,Maynas,Ucayali,Datem del Maranon,Requena,Putumayo,Loreto,Alto Amazonas,Ramon Castilla
2020/04/07,189,0,2,1,0,13,1,0
2020/04/08,267,0,4,1,,17,,
2020/04/09,,,,,,,,
2020/04/10,,,,,,,,
2020/04/11,,,,,,,,
2020/04/12,,,,,,,,
2020/04/13,309,,4,1,,17,1,
2020/04/14,,,,,,,,
2020/04/15,347,,4,1,,21,2,
2020/04/16,403,,5,1,,22,4,
2020/04/17,453,,5,1,,22,4,
2020/04/18,,,,,,,,
2020/04/19,,,,,,,,
2020/04/20,581,,5,1,,22,8,2
2020/04/21,,,,,,,,
2020/04/22,,,,,,,,
2020/04/23,,,,,,,,
2020/04/24,699,1,5,1,,24,8,4
2020/04/25,738,1,5,1,,24,9,10
2020/04/26,777,1,5,1,,24,8,10
2020/04/27,829,1,5,1,,24,9,12
2020/04/28,947,1,6,1,,26,10,12
2020/04/29,,,,,,,,
2020/04/30,1286,1,6,2,,27,12,21
2020/05/04,1436,1,8,4,,36,12,23
2020/05/05,,,,,,,,
2020/05/06,1458,8,8,4,1,38,32,27
2020/05/07,,,,,,,,
2020/05/08,,,,,,,,
2020/05/09,,,,,,,,
2020/05/10,,,,,,,,
2020/05/11,,,,,,,,
2020/05/12,,,,,,,,
2020/05/13,,,,,,,,
2020/05/14,1853,30,32,50,1,114,128,108
2020/05/15,,,,,,,,
2020/05/16,,,,,,,,
2020/05/17,,,,,,,,
2020/05/18,,,,,,,,
2020/05/19,,,,,,,,
2020/05/20,,,,,,,,
2020/05/21,,,,,,,,
2020/05/22,,,,,,,,
2020/05/23,,,,,,,,
2020/05/24,,,,,,,,
2020/05/25,,,,,,,,
2020/05/26,,,,,,,,
2020/05/27,,,,,,,,
2020/05/28,,,,,,,,
2020/05/29,,,,,,,,
2020/05/30,,,,,,,,
2020/05/31,4122,280,164,109,4,332,302,386
2020/06/14,8798,438,436,341,72,922,531,955
2020/06/15,,,,,,,,
2020/06/16,9616,527,453,341,92,964,624,1088
2020/06/17,,,,,,,,
2020/06/18,10409,540,535,343,98,1085,665,1135
2020/06/19,,,,,,,,
2020/06/20,,,,,,,,
2020/06/21,10983,558,557,354,141,1101,745,1154
2020/06/22,11241,559,581,354,150,1119,765,1197
2020/06/23,,,,,,,,
2020/06/24,11815,599,597,363,170,1147,824,1224
2020/06/25,12079,605,646,366,170,1168,854,1240
2020/06/26,,,,,,,,
2020/06/27,,,,,,,,
2020/06/28,12528,606,706,373,172,1275,890,1309
2020/06/29,12673,608,714,386,175,1389,923,1325
2020/06/30,12840,619,725,389,177,1427,933,1326
2020/07/01,13116,621,834,391,182,1491,975,1331
2020/07/02,13396,622,942,393,183,1543,1067,1340
2020/07/03,13618,623,994,399,185,1570,1083,1342
2020/07/04,13750,628,1026,397,203,1615,1134,1343
2020/07/05,,,,,,,,
2020/07/06,,,,,,,,
2020/07/07,14198,643,1126,415,267,2360,1284,1364
2020/07/08,14343,645,1213,416,291,2486,1342,1369
2020/07/09,14596,667,1305,418,292,2589,1408,1382
2020/07/10,14945,723,1445,425,318,2626,1970,1440
2020/07/11,,,,,,,,
2020/07/12,15311,740,1570,430,335,2637,2105,1501
2020/07/13,15462,748,1606,437,345,2669,2132,1503
2020/07/14,15912,755,1751,479,371,2733,2213,1518
2020/07/15,16138,784,1859,489,552,2786,2297,1613
2020/07/16,16241,798,1885,544,562,2851,2317,1746
2020/07/17,17001,805,1999,606,577,2991,2372,1798
2020/07/18,,,,,,,,
2020/07/19,17389,804,2098,601,577,3099,2432,1798
