,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
2019-01,1338,813,1132,253,368,247,273,131,19
2019-02,1266,709,887,214,303,203,242,130,13
2019-03,1331,788,1024,251,351,222,265,136,16
2019-04,1314,766,995,228,291,227,219,164,22
2019-05,1372,813,970,252,354,198,221,161,16
2019-06,1503,815,983,275,340,204,265,144,16
2019-07,1496,904,1080,277,368,256,283,167,23
2019-08,1434,839,1069,252,378,220,247,178,19
2019-09,1354,793,975,241,295,207,239,185,13
2019-10,1345,821,1033,227,337,227,243,150,22
2019-11,1209,707,815,248,254,226,244,138,20
2019-12,1348,865,1115,267,345,250,280,183,20
2020-01,1443,852,1218,252,353,222,285,187,16
2020-02,1329,753,1104,241,306,201,219,185,26
2020-03,1332,800,1342,211,274,227,244,163,22
2020-04,1088,576,591,198,181,141,171,67,10
2020-05,1213,670,1308,192,251,174,196,334,15
2020-06,1787,1425,3422,333,321,188,229,464,54
2020-07,7451,2757,2339,1148,693,360,548,463,117
2020-08,4608,1403,1498,742,972,506,641,233,34
2020-09,1695,784,1156,302,434,337,321,149,31
2020-10,1449,821,1196,283,406,287,305,168,17
2020-11,1383,852,1150,242,343,228,231,160,12
2020-12,1600,757,1139,264,324,239,247,160,26
2021-01,4372,1029,1787,495,543,284,334,234,48
2021-02,2643,952,1391,452,476,296,290,200,33
2021-03,1835,1007,1309,393,435,361,319,267,39
2021-04,1513,1025,1265,304,338,261,259,298,60
2021-05,2041,2006,2144,648,466,345,397,257,33
2021-06,2634,2377,2443,672,705,348,510,230,23
2021-07,2330,1433,1953,375,663,367,550,223,26
2021-08,1913,1117,1497,348,545,338,419,183,18
2021-09,1640,976,1242,323,428,272,310,182,22
