Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
2019-01,1338,813,1132,253,368,247,273,131,19
2019-02,1266,709,887,214,303,203,242,130,13
2019-03,1331,788,1024,251,351,222,265,136,16
2019-04,1314,766,995,228,291,227,219,164,22
2019-05,1372,813,970,252,354,198,221,161,16
2019-06,1503,815,983,275,340,204,265,144,16
2019-07,1496,904,1080,277,368,256,283,167,23
2019-08,1434,839,1069,252,378,220,247,178,19
2019-09,1354,793,975,241,295,207,239,185,13
2019-10,1345,821,1033,227,337,227,243,150,22
2019-11,1209,707,815,248,254,226,244,138,20
2019-12,1348,865,1115,267,345,250,280,183,20
2020-01,1443,852,1218,252,353,222,285,187,16
2020-02,1355,773,1115,248,320,203,240,188,23
2020-03,1193,728,1268,191,273,214,218,156,21
2020-04,63,1,9,23,5,16,38,1,2
2020-05,1348,620,890,235,255,165,205,23,18
2020-06,2651,1743,3053,398,371,194,286,135,20
2020-07,7260,2491,3658,1095,711,472,491,1123,143
2020-08,4914,2080,1891,831,900,523,727,403,54
2020-09,2162,1162,1558,435,769,423,479,287,42
2020-10,1564,954,1384,314,508,318,337,223,24
2020-11,1402,924,1226,284,401,240,268,205,13
