fecha,0,1,2,3,4,5,6,7
2020-03-01,3.0,1.25,4.0,1.75,2.5,2.0,1.0,2.25
2020-03-08,3.0,3.25,3.0,3.75,1.75,4.0,3.75,4.25
2020-03-15,16.0,15.75,15.0,16.5,16.25,15.0,13.5,18.75
2020-03-22,12.75,20.0,15.0,13.5,17.5,12.25,15.25,25.5
2020-03-29,12.75,17.25,8.5,11.0,17.0,11.0,15.0,13.0
2020-04-05,11.25,9.25,11.5,12.75,9.25,10.0,10.5,7.25
2020-04-12,18.5,15.5,17.25,13.0,13.75,15.25,16.0,16.75
2020-04-19,20.25,21.0,16.75,14.0,19.25,16.5,15.0,23.25
2020-04-26,12.5,18.75,12.0,10.25,16.25,14.0,10.75,20.5
2020-05-03,16.0,12.25,11.25,8.0,7.75,11.75,9.75,8.25
2020-05-10,14.0,19.5,13.25,14.25,16.5,14.5,15.75,19.75
2020-05-17,22.75,19.25,22.5,20.5,31.25,20.75,22.25,23.0
2020-05-24,27.0,27.5,23.75,24.25,28.0,23.0,24.5,29.0
2020-05-31,17.0,21.0,16.0,15.0,20.0,15.0,18.0,21.5
2020-06-07,29.75,28.5,25.0,22.25,28.5,25.5,27.0,31.5
2020-06-14,30.5,32.75,24.75,23.25,45.0,26.75,28.0,33.0
2020-06-21,37.5,40.75,38.25,36.0,48.0,39.5,39.75,43.0
2020-06-28,31.75,43.25,29.0,30.5,43.0,25.5,30.25,40.0
2020-07-05,32.0,37.25,29.25,28.75,31.0,30.25,31.0,37.75
2020-07-12,43.75,49.5,41.75,40.25,48.25,42.5,43.0,52.0
2020-07-19,63.0,64.5,56.75,68.5,66.0,67.25,59.0,60.25
2020-07-26,66.25,80.5,66.5,63.0,80.0,64.5,63.5,77.25
2020-08-02,80.25,88.5,75.25,68.25,81.0,76.0,77.75,79.0
2020-08-09,69.5,91.25,80.75,76.0,80.5,74.0,70.75,77.0
2020-08-16,86.25,76.5,76.25,81.25,71.0,79.25,73.5,80.0
2020-08-23,70.0,61.25,67.5,67.25,53.25,60.5,50.5,57.0
2020-08-30,67.25,69.75,61.0,54.0,70.5,58.0,62.75,62.75
2020-09-06,53.25,70.25,53.0,57.5,63.0,53.5,58.0,68.0
2020-09-13,54.25,65.25,56.5,55.5,74.0,56.25,62.5,59.0
2020-09-20,52.5,48.75,59.25,51.0,49.75,56.25,43.25,47.25
2020-09-27,42.0,43.5,43.75,41.75,46.75,37.0,31.25,37.0
2020-10-04,43.75,44.0,39.0,41.0,45.25,43.75,41.75,52.0
2020-10-11,52.25,63.25,48.5,40.75,59.5,47.75,57.5,59.5
2020-10-18,42.5,44.75,32.25,33.0,51.75,38.75,36.75,53.25
2020-10-25,33.75,34.0,32.75,34.75,36.25,30.5,28.0,28.25
2020-11-01,41.75,29.25,38.0,38.5,37.75,38.75,31.5,27.25
2020-11-08,45.5,42.5,33.0,35.75,33.5,34.75,37.0,47.5
2020-11-15,37.25,54.25,33.75,39.5,52.5,36.0,41.25,52.0
2020-11-22,30.75,32.5,36.75,30.5,26.75,33.75,27.25,31.25
2020-11-29,36.5,38.5,32.0,33.5,35.25,33.25,30.25,36.5
2020-12-06,47.0,44.0,40.75,45.25,51.0,53.0,43.25,44.0
2020-12-13,46.5,42.0,48.25,52.75,41.25,55.5,47.0,42.75
2020-12-20,68.25,54.5,67.75,62.75,56.75,65.25,63.0,71.25
2020-12-27,90.0,91.75,90.0,99.25,94.0,92.75,93.0,100.0
2021-01-03,89.5,93.75,87.25,90.75,99.75,82.5,82.5,92.0
2021-01-10,75.75,66.75,60.5,74.0,73.5,65.75,58.75,80.75
2021-01-17,66.25,80.75,71.0,59.5,79.0,63.0,68.5,74.25
2021-01-24,60.25,66.25,58.25,67.25,65.25,65.5,55.25,52.75
2021-01-31,66.0,69.0,60.0,60.0,71.25,54.5,57.75,69.75
2021-02-07,42.5,60.75,45.75,39.25,63.5,43.0,46.75,62.75
2021-02-14,45.75,56.75,38.75,36.5,53.25,46.0,47.75,56.25
