fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,7.25,0.0,2.75,6.5,0.0,10.75,8.75,0.0
2020-03-22,5.75,0.0,5.0,0.0,0.0,9.5,2.0,0.0
2020-03-29,0.0,8.75,0.0,0.0,5.25,0.0,0.0,6.0
2020-04-05,0.0,6.0,0.0,0.0,3.0,0.0,2.25,2.5
2020-04-12,5.5,10.75,2.25,5.25,5.25,5.5,10.25,5.5
2020-04-19,0.0,0.0,0.0,0.0,5.75,0.0,0.0,2.75
2020-04-26,9.0,9.25,2.75,6.0,11.0,6.0,8.25,6.5
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,12.5,3.5,5.25,13.5,8.0,9.0,2.25,3.25
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,12.5,0.0,10.75,19.0,0.0,13.75,13.25,0.0
2020-05-31,0.0,9.75,0.0,0.0,19.75,0.0,2.5,20.75
2020-06-07,0.0,7.0,0.0,0.0,3.0,0.0,2.5,0.0
2020-06-14,12.75,0.0,5.0,13.75,0.0,5.75,3.25,0.0
2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,0.0,19.25,0.0,0.0,9.0,0.0,2.5,18.0
2020-07-05,9.25,6.5,2.25,16.5,9.5,6.25,5.5,11.0
2020-07-12,7.25,20.75,8.25,4.0,37.0,8.25,19.75,49.0
2020-07-19,6.75,8.25,5.5,7.25,13.25,10.0,2.5,3.75
2020-07-26,10.5,7.0,11.75,0.0,9.25,0.0,9.25,3.5
2020-08-02,6.5,9.75,10.75,9.5,9.75,6.75,16.75,7.5
2020-08-09,3.25,0.0,6.0,4.0,0.0,6.0,0.0,0.0
2020-08-16,0.0,0.0,6.0,0.0,12.75,7.0,2.5,3.75
2020-08-23,0.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0
2020-08-30,46.75,20.25,42.25,37.75,27.75,52.5,21.0,29.75
2020-09-06,33.75,25.0,20.5,41.0,30.5,41.5,30.25,31.75
2020-09-13,25.25,6.5,42.5,41.75,30.5,54.75,29.5,10.0
2020-09-20,25.75,53.75,13.0,15.25,62.75,15.5,24.0,24.25
2020-09-27,9.25,0.0,0.0,0.0,0.0,5.5,5.5,0.0
2020-10-04,6.75,36.5,7.5,13.5,40.0,5.75,13.0,44.5
2020-10-11,10.5,13.5,19.25,22.75,16.75,10.25,17.25,22.25
2020-10-18,51.0,33.75,41.75,43.0,28.25,66.25,34.75,18.0
2020-10-25,36.0,47.25,70.5,41.5,71.75,53.75,42.25,57.5
2020-11-01,55.0,58.5,48.75,58.5,61.25,51.75,54.75,71.5
2020-11-08,37.5,24.0,32.75,40.25,29.0,47.0,28.25,24.75
2020-11-15,12.25,29.5,2.75,9.25,22.25,12.25,10.5,21.25
2020-11-22,7.0,41.25,10.0,6.75,46.25,15.0,14.0,42.5
2020-11-29,6.5,46.0,4.75,0.0,26.75,10.0,13.25,26.25
2020-12-06,25.0,37.75,21.0,22.0,48.75,18.5,23.5,42.5
2020-12-13,15.0,24.0,17.25,14.75,31.25,26.75,13.5,35.5
2020-12-20,70.0,12.5,53.75,39.5,4.5,56.5,31.5,23.5
2020-12-27,37.25,66.0,55.25,70.5,68.75,43.75,44.5,81.0
2021-01-03,81.75,70.75,100.0,79.0,79.25,82.75,77.0,91.0
2021-01-10,81.0,79.5,53.5,61.5,83.25,65.25,86.0,79.5
2021-01-17,56.0,49.5,32.25,58.25,66.25,61.5,45.25,44.25
2021-01-24,47.25,55.75,44.0,35.25,48.75,61.0,36.5,81.0
2021-01-31,59.5,7.25,48.5,65.75,7.0,46.0,39.75,8.0
2021-02-07,62.0,79.25,56.25,58.75,69.75,85.25,48.0,72.5
2021-02-14,11.0,28.75,5.0,8.25,36.0,3.5,12.5,12.75
