fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,5.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-03-15,7.75,8.0,9.5,12.75,10.5,21.0,10.25,8.5,12.5
2020-03-22,6.25,13.25,3.75,5.5,16.75,7.0,7.5,13.5,11.25
2020-03-29,7.0,2.5,3.25,12.0,6.5,11.0,8.5,6.0,9.75
2020-04-05,11.25,4.5,10.0,9.75,4.25,8.25,7.25,4.5,9.75
2020-04-12,3.5,9.0,2.75,4.5,5.75,4.75,3.5,8.25,3.75
2020-04-19,6.75,3.5,6.75,9.25,9.25,10.25,7.25,2.75,7.5
2020-04-26,3.0,10.0,0.75,0.0,6.25,3.25,4.0,11.25,2.5
2020-05-03,5.0,7.5,3.0,1.75,9.75,3.25,5.75,13.25,9.75
2020-05-10,7.75,3.0,9.0,8.25,1.75,9.75,5.5,1.75,5.0
2020-05-17,1.0,1.0,1.75,2.75,3.5,0.0,2.5,4.75,2.0
2020-05-24,4.25,6.75,1.75,0.75,6.25,4.5,3.25,5.75,3.25
2020-05-31,7.0,2.0,2.25,4.25,3.75,2.75,5.5,4.75,3.0
2020-06-07,7.5,6.5,7.5,10.0,6.25,9.75,4.75,4.75,8.25
2020-06-14,3.25,8.25,0.75,0.0,7.0,2.0,7.0,5.75,3.75
2020-06-21,23.25,13.25,20.75,15.25,16.0,20.0,16.0,14.25,13.0
2020-06-28,16.5,2.75,6.25,9.75,2.75,15.0,2.75,4.0,9.75
2020-07-05,6.0,7.25,9.0,11.0,6.0,3.5,6.75,4.5,10.0
2020-07-12,38.0,17.5,24.75,21.25,23.75,27.25,23.75,21.25,27.25
2020-07-19,20.5,19.75,15.75,25.25,22.5,20.5,21.0,25.75,12.75
2020-07-26,15.5,15.75,8.25,17.25,13.75,14.0,19.25,18.5,17.5
2020-08-02,42.5,36.25,31.75,33.75,22.25,51.5,33.75,39.5,36.75
2020-08-09,36.5,35.0,41.75,43.5,30.5,29.25,34.25,37.0,37.0
2020-08-16,50.5,65.75,37.5,50.0,55.5,46.0,40.5,62.25,56.75
2020-08-23,64.0,40.75,45.25,42.5,47.0,58.25,48.75,53.75,44.0
2020-08-30,41.5,37.0,29.25,48.0,46.75,47.0,35.0,45.0,49.5
2020-09-06,40.5,23.5,39.0,37.0,23.25,34.5,31.75,26.25,34.0
2020-09-13,34.0,39.5,29.0,31.0,38.75,44.75,30.25,29.25,39.25
2020-09-20,49.25,19.75,36.5,36.75,23.0,32.5,33.25,30.75,34.25
2020-09-27,38.5,46.75,33.0,34.25,39.0,24.5,30.25,46.25,27.25
2020-10-04,45.25,34.25,38.5,49.5,38.25,36.0,34.5,37.25,41.25
2020-10-11,95.25,66.25,65.75,68.0,84.75,79.75,66.5,80.25,68.5
2020-10-18,64.75,68.25,65.5,63.5,79.5,66.75,69.5,55.5,60.5
2020-10-25,86.75,53.5,75.75,92.75,73.0,74.5,73.5,59.75,75.0
2020-11-01,52.25,50.75,58.5,56.5,52.0,55.25,49.0,57.0,56.75
2020-11-08,50.75,39.25,44.0,46.0,41.5,49.0,41.0,39.75,36.75
2020-11-15,45.5,55.0,29.75,25.75,50.0,36.0,38.75,49.75,32.0
2020-11-22,49.0,21.25,37.75,46.0,28.0,42.0,37.0,41.5,43.0
2020-11-29,34.0,25.25,29.0,24.75,27.0,38.0,31.0,28.25,25.75
2020-12-06,35.25,35.5,34.5,27.25,28.5,33.25,26.25,31.0,47.0
2020-12-13,35.25,39.0,30.5,30.0,39.0,38.25,29.5,46.25,35.5
2020-12-20,56.75,36.75,50.5,51.75,31.75,42.25,39.0,37.5,45.5
2020-12-27,71.25,86.75,71.5,61.25,87.75,81.0,80.5,72.0,60.5
2021-01-03,84.75,98.0,92.75,90.5,85.5,100.0,86.25,91.25,99.0
2021-01-10,76.5,69.75,61.75,76.0,75.0,73.25,65.75,90.25,73.0
2021-01-17,66.5,57.5,58.25,61.75,53.75,72.0,64.5,69.75,74.75
2021-01-24,35.0,30.5,37.0,50.25,36.75,55.25,33.0,46.5,46.0
2021-01-31,42.5,29.25,31.25,35.25,24.0,38.5,34.25,31.25,38.25
2021-02-07,47.5,21.75,36.0,44.0,20.0,41.75,30.25,16.5,43.5
2021-02-14,34.25,29.75,30.0,28.75,29.25,22.0,26.0,36.0,26.0
