,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,12.0,14.5,6.25,0.0,5.75,0.0,6.5,0.0,0.0,0.0,0.0,0.0,5.75,8.75,8.25,6.75,0.0,0.0,4.0,16.0,15.5,20.5,6.75,6.5,15.75,24.0,20.25,10.75,6.5,34.0,16.75,10.75,20.25,13.25,2.75,6.25,7.5,12.25,21.75,0.0,11.5,45.75,94.5,73.5,40.0,0.0,3.0,16.5,15.25,
1,0.0,0.0,22.0,4.5,4.25,0.0,27.0,0.0,3.75,0.0,6.75,15.5,0.0,0.0,21.5,9.0,17.0,11.5,0.0,3.5,16.25,8.25,7.25,3.0,13.5,22.0,20.5,26.25,16.25,14.75,9.0,49.25,18.0,0.0,0.0,5.75,17.0,0.0,11.0,19.0,0.0,0.0,4.75,15.0,79.25,90.25,68.0,32.5,35.75,40.0,64.25,
2,0.0,0.0,12.5,19.5,13.5,6.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,16.75,4.0,6.75,18.5,0.0,0.0,4.5,8.5,20.5,30.25,4.25,4.25,14.75,25.0,29.75,9.25,7.5,41.75,27.25,21.25,30.0,17.5,7.5,13.75,0.0,4.0,14.5,2.75,14.5,55.75,88.5,77.75,58.5,0.0,4.75,3.25,26.5,
3,0.0,0.0,14.75,2.5,5.25,4.5,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,2.0,2.75,2.25,0.0,0.0,0.0,0.0,2.75,12.75,18.5,5.75,12.75,5.5,9.5,13.0,5.0,0.0,32.5,16.5,5.5,23.25,11.75,2.5,9.75,5.0,5.25,14.0,4.75,3.0,41.25,97.5,83.0,27.75,5.0,5.5,8.25,18.75,
4,0.0,0.0,26.5,0.0,9.25,0.0,17.5,0.0,7.5,0.0,8.75,8.0,0.0,0.0,15.75,9.25,13.75,10.75,0.0,0.0,23.75,15.25,23.25,0.0,6.25,12.25,15.75,18.25,34.0,22.25,18.25,49.5,4.75,0.0,0.0,0.0,22.0,23.25,17.75,27.0,0.0,0.0,18.25,20.25,72.0,67.25,68.75,70.25,28.5,29.25,32.5,
5,0.0,0.0,8.75,0.0,4.75,7.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,11.25,0.0,9.75,5.0,0.0,0.0,5.5,18.5,24.75,36.25,2.75,10.25,15.0,15.0,27.25,12.75,10.0,15.0,26.0,8.0,21.25,18.25,2.5,0.0,7.5,7.0,5.25,5.0,24.0,56.5,94.25,96.0,33.0,8.25,5.75,22.75,32.0,
6,0.0,0.0,14.25,0.0,0.0,0.0,8.25,0.0,6.0,0.0,9.0,0.0,0.0,0.0,21.0,9.0,5.5,9.75,0.0,10.5,10.5,16.5,18.75,0.0,3.25,6.5,12.25,12.25,20.0,16.0,6.5,12.25,2.5,0.0,5.25,5.25,0.0,9.75,9.75,14.0,2.75,0.0,11.75,16.75,88.0,75.0,78.5,31.5,17.5,25.25,39.75,
7,0.0,0.0,20.5,7.5,10.0,0.0,13.5,0.0,0.0,0.0,7.0,3.75,0.0,0.0,17.0,0.0,3.25,7.75,0.0,0.0,20.75,8.25,19.0,10.75,0.0,11.5,19.25,6.75,26.0,7.5,7.5,42.25,11.25,0.0,0.0,16.0,6.75,4.0,22.25,6.5,0.0,0.0,9.5,12.75,86.5,100.0,67.75,65.75,42.75,58.5,34.75,
8,0.0,0.0,8.75,12.75,13.25,7.5,3.0,4.0,3.25,0.0,0.0,0.0,0.0,0.0,17.25,11.0,12.25,3.5,0.0,0.0,13.0,21.75,17.0,10.75,7.75,3.5,11.75,11.25,6.75,11.25,8.0,33.25,15.0,8.5,14.75,8.0,7.5,6.75,11.75,10.75,7.25,0.0,5.25,29.25,96.5,81.75,63.75,13.0,13.0,12.25,41.5,
9,,5.75,17.5,10.25,5.25,4.25,14.0,9.0,4.75,0.0,0.0,10.75,0.0,0.0,30.25,14.75,7.75,24.0,0.0,13.5,19.25,17.0,14.75,11.75,0.0,0.0,22.75,24.0,15.0,18.5,7.75,34.75,6.0,5.0,9.25,14.0,12.0,12.0,21.25,22.25,5.25,3.0,6.0,41.0,75.75,81.5,48.5,47.5,19.75,40.25,52.75,47.75
