,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,9.0,13.0,4.25,7.25,7.5,11.25,2.5,1.75,0.0,0.0,7.5,0.0,1.75,12.0,25.75,36.5,20.75,29.0,46.5,84.25,46.25,86.5,73.75,83.5,62.75,65.5,39.0,30.75,31.75,8.0,27.0,12.5,5.5,9.5,13.0,6.5,14.25,6.25,14.75,11.25,32.75,18.0,12.75,12.0,9.25,8.75,17.75,14.0,29.0,
1,3.0,0.0,4.5,15.25,12.25,1.25,0.0,4.25,13.0,2.25,0.0,3.0,0.0,3.25,2.5,1.25,20.0,28.5,9.25,34.25,57.75,56.0,68.5,69.25,54.75,86.5,90.75,49.75,56.0,35.25,16.75,0.0,15.75,16.5,22.5,14.25,1.5,1.75,5.75,11.0,8.0,3.5,13.25,5.0,23.5,19.5,38.25,19.25,12.75,26.0,25.25,
2,0.0,0.0,11.0,28.0,4.25,12.25,9.75,7.75,6.25,6.25,0.0,0.0,5.75,1.5,3.5,9.5,18.5,30.0,18.25,33.25,41.25,80.75,31.75,92.0,66.25,85.5,65.25,82.0,54.5,48.75,20.0,15.75,17.0,14.75,3.5,7.0,10.0,13.75,20.75,5.0,19.75,9.5,31.75,20.5,4.5,22.75,10.5,2.5,20.75,15.5,31.75,
3,0.0,0.0,16.5,19.75,4.0,6.5,9.0,5.5,3.0,2.75,0.0,0.0,9.5,1.25,1.75,10.5,17.75,29.75,20.75,30.75,41.0,68.0,31.0,79.25,42.75,82.5,44.5,81.5,43.0,33.0,26.0,11.5,23.0,7.25,3.25,11.25,18.25,6.5,20.0,4.0,15.25,9.25,27.0,18.5,13.0,17.75,8.5,13.25,21.25,14.5,29.75,
4,4.25,0.0,2.0,17.0,9.0,5.25,2.75,4.5,16.75,3.25,3.25,3.25,1.25,3.25,3.75,15.0,27.5,13.75,12.0,30.75,56.0,71.5,73.25,74.25,75.75,74.75,95.5,43.5,62.75,25.5,16.75,4.5,14.25,16.5,15.5,16.25,7.75,4.5,1.5,1.75,5.0,5.25,12.25,8.75,15.0,22.0,33.5,9.75,10.25,11.75,24.25,
5,0.0,0.0,9.0,18.5,6.5,7.25,12.75,6.0,1.5,2.75,0.0,0.0,5.5,2.0,3.5,16.0,17.25,32.75,20.0,28.5,42.5,90.0,43.75,84.0,51.0,80.75,66.25,88.0,47.5,37.25,30.25,19.5,25.0,10.0,8.75,9.0,13.75,11.5,26.0,1.75,9.5,5.5,24.75,21.25,19.5,11.5,3.75,16.0,18.0,9.5,37.0,
6,0.0,0.0,12.75,18.75,14.0,12.75,4.5,3.0,2.75,4.5,0.0,1.5,5.25,5.0,0.0,11.0,25.5,34.5,23.0,39.0,39.25,79.0,60.75,88.5,55.75,94.0,80.0,53.5,51.0,32.75,22.75,11.75,21.25,12.0,10.0,11.75,4.75,11.75,6.75,4.75,9.5,14.25,21.75,10.5,13.25,16.5,14.0,10.0,14.5,21.75,28.25,
7,0.0,0.0,2.0,20.5,6.75,9.5,0.0,6.5,12.0,6.5,0.0,3.5,0.0,1.75,0.0,16.0,31.0,26.25,8.75,17.5,60.5,59.25,82.5,73.25,75.25,95.0,86.0,53.75,51.5,32.0,23.25,5.75,11.5,29.0,21.25,17.5,1.75,7.75,5.25,12.75,8.5,6.0,14.0,7.25,15.0,19.5,21.25,8.75,13.5,16.5,19.5,
8,0.0,0.0,1.5,14.25,2.75,6.0,11.25,5.5,5.75,2.5,3.25,0.0,4.25,2.0,4.75,14.75,22.25,18.5,20.5,31.0,44.25,66.25,49.75,89.5,77.0,83.25,59.0,62.25,44.5,39.0,24.75,8.25,20.25,25.75,9.25,10.25,12.25,3.0,16.0,8.5,1.75,5.0,14.75,18.0,6.5,23.5,22.0,8.0,9.75,7.25,26.75,
9,,0.0,10.0,19.75,10.0,9.75,6.75,5.5,3.0,2.75,0.0,0.0,6.0,3.25,1.75,10.75,23.25,29.0,17.5,40.0,46.75,92.5,51.0,74.25,50.5,89.5,79.5,55.5,45.75,45.5,25.25,14.25,31.75,15.25,8.75,10.0,9.5,12.5,15.25,4.5,12.0,11.75,18.5,8.25,7.75,18.75,12.5,16.0,9.25,19.5,30.25,19.25
10,,0.0,4.25,17.25,3.25,7.5,1.5,3.25,10.75,1.5,3.25,0.0,1.75,1.75,5.25,1.75,27.0,31.5,15.75,29.5,50.5,66.0,71.25,58.75,60.5,86.5,98.5,48.75,65.25,33.25,29.25,5.5,11.25,20.75,15.0,11.25,8.5,1.75,5.5,7.25,8.25,3.75,7.0,0.0,20.25,23.5,26.5,15.75,6.0,14.0,32.25,23.0
11,,0.0,14.75,13.25,6.75,3.75,6.25,9.5,6.0,4.0,0.0,1.5,4.75,1.75,1.5,10.0,20.25,30.25,16.25,19.25,49.75,65.5,43.75,82.5,53.5,88.25,68.0,66.25,37.25,33.25,34.25,14.0,13.25,9.25,4.75,7.75,9.25,1.5,10.0,6.25,10.5,11.0,15.5,9.75,8.5,9.5,9.5,15.0,11.0,13.5,24.25,18.25
12,,0.0,11.75,19.0,8.5,8.25,4.0,4.0,1.25,1.25,0.0,0.0,6.0,5.0,3.25,9.25,21.5,26.5,15.0,16.25,56.75,69.25,50.5,79.5,52.25,79.0,69.75,53.75,38.25,38.75,28.75,11.75,20.25,15.5,11.0,10.75,5.25,5.75,19.75,1.5,8.0,12.5,30.25,21.0,9.5,12.25,11.0,8.0,12.75,21.5,35.5,21.75
