,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04
0,0.0,3.0,5.75,8.0,2.25,3.0,3.25,5.5,11.5,4.25,2.25,0.75,4.0,0.0,2.25,7.25,9.25,0.0,2.5,7.25,6.75,10.25,7.25,5.75,10.25,9.5,16.25,13.0,8.5,12.5,17.75,11.75,17.0,14.25,11.25,15.25,10.5,16.75,3.5,11.5,25.25,46.25,65.5,79.25,100.0,64.25,42.0,32.0,45.5,39.25,29.75,,,,,,,
1,0.0,0.0,2.0,5.25,1.5,10.0,0.75,9.75,8.25,6.5,4.75,4.0,6.75,8.75,6.25,2.75,2.0,3.0,0.0,12.25,11.5,4.0,8.25,2.0,0.0,4.5,5.25,2.5,12.75,9.25,13.25,20.5,12.25,24.75,23.0,20.75,7.75,15.0,13.25,10.5,23.75,32.25,61.0,97.75,79.75,74.75,61.0,33.0,36.75,37.0,30.0,,,,,,,
2,0.0,2.25,6.5,7.5,3.0,4.0,3.0,2.25,9.0,8.5,2.25,2.75,2.5,0.75,0.0,6.0,8.5,0.0,3.5,5.5,6.25,6.0,11.75,7.5,7.5,8.75,13.5,8.75,12.0,19.75,19.75,16.5,17.25,8.25,9.75,19.0,10.5,14.5,7.5,10.5,20.0,44.25,63.5,80.25,92.5,70.25,43.5,37.5,53.0,39.25,27.0,,,,,,,
3,0.0,2.0,3.75,6.25,0.75,0.75,3.0,4.0,12.25,3.0,2.5,2.25,2.5,2.25,1.5,7.75,8.75,0.0,1.75,9.0,1.0,7.25,8.5,9.0,6.0,5.0,14.5,12.25,6.25,18.5,16.0,12.5,21.0,14.0,14.25,17.25,13.75,14.5,3.0,9.5,18.5,38.0,65.25,71.25,100.0,67.0,40.5,30.0,45.0,38.5,39.75,,,,,,,
4,0.0,3.0,6.75,4.75,1.5,3.0,3.0,3.0,11.25,5.5,4.0,0.75,2.75,0.0,1.75,8.75,10.25,0.0,2.75,8.75,5.0,7.75,10.75,9.75,10.0,6.25,16.25,13.0,11.25,20.0,17.25,15.25,24.25,11.5,12.0,21.0,10.5,15.25,7.75,11.0,22.75,44.0,72.25,81.75,94.5,64.0,38.5,34.25,47.75,34.75,39.0,,,,,,,
5,0.0,1.0,5.5,1.5,0.75,2.25,1.5,2.0,10.25,8.25,3.5,1.75,1.5,2.25,1.5,8.5,8.25,0.0,1.75,6.5,7.75,5.75,10.75,10.25,5.25,8.75,14.5,6.0,11.75,12.75,11.75,15.0,18.75,12.25,10.0,18.25,11.25,13.0,4.75,8.75,16.25,33.5,65.75,71.0,100.0,66.5,52.0,36.0,45.5,36.5,41.5,,,,,,,
6,0.0,0.0,4.75,4.5,2.5,7.75,1.75,4.75,11.75,5.75,4.25,3.75,2.5,3.0,5.25,3.5,4.25,0.0,1.0,10.25,9.5,5.5,9.25,4.25,2.5,5.25,13.5,8.5,10.0,14.75,11.75,13.75,15.5,15.0,12.25,18.25,4.25,14.0,11.0,10.0,19.25,38.25,75.25,90.25,84.75,62.75,55.0,27.0,57.75,42.0,32.5,,,,,,,
7,0.0,0.0,2.5,5.25,0.0,9.75,0.0,5.25,5.0,5.5,8.5,0.75,3.25,6.5,4.75,0.0,2.25,0.75,0.0,7.5,13.75,4.75,3.25,3.75,2.5,5.5,6.25,0.0,10.0,4.0,14.25,23.25,8.25,17.5,20.0,20.5,7.0,8.0,10.5,12.0,12.5,29.75,50.25,82.5,83.5,63.5,43.25,32.5,32.75,41.5,30.75,,,,,,,
8,0.0,0.0,1.5,1.5,1.5,4.5,5.75,8.25,10.0,5.75,3.75,1.5,5.25,3.0,8.5,5.25,6.75,1.5,1.5,7.75,11.0,4.25,10.0,4.5,4.5,2.25,9.75,3.75,9.75,9.25,13.5,13.5,9.25,19.5,12.75,14.0,11.25,13.25,10.0,9.75,17.25,30.25,45.5,86.25,100.0,65.25,37.75,33.5,33.25,34.5,37.75,,,,,,,
9,,1.0,3.5,3.25,2.25,3.0,2.0,4.25,8.5,6.25,4.0,2.25,1.75,0.75,2.75,6.75,8.0,0.0,1.0,6.0,7.25,4.5,7.25,9.5,8.25,9.0,14.75,8.75,6.0,12.0,17.0,8.5,12.5,10.0,10.75,13.25,12.0,15.25,5.0,7.75,15.0,40.0,69.5,80.25,98.75,45.25,47.0,36.75,43.75,29.5,33.75,49.0,,,,,,
