,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,3.5,4.5,10.25,5.25,13.5,6.25,18.5,2.75,5.0,1.75,2.75,8.5,13.75,8.5,11.75,13.25,12.25,10.5,15.75,4.5,7.75,14.75,34.25,52.5,57.5,38.75,59.0,41.0,51.25,50.25,60.5,87.0,58.25,73.25,42.75,13.5,32.25,6.5,43.75,29.0,34.75,45.75,87.75,53.75,39.0,41.0,70.5,41.0,55.25,26.0,
1,0.0,0.0,12.75,4.5,3.25,12.5,2.5,8.25,7.75,7.0,10.75,9.5,16.75,1.5,0.0,12.5,13.5,14.75,3.0,7.0,5.25,10.0,24.25,45.0,39.5,32.0,62.25,84.5,73.25,63.75,63.25,48.75,53.25,97.75,79.75,40.0,30.0,39.5,18.75,16.5,38.5,41.0,43.0,71.5,69.5,55.5,18.25,32.0,44.5,28.5,22.25,
2,0.0,5.0,13.25,19.25,9.0,12.25,13.0,9.0,4.75,6.25,2.75,0.0,9.0,9.75,13.75,20.25,20.25,14.5,9.25,19.5,4.75,10.5,11.25,25.75,43.25,71.5,36.5,54.75,46.5,48.0,35.25,58.5,86.75,58.75,77.5,38.25,10.75,24.5,11.0,30.25,28.25,38.0,63.75,89.25,35.75,57.0,50.25,67.5,54.5,58.5,29.75,
3,0.0,3.5,10.0,14.0,7.5,12.5,10.25,10.75,0.0,9.25,1.75,3.0,15.5,12.0,12.75,14.5,20.0,9.0,18.0,21.5,1.5,7.0,14.75,28.5,54.0,55.75,46.0,51.0,48.5,52.25,47.0,55.0,89.0,55.25,64.5,28.25,15.25,19.25,15.25,40.0,35.25,23.25,64.75,78.25,55.25,56.75,44.25,54.0,61.25,58.75,47.25,
4,0.0,2.0,9.0,18.25,14.5,22.25,20.5,13.0,3.5,6.5,3.25,3.5,14.5,17.25,14.5,14.25,13.5,17.25,13.75,25.0,8.5,9.25,15.25,27.75,40.0,73.0,48.5,60.75,54.5,50.25,53.75,58.5,67.25,56.25,86.0,38.0,17.25,39.5,2.0,50.75,21.75,48.5,62.0,100.0,65.5,71.25,49.25,57.25,53.0,40.0,24.0,
5,0.0,7.0,12.25,16.75,10.0,13.75,13.75,15.75,3.25,7.75,1.75,2.5,10.5,16.25,11.75,16.5,16.75,6.25,16.25,21.0,1.75,5.75,10.75,35.75,47.0,68.5,53.5,53.25,45.0,41.75,42.5,53.25,89.25,60.5,86.0,33.75,11.25,35.5,17.25,25.25,25.25,56.5,61.75,75.25,51.0,50.25,48.75,54.0,45.25,43.5,28.25,
6,0.0,4.0,22.75,9.5,12.0,19.75,13.25,8.5,0.0,6.0,3.5,0.0,14.25,16.5,17.75,14.25,22.0,13.25,9.5,21.25,6.5,9.75,12.75,28.25,39.5,59.0,55.0,84.0,59.25,40.0,50.25,56.25,75.25,69.75,83.5,40.0,15.75,34.25,9.25,30.75,25.25,47.0,75.75,80.0,55.5,46.5,45.0,66.25,64.75,68.5,30.75,
7,0.0,0.0,6.75,13.25,8.25,8.5,14.0,11.0,4.75,5.75,8.75,0.0,31.5,4.25,0.0,6.5,7.5,19.75,3.5,9.5,10.25,12.75,27.25,25.5,40.75,44.75,70.5,77.0,87.25,70.5,83.75,60.0,80.5,70.25,70.75,24.0,37.25,23.75,30.75,17.0,26.25,48.75,53.0,83.75,65.5,50.75,19.0,56.5,47.5,27.75,17.25,
8,0.0,0.0,6.75,11.75,3.0,7.0,12.5,11.5,2.75,2.75,6.5,8.5,14.25,4.25,6.25,8.75,14.25,9.5,2.75,18.0,10.5,12.5,27.5,35.5,33.25,33.5,61.0,66.75,62.75,58.0,65.5,64.75,62.25,64.0,70.5,29.0,25.25,20.75,20.0,26.0,17.25,32.0,52.25,76.5,70.0,51.5,23.5,44.5,43.75,22.25,23.25,
9,,0.0,5.25,7.5,13.0,8.5,16.0,7.5,7.25,7.25,5.75,5.75,16.5,7.0,5.75,10.5,18.25,8.75,14.0,19.25,8.0,13.25,14.0,36.0,39.5,56.5,44.25,55.0,67.0,47.5,59.75,57.5,81.5,79.5,60.0,41.0,26.5,26.0,15.75,19.5,23.5,44.25,73.0,80.0,58.0,70.5,29.0,60.25,48.75,44.0,30.25,18.0
