,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,9.0,6.75,6.25,2.75,14.25,23.5,22.25,13.0,6.25,3.25,1.5,6.25,8.75,1.5,4.75,34.0,4.75,9.75,25.75,22.5,15.0,53.5,61.75,50.0,73.5,74.25,47.75,34.25,69.25,45.75,51.5,84.5,62.25,41.5,31.25,32.5,34.0,19.5,18.25,22.5,40.5,52.5,54.25,86.5,82.5,55.5,47.5,49.5,36.5,7.25,,
1,0.0,0.0,8.0,4.0,8.0,7.0,11.5,12.0,8.25,1.0,5.0,6.25,6.75,4.25,7.75,6.25,13.5,24.75,2.25,11.25,16.5,9.0,44.0,40.0,38.0,51.5,48.75,53.75,40.25,62.0,54.25,68.5,52.0,53.5,62.75,22.25,39.25,22.5,25.75,26.25,18.75,41.25,57.75,63.25,88.0,46.5,45.75,63.75,36.25,13.75,44.25,,
2,0.0,7.5,6.0,10.0,0.0,5.75,22.5,17.0,9.0,9.0,2.75,3.25,1.25,12.25,4.75,6.25,10.75,1.25,5.5,18.75,23.25,27.75,33.75,56.75,61.0,79.25,76.25,64.25,56.75,69.5,46.5,43.5,46.5,50.75,55.0,30.25,29.5,31.5,23.75,13.0,19.5,40.25,43.5,54.75,57.75,79.0,51.5,64.0,68.0,38.25,9.5,,
3,0.0,5.75,8.25,7.75,0.0,11.75,20.0,14.0,9.5,8.75,1.5,5.0,3.25,4.5,1.5,7.75,17.0,3.25,10.0,21.25,32.25,23.0,59.0,57.5,56.75,66.0,82.25,76.25,52.75,70.75,51.75,58.25,54.25,71.0,53.5,26.25,40.0,22.5,18.5,26.0,20.75,56.5,37.25,52.25,77.0,87.25,60.5,50.25,64.5,33.75,11.5,,
4,0.0,10.25,6.5,7.5,0.0,8.5,39.5,14.0,1.5,10.0,3.25,8.5,10.75,8.5,0.0,11.0,28.5,3.25,17.0,32.25,28.5,26.75,56.5,68.5,61.25,51.5,71.75,81.0,50.5,67.25,50.0,69.25,85.25,57.25,65.5,30.25,45.5,34.75,31.5,25.75,30.25,63.5,46.75,69.75,93.0,75.0,57.0,50.0,78.0,41.0,12.5,,
5,0.0,2.0,10.5,8.0,3.25,12.25,36.5,12.25,4.75,15.25,1.5,4.75,6.5,7.75,0.0,6.25,32.75,1.5,11.5,23.0,23.5,17.25,57.25,66.0,56.75,63.25,73.0,70.75,35.75,60.25,54.75,46.0,83.75,47.25,72.0,30.25,27.0,19.25,22.75,17.0,25.25,62.75,36.25,54.5,72.75,75.25,59.25,63.75,45.75,41.0,11.25,,
6,0.0,0.0,5.5,3.5,4.5,11.5,14.75,17.25,12.0,4.5,3.5,7.0,11.75,16.75,8.0,7.0,25.75,23.5,9.0,27.25,27.0,16.75,68.0,47.5,65.25,64.25,76.25,74.75,36.0,69.75,66.75,58.5,84.75,65.5,71.75,32.75,33.25,32.25,26.0,42.25,18.75,65.0,58.25,64.0,91.5,62.25,59.25,58.75,44.25,52.0,26.0,,
7,0.0,0.0,8.75,5.25,0.0,7.25,5.25,17.5,5.5,1.25,10.75,9.25,5.0,3.75,6.5,10.75,16.75,18.5,4.5,9.0,15.0,5.75,64.5,36.75,25.25,47.25,50.75,45.0,35.5,64.25,75.5,53.75,49.0,70.0,77.25,22.75,26.0,33.5,36.75,50.5,14.5,44.5,45.75,46.25,96.75,34.25,42.0,56.25,21.0,36.25,28.75,,
8,0.0,3.75,9.0,6.25,4.5,16.5,15.25,12.25,12.5,4.5,1.5,6.25,4.75,5.75,9.0,6.5,24.0,4.5,3.25,19.25,23.0,22.0,59.5,54.75,53.25,66.5,61.75,65.5,50.75,62.25,69.0,64.75,76.25,63.25,66.25,37.75,43.5,31.5,31.75,37.25,32.75,56.5,42.75,46.25,85.75,63.5,60.0,47.0,39.0,35.5,18.5,,
9,,2.0,3.75,6.25,7.75,13.5,18.25,14.25,14.75,3.5,1.5,4.75,6.25,10.25,6.5,5.25,26.75,9.25,7.75,20.5,23.5,21.5,59.25,70.5,42.5,73.75,69.25,70.75,50.0,68.75,70.0,65.75,66.0,68.25,67.5,32.25,44.5,38.75,27.25,36.0,22.5,59.5,65.75,69.0,75.25,52.0,47.75,51.5,58.0,40.0,24.75,24.25,
10,,0.0,3.5,7.75,10.5,16.25,15.5,13.5,9.25,1.5,4.75,4.5,4.5,1.5,9.25,1.5,32.0,20.25,5.0,15.5,10.5,18.5,64.25,49.25,41.5,60.0,53.0,52.25,46.5,76.25,61.0,75.25,51.5,72.5,88.75,30.5,44.5,42.5,24.0,49.5,33.5,51.0,64.25,56.0,82.5,45.25,45.5,58.0,43.75,27.5,29.75,34.75,
11,,1.75,10.25,7.75,0.0,8.5,16.75,12.25,10.5,9.5,0.0,4.75,1.0,8.0,2.75,2.25,22.25,3.0,6.0,23.25,15.0,19.25,44.75,50.25,51.5,66.25,63.25,48.5,41.0,57.25,50.5,46.25,66.0,55.5,37.0,27.0,30.75,33.5,22.0,15.5,26.0,46.5,42.0,61.5,82.0,72.0,45.75,44.25,46.0,21.0,10.75,24.75,
12,,1.5,7.75,6.25,5.0,11.0,18.0,11.5,5.5,2.75,6.0,1.25,6.25,6.0,2.75,7.5,23.75,10.25,3.25,20.5,17.75,17.5,60.0,40.0,63.0,66.5,62.25,68.5,48.0,72.75,47.25,57.0,62.5,66.5,72.75,33.75,35.25,30.25,21.25,30.5,11.5,34.0,62.5,55.5,81.5,73.75,41.75,57.25,41.0,30.25,19.0,25.0,
