,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,5.25,1.5,3.0,0.0,2.0,2.5,8.75,2.5,1.5,0.5,5.5,3.5,3.5,2.25,2.0,2.5,8.5,14.0,14.5,6.5,17.75,29.25,33.5,46.0,65.75,100.0,70.5,42.0,33.0,36.5,27.25,18.75,10.0,10.5,7.75,14.5,4.0,11.0,2.5,15.5,8.5,14.25,22.0,22.0,9.0,8.75,10.5,10.25,13.0,
1,0.0,0.0,3.0,3.25,3.75,3.0,2.25,6.25,8.0,0.0,0.75,3.25,0.0,1.5,3.25,2.0,5.0,6.5,7.5,26.5,13.75,15.0,34.0,67.0,71.75,73.25,92.25,91.0,95.5,73.5,26.25,24.5,35.0,24.25,29.0,22.25,20.25,12.75,17.5,8.0,8.75,10.75,22.25,24.0,14.75,23.5,16.25,19.75,8.75,26.25,11.25,
2,0.0,0.0,3.75,2.0,3.5,1.5,3.0,5.5,7.0,1.0,1.5,0.5,2.75,3.75,1.0,0.0,2.25,1.5,8.75,11.5,11.0,7.0,22.5,32.5,25.25,50.75,60.0,100.0,62.25,45.75,38.75,24.5,22.0,15.5,7.25,7.0,7.75,18.25,1.25,12.0,2.75,10.25,9.25,12.5,12.5,14.0,9.25,7.5,6.25,11.25,17.0,
3,0.0,0.0,6.25,2.5,3.0,3.5,1.5,6.0,9.0,3.0,2.0,0.5,3.0,3.75,3.0,1.75,1.25,3.75,8.75,9.5,8.75,9.5,20.25,34.25,30.5,51.5,69.25,100.0,57.0,39.5,26.5,34.75,20.75,14.25,6.25,10.5,10.75,10.5,2.5,11.25,2.5,11.25,8.75,8.5,19.75,16.25,18.0,9.5,8.75,11.0,14.5,
4,0.0,0.0,0.75,4.25,0.5,3.0,2.75,5.75,5.25,1.0,0.5,1.25,1.25,2.75,4.5,2.75,1.25,3.0,8.75,13.75,11.25,12.25,26.25,57.25,49.0,58.0,77.5,95.0,78.25,62.25,29.75,24.75,29.75,21.25,8.5,16.75,15.25,10.0,9.0,8.75,8.5,8.75,15.5,20.75,20.5,15.25,17.0,13.75,10.75,15.25,16.75,
5,0.0,0.0,4.5,1.5,1.75,1.5,2.0,6.25,8.0,2.0,0.5,1.75,1.5,1.5,1.75,2.25,1.25,2.0,8.5,10.25,10.25,4.75,23.75,28.25,27.25,52.0,63.0,100.0,57.25,42.5,35.5,35.25,21.0,14.0,4.5,8.0,7.5,17.25,4.0,11.25,1.25,13.0,9.0,7.5,15.5,16.5,18.75,9.75,6.25,13.0,15.75,
6,0.0,0.0,4.75,2.0,5.25,3.25,2.25,3.25,3.5,1.5,0.0,1.5,1.5,3.5,2.0,2.5,2.5,3.75,8.5,13.25,10.25,12.5,23.25,51.0,46.25,60.25,73.0,94.0,76.25,58.25,33.5,26.25,25.25,22.0,20.0,17.0,13.75,13.25,7.75,11.5,8.75,14.0,12.0,13.0,17.0,13.25,13.0,15.0,9.25,13.25,12.0,
7,0.0,0.0,5.5,2.75,0.5,1.25,2.0,6.5,5.0,0.0,1.5,0.0,0.0,0.0,3.0,5.0,4.25,6.25,11.25,24.75,11.0,17.0,30.25,73.25,68.75,75.25,94.75,83.5,95.75,68.25,32.5,27.25,20.25,18.75,27.0,24.0,20.25,15.75,19.0,4.25,6.5,13.75,18.5,31.5,11.75,20.75,21.25,19.5,8.5,29.5,15.25,
8,0.0,0.0,6.25,2.75,1.5,0.0,3.25,3.25,5.0,0.0,2.5,1.75,2.0,3.5,2.0,4.0,3.75,3.5,4.5,11.25,12.75,9.5,17.5,40.75,41.25,63.25,66.25,98.75,67.0,51.0,29.25,27.25,23.25,19.0,16.0,16.0,6.25,9.25,6.5,10.0,5.0,15.25,15.5,15.5,18.5,26.25,13.75,16.0,10.25,7.25,9.25,
9,,0.0,5.0,1.5,3.25,3.5,3.5,3.75,6.0,1.0,2.25,0.5,1.25,1.25,3.75,1.5,3.0,5.75,6.0,20.75,10.75,9.25,27.75,40.0,41.0,56.5,76.25,95.25,85.0,53.0,32.0,26.25,25.75,20.5,15.5,13.25,12.75,14.0,10.5,9.25,4.5,10.5,13.5,18.0,9.5,15.25,21.75,12.25,10.25,16.25,15.75,18.25
10,,0.0,2.5,4.5,3.75,3.5,2.75,4.5,5.0,0.0,2.25,0.75,0.0,0.75,4.0,2.25,7.25,5.75,6.0,25.75,17.75,13.25,32.5,58.5,60.5,70.75,95.75,90.0,85.0,61.0,26.5,24.5,27.25,22.75,22.75,21.0,16.75,11.25,20.0,4.0,6.25,10.0,21.25,23.0,7.0,16.25,20.5,16.25,11.5,18.5,14.75,19.5
11,,0.0,6.75,2.0,1.0,0.5,1.75,3.5,6.0,1.0,0.75,0.0,1.75,2.5,1.25,2.5,5.0,5.5,8.75,12.0,14.5,6.5,31.5,44.0,48.25,50.75,68.5,84.5,82.0,55.25,30.5,29.25,21.75,24.0,15.5,10.75,16.75,12.25,4.5,11.0,8.5,8.75,17.75,13.25,17.0,20.25,14.0,13.5,11.5,13.5,17.0,11.5
12,,0.0,3.25,4.0,4.75,0.75,3.75,4.0,3.75,0.0,1.25,4.0,0.5,1.0,3.0,6.75,4.25,5.25,5.5,15.25,16.75,11.5,30.0,63.0,57.25,78.0,88.75,90.25,82.25,66.75,29.5,25.5,33.25,18.0,17.5,19.0,17.75,13.75,13.25,9.75,7.5,7.0,18.25,24.75,18.25,22.5,17.5,19.0,12.25,16.5,18.5,17.5
13,,0.0,4.5,4.5,3.75,2.25,3.5,4.5,4.0,0.0,1.5,1.5,0.0,2.5,2.75,4.75,8.5,12.5,11.5,20.5,22.75,6.25,39.25,47.5,53.75,72.5,75.0,90.0,97.5,77.25,28.5,27.75,24.75,27.75,16.75,19.5,23.75,12.75,16.5,8.5,10.0,11.5,21.0,27.0,15.5,23.25,16.5,23.25,7.25,14.5,11.0,10.75
14,,0.0,6.5,4.5,3.75,3.75,2.25,5.25,4.0,0.0,0.0,3.25,0.0,0.75,2.25,2.75,6.0,5.25,12.25,22.75,16.25,12.0,33.25,52.5,65.75,76.5,86.75,88.75,93.5,62.25,33.75,25.75,29.5,21.75,21.5,22.0,17.75,9.75,16.0,11.25,8.75,8.75,27.25,18.5,9.5,18.5,19.0,17.75,12.5,26.0,14.75,23.75
15,,0.0,8.5,4.25,1.0,3.0,2.0,5.75,10.5,2.0,1.5,0.5,2.75,4.75,1.5,2.0,2.25,1.25,11.25,9.25,13.75,5.75,22.0,32.5,28.25,46.75,65.5,100.0,51.75,47.5,36.25,38.0,25.5,15.25,6.25,8.25,8.25,14.5,3.75,14.0,2.75,12.25,16.25,15.75,13.75,19.25,18.0,8.5,5.5,10.0,12.25,16.0
16,,0.0,5.0,4.25,1.25,2.5,2.25,3.5,5.25,1.0,2.25,0.75,1.25,2.75,0.0,2.5,3.5,4.0,8.5,16.25,11.75,1.75,26.0,29.25,31.25,50.75,72.5,99.25,77.0,47.75,44.5,41.0,23.0,15.0,7.25,10.75,11.0,19.5,3.0,12.25,3.75,15.25,8.25,10.0,20.25,20.75,16.25,7.75,10.75,11.75,13.5,17.0
