,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,1.75,3.0,0.0,5.0,4.75,0.0,0.0,1.0,3.0,0.0,5.25,0.0,0.0,1.25,0.0,4.5,3.25,1.25,1.75,6.5,3.0,6.25,2.75,40.0,53.25,32.75,5.5,10.5,6.5,24.0,24.5,36.75,86.75,73.0,68.75,41.5,45.5,31.5,21.0,18.5,11.25,18.0,22.5,18.5,27.5,17.5,16.25,16.0,8.25,2.0,
1,0.0,0.0,17.75,0.0,0.0,3.0,3.0,10.0,1.0,4.25,2.25,0.0,5.0,5.25,0.0,2.25,3.25,0.0,0.0,1.5,15.5,5.0,9.5,3.5,43.75,63.25,15.0,23.5,32.5,5.75,23.0,15.0,72.75,100.0,68.0,56.5,41.75,28.0,29.25,30.75,25.0,29.25,22.25,54.25,32.75,30.0,5.0,15.25,36.5,22.0,6.25,
2,0.0,2.25,1.75,0.0,16.25,11.25,0.0,0.0,0.0,5.0,2.0,7.25,0.0,0.0,5.0,0.0,7.25,5.75,3.75,4.0,2.25,0.0,8.25,3.75,57.25,70.5,28.0,1.5,14.5,9.5,29.25,30.25,61.0,95.0,66.5,68.5,49.0,48.5,32.0,19.75,13.25,19.5,24.25,45.5,11.5,42.25,20.5,25.5,22.0,11.75,5.75,
3,0.0,1.75,4.5,1.25,7.5,7.0,0.0,0.0,2.5,3.75,0.0,8.25,0.0,0.0,1.25,0.0,5.75,9.75,3.5,2.25,6.25,4.75,8.0,1.75,69.75,53.25,30.75,8.5,14.5,8.5,43.0,27.25,37.0,94.25,64.5,61.25,50.25,38.25,33.5,26.75,13.5,21.5,28.0,18.5,23.0,42.5,16.0,20.75,12.75,6.0,5.5,
4,0.0,0.0,11.25,0.0,5.0,4.25,3.5,10.25,1.5,7.5,1.0,1.25,2.5,1.5,0.0,4.0,2.5,0.0,0.0,1.75,9.25,9.0,8.25,3.0,28.25,36.25,25.25,21.25,28.75,4.0,13.75,8.25,46.75,93.5,63.0,47.75,32.0,26.75,34.75,11.25,20.5,10.0,16.0,41.75,26.75,22.0,12.5,20.0,31.0,14.0,9.0,
5,0.0,1.75,6.5,2.75,10.5,3.75,0.0,0.0,0.0,1.5,0.0,10.0,0.0,0.0,8.25,0.0,7.75,4.5,3.5,3.5,10.0,3.5,7.75,3.0,41.0,72.75,26.75,9.75,15.25,7.0,35.75,20.0,38.5,88.0,85.0,70.5,42.5,43.25,37.25,14.75,11.25,19.25,28.0,13.25,18.75,31.5,13.0,16.25,13.0,12.5,3.25,
6,0.0,2.0,7.75,0.0,4.25,4.25,0.0,2.5,4.5,4.25,0.0,3.0,0.0,1.25,6.25,1.25,3.5,3.25,1.75,1.5,9.0,1.75,9.75,1.5,37.75,70.5,22.25,9.25,8.5,11.5,24.0,29.75,39.25,95.5,76.75,68.5,54.5,36.0,29.5,21.5,19.0,12.25,16.25,37.0,24.25,24.0,19.75,13.5,20.25,17.75,5.5,
7,0.0,0.0,14.75,0.0,9.75,4.75,1.25,6.25,1.5,4.75,1.75,5.5,5.5,1.5,0.0,3.25,1.5,0.0,0.0,6.5,13.25,16.25,4.75,0.0,36.75,44.25,22.75,21.75,28.5,3.25,30.0,19.0,55.0,100.0,73.5,57.75,38.0,27.5,35.25,23.5,16.75,25.25,27.5,54.0,36.5,11.0,18.25,21.0,28.75,29.25,10.0,
8,0.0,1.75,12.75,1.5,5.75,3.0,1.75,6.0,1.5,5.25,5.25,1.75,1.75,3.5,4.5,1.75,1.75,1.5,0.0,3.75,10.0,5.75,5.75,0.0,47.25,51.25,32.25,21.0,28.5,10.75,17.25,20.0,62.75,99.25,84.25,70.5,37.0,33.5,36.5,25.75,33.75,15.75,22.25,29.0,37.5,27.75,16.0,15.0,24.5,16.5,16.75,
9,,2.0,7.25,3.0,6.25,1.75,1.5,2.75,3.25,3.0,1.5,6.0,0.0,0.0,6.75,1.5,9.0,0.0,2.0,0.0,7.5,3.25,3.5,5.25,36.75,52.0,30.0,14.25,14.75,12.5,26.25,31.0,57.25,94.0,84.75,68.0,63.75,33.5,37.5,17.75,23.75,18.75,24.5,19.0,42.25,28.25,12.5,24.25,18.75,16.25,6.25,20.0
