fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,4.25,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-15,8.5,0.0,11.5,8.25,0.0,9.0,0.0,0.0
2020-03-22,3.75,2.0,12.25,10.75,4.0,9.25,6.75,1.75
2020-03-29,1.75,0.0,9.0,6.75,0.0,7.25,3.0,0.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,3.75,5.25,14.0,6.5,7.5,5.5,7.5,7.0
2020-04-19,0.0,11.75,0.0,0.0,12.5,0.0,0.0,11.0
2020-04-26,4.0,1.5,3.0,5.5,7.5,2.0,3.0,9.5
2020-05-03,6.0,0.0,7.75,1.75,0.0,9.5,9.25,0.0
2020-05-10,3.75,0.0,2.25,3.75,0.0,8.5,1.5,0.0
2020-05-17,2.25,3.0,8.0,3.5,2.25,8.25,4.25,2.0
2020-05-24,0.0,2.0,0.0,0.0,3.75,0.0,0.0,2.0
2020-05-31,4.0,1.5,3.75,5.5,0.0,6.25,1.25,0.0
2020-06-07,3.75,0.0,4.75,0.0,0.0,0.0,2.75,0.0
2020-06-14,11.25,0.0,16.5,15.75,0.0,11.0,10.75,0.0
2020-06-21,0.0,4.25,4.25,3.75,0.0,2.0,0.0,8.0
2020-06-28,0.0,5.25,0.0,0.0,9.75,0.0,0.0,10.0
2020-07-05,4.75,0.0,7.75,8.25,0.0,6.75,0.0,0.0
2020-07-12,7.5,3.75,2.25,2.25,9.75,2.75,5.0,2.25
2020-07-19,0.0,14.0,0.0,0.0,28.5,0.0,0.0,33.75
2020-07-26,13.75,28.0,19.5,15.5,33.25,16.75,6.75,41.5
2020-08-02,6.25,29.25,12.5,13.5,45.25,21.75,10.25,33.75
2020-08-09,17.75,16.25,7.25,8.25,23.5,11.25,8.25,12.75
2020-08-16,6.75,6.0,8.0,4.0,2.5,7.0,5.0,9.0
2020-08-23,28.5,18.25,23.5,35.0,12.75,33.0,15.75,22.25
2020-08-30,46.0,55.5,28.75,40.5,45.25,50.0,22.25,62.75
2020-09-06,23.0,53.0,44.0,36.5,43.0,29.5,31.75,43.5
2020-09-13,39.75,35.25,50.5,35.5,28.25,51.5,28.5,28.75
2020-09-20,63.5,71.5,39.0,57.5,72.5,69.5,36.25,72.25
2020-09-27,33.75,40.25,44.75,32.25,32.5,42.5,25.25,39.25
2020-10-04,37.25,52.0,43.5,33.25,49.25,50.25,41.25,56.5
2020-10-11,96.75,90.25,94.0,100.0,82.0,84.0,94.75,91.25
2020-10-18,56.25,72.0,60.5,50.25,79.25,54.0,43.0,62.25
2020-10-25,94.0,69.25,68.5,69.25,93.75,87.5,60.5,80.25
2020-11-01,63.25,66.0,59.25,55.25,83.75,53.5,52.5,66.5
2020-11-08,42.5,15.25,55.25,51.75,27.5,54.5,38.75,19.75
2020-11-15,46.25,38.75,39.75,27.75,53.0,43.0,43.0,48.75
2020-11-22,7.25,30.25,10.25,13.5,23.0,7.25,8.5,25.75
2020-11-29,16.0,16.25,12.5,13.0,11.5,16.25,6.75,11.25
2020-12-06,12.25,2.0,12.5,7.25,8.0,12.75,13.25,0.0
2020-12-13,9.75,28.25,6.75,18.5,18.5,19.25,12.0,36.25
2020-12-20,17.0,14.75,29.25,13.25,11.5,22.75,4.5,19.5
2020-12-27,19.25,38.75,18.25,30.25,48.25,22.0,18.0,18.75
2021-01-03,26.5,40.0,28.75,19.75,37.5,21.0,16.0,46.25
2021-01-10,46.25,32.0,64.75,41.25,27.0,41.0,43.75,28.75
2021-01-17,39.5,26.5,40.75,35.0,16.25,26.5,30.5,21.0
2021-01-24,12.75,18.5,16.5,18.75,28.75,18.25,11.0,10.0
2021-01-31,17.0,23.25,14.0,13.75,24.75,14.75,29.5,20.0
2021-02-07,24.5,23.5,20.25,20.25,35.75,19.25,10.75,38.5
2021-02-14,44.0,16.25,27.25,23.25,25.75,25.25,6.75,39.5
