fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,7.0,0.0,7.0,6.25
2020-03-15,0.0,12.5,2.75,6.0,10.0,0.0,6.5,6.25
2020-03-22,0.0,0.0,0.0,0.0,5.75,0.0,2.75,0.0
2020-03-29,9.5,5.25,5.0,7.0,2.5,5.75,2.25,8.25
2020-04-05,7.25,0.0,2.0,4.0,0.0,0.0,0.0,0.0
2020-04-12,4.5,5.25,4.5,7.25,0.0,6.5,4.75,7.75
2020-04-19,2.25,15.75,2.5,4.0,13.25,3.0,9.0,18.75
2020-04-26,0.0,5.75,0.0,0.0,5.75,0.0,6.0,6.0
2020-05-03,0.0,5.5,0.0,0.0,7.75,0.0,0.0,0.0
2020-05-10,0.0,5.0,0.0,0.0,6.0,0.0,2.75,2.5
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,0.0,8.25,0.0,0.0,3.0,0.0,3.25,6.0
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,0.0,0.0,0.0,0.0,0.0,0.0,2.75,6.0
2020-06-14,2.25,0.0,7.5,2.25,0.0,0.0,2.5,0.0
2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,4.5,9.0,4.75,5.5,0.0,0.0,8.5,11.5
2020-07-05,0.0,6.25,0.0,0.0,15.25,0.0,3.0,6.0
2020-07-12,21.75,49.5,10.5,10.75,44.0,31.75,32.25,31.5
2020-07-19,26.75,44.75,22.25,23.0,66.5,6.25,42.75,75.25
2020-07-26,29.25,28.75,29.75,38.0,18.75,30.25,21.0,43.5
2020-08-02,18.75,37.5,34.25,38.0,48.25,43.5,32.75,33.75
2020-08-09,32.5,16.75,56.25,28.75,15.0,41.75,36.5,15.25
2020-08-16,27.5,23.0,22.5,43.25,15.5,27.5,31.25,19.5
2020-08-23,11.75,46.0,8.0,21.75,45.25,12.5,23.75,59.5
2020-08-30,17.25,30.25,17.0,14.75,20.75,10.5,32.25,32.0
2020-09-06,31.0,35.25,42.25,40.25,44.75,38.0,40.5,31.5
2020-09-13,54.25,76.75,43.75,35.25,43.5,38.25,57.25,47.25
2020-09-20,36.5,36.0,45.25,31.75,25.25,35.75,48.0,57.5
2020-09-27,36.0,34.5,45.5,30.25,43.75,45.5,36.25,43.5
2020-10-04,27.75,38.0,28.25,33.5,27.0,26.5,35.5,26.75
2020-10-11,29.25,51.0,30.0,26.75,60.25,30.75,36.0,20.0
2020-10-18,59.0,17.75,60.0,56.75,31.0,37.0,50.5,21.0
2020-10-25,52.0,41.0,57.75,26.5,62.25,53.0,62.75,65.5
2020-11-01,55.75,27.0,45.0,31.0,24.5,33.5,46.0,53.75
2020-11-08,74.25,34.75,74.75,75.0,28.0,50.75,70.5,72.75
2020-11-15,60.5,56.75,31.0,35.75,66.0,50.5,60.5,75.5
2020-11-22,34.5,50.25,30.25,36.5,53.25,31.25,57.0,65.25
2020-11-29,24.25,55.25,17.25,39.75,59.5,38.25,26.5,35.5
2020-12-06,43.25,25.25,38.25,36.0,39.0,41.75,39.5,58.5
2020-12-13,50.5,22.0,75.75,63.0,33.5,61.5,61.5,27.5
2020-12-20,44.75,75.25,53.25,50.25,78.75,53.25,61.0,89.0
2020-12-27,79.25,50.0,89.5,82.0,54.75,88.75,70.0,40.75
2021-01-03,65.75,74.25,55.5,45.5,46.0,72.5,75.5,43.5
2021-01-10,23.25,62.5,32.0,18.25,51.25,20.5,54.0,66.75
2021-01-17,37.25,45.25,44.75,41.0,40.75,31.25,19.75,20.75
2021-01-24,70.5,27.5,57.75,51.5,14.25,59.25,38.0,13.75
2021-01-31,25.25,43.25,30.75,13.75,70.25,27.0,42.25,69.0
2021-02-07,19.25,47.0,28.75,18.75,25.75,30.5,32.5,8.0
2021-02-14,68.5,20.25,48.0,57.5,32.0,38.25,40.75,40.75
