,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16
0,0.0,2.0,4.75,9.25,4.0,3.5,9.75,14.25,2.5,3.5,1.5,6.75,0.5,2.5,6.75,1.5,3.0,4.75,10.25,4.5,14.5,26.75,50.25,24.5,37.0,42.25,73.75,79.25,72.75,83.25,90.25,90.25,84.25,73.25,57.0,38.75,32.5,30.25,14.75,18.5,13.5,11.5,38.75,25.5,32.25,17.5,30.75,24.5,10.0,21.0,19.5,,,,,,,,,,,,,
1,0.0,0.0,3.75,12.5,7.25,11.25,8.25,15.75,7.5,4.75,2.25,5.25,3.75,6.0,8.25,2.25,1.5,4.5,7.0,8.25,7.5,32.25,44.25,34.25,41.0,54.25,61.0,92.0,76.0,67.25,85.75,84.0,97.0,89.5,47.75,36.25,43.5,22.0,20.25,14.5,27.5,19.75,31.75,24.0,27.0,34.75,40.5,20.25,36.75,15.25,22.25,,,,,,,,,,,,,
2,0.0,4.75,7.0,5.75,7.25,2.5,9.5,13.0,5.0,1.5,3.75,5.0,0.75,1.5,11.0,0.75,4.5,7.25,7.25,7.75,14.75,26.75,52.5,29.25,30.25,52.0,70.75,95.25,76.25,86.25,78.75,89.0,87.75,87.25,78.0,35.25,34.25,24.75,10.25,12.25,19.25,13.0,32.0,17.5,28.25,27.25,31.25,29.75,10.75,20.75,20.0,,,,,,,,,,,,,
3,0.0,2.75,8.25,9.5,4.75,2.0,6.0,8.25,3.25,4.0,1.75,5.0,0.75,1.25,9.25,1.5,2.75,5.5,5.0,3.75,11.0,28.25,47.25,29.0,31.75,51.25,67.25,90.5,68.0,72.5,76.0,84.25,85.25,79.25,46.75,33.5,33.5,19.75,11.75,28.5,20.5,11.25,29.75,15.5,26.5,27.25,25.0,23.25,5.5,18.5,19.25,,,,,,,,,,,,,
4,0.0,2.0,5.75,7.0,5.5,0.5,8.25,14.5,3.75,3.75,2.0,2.5,0.0,0.75,10.75,1.75,2.0,4.25,4.0,3.0,14.5,24.75,50.0,22.75,36.0,47.25,68.5,87.75,79.5,82.0,67.5,86.5,95.25,80.5,57.75,36.0,34.75,22.25,12.75,21.25,22.75,15.5,29.5,21.0,23.75,23.25,31.25,24.0,8.75,26.5,17.75,,,,,,,,,,,,,
5,0.0,2.25,5.25,8.0,4.5,2.25,6.5,15.25,4.5,3.0,2.5,5.75,2.25,1.25,10.0,1.5,2.75,3.75,8.25,3.0,7.0,23.25,48.25,29.0,40.0,48.75,71.25,88.0,89.25,77.75,69.25,81.5,98.0,78.75,58.75,36.0,26.0,33.75,12.0,16.25,17.5,11.0,39.25,27.0,26.0,27.25,27.0,20.0,8.0,25.25,17.5,,,,,,,,,,,,,
6,0.0,1.0,5.25,7.0,9.5,3.5,9.75,15.75,4.25,4.25,1.25,4.5,3.0,1.75,6.5,1.5,4.75,6.5,6.5,5.0,7.75,35.5,53.25,31.25,37.25,51.0,70.0,88.75,80.0,67.5,84.0,76.75,94.5,87.5,55.5,43.0,35.0,29.25,12.75,17.25,19.0,15.5,35.25,17.0,26.25,29.75,34.5,26.0,21.5,19.0,25.0,,,,,,,,,,,,,
7,0.0,0.0,4.5,9.5,9.0,4.5,14.0,22.25,7.5,6.25,0.75,1.75,2.0,5.5,9.5,2.75,0.5,5.75,5.0,6.0,8.5,26.25,48.25,25.5,33.75,46.0,56.0,78.75,85.25,59.25,72.25,84.25,95.75,85.5,64.25,32.0,36.0,13.25,10.75,14.5,25.0,17.0,39.25,36.75,22.25,28.75,28.5,21.5,35.5,16.25,22.0,,,,,,,,,,,,,
8,0.0,4.0,3.0,5.5,4.25,4.0,13.75,10.25,4.5,4.25,2.75,3.5,0.5,2.5,5.75,1.5,2.75,5.0,5.5,7.0,10.75,22.0,45.5,28.25,34.0,44.0,63.25,94.5,96.0,62.75,71.75,82.75,95.5,92.0,60.5,30.75,33.25,33.5,12.25,17.0,19.25,12.25,30.75,23.5,20.0,35.0,41.5,18.25,17.25,13.5,24.25,,,,,,,,,,,,,
9,,1.75,7.5,9.75,6.75,4.75,9.75,10.0,6.0,3.5,2.25,4.25,2.0,1.25,7.75,4.25,3.0,6.5,11.25,6.75,9.5,24.25,61.75,23.75,30.0,47.75,79.0,83.0,84.75,64.25,84.0,87.0,95.75,77.25,64.5,40.0,34.75,25.5,11.5,19.75,11.75,14.0,35.5,21.0,32.75,25.5,26.75,18.25,19.25,22.75,19.25,11.75,,,,,,,,,,,,
