fecha,0,1,2,3,4,5,6,7,8,9,10
2020-03-01,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2020-03-08,4.0,3.5,5.0,7.25,4.0,6.5,5.25,3.75,3.0,4.5,4.25
2020-03-15,21.5,20.5,20.0,19.0,16.5,19.5,21.25,21.0,18.75,16.25,18.5
2020-03-22,17.5,21.25,14.5,11.5,15.5,18.5,20.0,16.75,19.0,16.5,13.75
2020-03-29,11.75,11.25,10.25,11.75,10.25,14.75,8.25,15.5,17.25,13.5,8.25
2020-04-05,10.75,18.5,10.5,9.25,10.25,9.25,10.25,9.5,16.0,14.75,16.0
2020-04-12,29.25,27.75,24.5,30.0,27.75,28.75,21.75,30.5,32.25,26.0,23.0
2020-04-19,49.5,49.25,44.0,49.5,35.25,53.75,49.75,58.0,51.75,54.5,48.5
2020-04-26,94.0,88.0,96.0,93.0,86.75,94.0,91.25,85.25,79.25,79.75,81.25
2020-05-03,91.75,99.25,93.0,96.0,99.0,95.5,100.0,96.5,94.5,94.25,99.75
2020-05-10,95.25,88.25,90.5,85.25,81.25,91.0,83.5,95.25,100.0,89.25,83.25
2020-05-17,73.0,88.0,67.75,60.75,64.0,66.0,79.75,88.75,85.5,83.0,70.0
2020-05-24,64.25,70.5,63.5,68.25,72.0,75.25,68.25,68.0,60.25,70.5,60.5
2020-05-31,74.75,80.0,61.25,68.25,67.5,71.75,67.25,74.25,80.5,70.25,62.25
2020-06-07,59.75,52.0,60.5,61.0,51.25,65.0,57.5,50.75,43.25,50.0,46.0
2020-06-14,49.75,66.25,41.5,47.0,44.75,49.75,51.0,49.5,62.5,50.25,43.75
2020-06-21,44.0,59.5,53.5,39.75,44.0,52.0,44.75,62.25,59.25,55.5,48.0
2020-06-28,43.75,34.25,34.0,39.0,39.0,41.0,41.25,42.75,50.5,45.0,41.0
2020-07-05,28.0,45.25,26.75,29.75,28.75,30.5,32.75,45.0,45.75,30.75,37.0
2020-07-12,35.5,45.75,32.25,34.25,34.25,33.5,31.5,40.0,38.5,33.0,34.75
2020-07-19,33.75,30.0,27.25,26.5,30.0,30.75,29.75,32.25,36.0,30.5,23.25
2020-07-26,27.0,33.0,22.0,25.25,25.75,21.0,21.0,35.5,33.75,25.75,23.0
2020-08-02,21.75,21.0,24.25,26.0,21.5,23.0,22.25,25.25,31.75,20.75,19.25
2020-08-09,26.5,19.0,30.75,23.5,28.5,22.25,19.0,12.5,21.5,21.5,22.5
2020-08-16,18.25,15.75,16.75,19.25,16.75,20.5,12.5,22.25,15.0,14.25,19.25
2020-08-23,19.75,20.5,21.5,18.25,15.25,15.5,16.5,18.5,20.25,14.75,20.0
2020-08-30,16.25,17.5,12.5,17.5,13.25,13.5,20.25,15.0,20.5,15.25,15.0
2020-09-06,10.75,25.0,15.0,7.75,10.75,15.25,14.25,27.5,28.5,16.25,14.5
2020-09-13,16.75,16.0,15.5,17.0,15.25,17.75,12.25,10.25,11.5,14.0,14.25
2020-09-20,10.5,13.75,12.0,11.0,8.75,11.5,15.0,16.0,16.25,13.75,12.25
2020-09-27,13.0,8.75,15.0,15.5,16.75,17.75,10.5,7.25,11.5,10.75,15.0
2020-10-04,14.25,10.5,10.5,10.75,11.5,10.25,11.75,10.5,14.5,11.25,8.0
2020-10-11,9.75,12.25,8.25,7.75,9.5,9.75,10.0,15.5,9.0,12.5,12.75
2020-10-18,9.75,13.5,8.75,10.25,8.5,7.5,10.25,12.5,19.0,11.75,16.0
2020-10-25,10.75,8.75,9.25,11.0,7.75,9.25,7.75,14.25,11.25,11.0,10.5
2020-11-01,14.5,9.25,10.5,15.0,13.25,13.75,13.0,12.25,12.75,11.5,12.25
2020-11-08,24.5,16.25,19.5,20.25,14.5,23.0,20.75,15.25,11.25,16.25,16.75
2020-11-15,12.25,15.5,12.75,15.5,14.0,16.75,20.0,15.5,13.5,15.0,10.25
2020-11-22,18.5,24.75,19.75,18.75,20.25,21.5,14.0,30.5,25.75,20.5,14.5
2020-11-29,42.5,21.25,42.5,36.75,31.25,37.25,32.5,24.75,26.0,29.75,27.75
2020-12-06,53.0,38.75,42.75,50.25,41.75,46.75,42.0,43.25,36.75,39.75,43.5
2020-12-13,42.0,37.25,39.25,41.0,40.75,38.0,40.75,31.75,35.75,37.5,33.75
2020-12-20,44.25,50.75,40.75,44.25,33.75,43.75,50.5,44.75,47.75,50.25,42.75
2020-12-27,42.75,53.5,40.25,34.5,42.5,33.5,38.25,45.25,51.5,48.0,41.0
2021-01-03,41.25,44.25,49.0,44.25,44.75,43.75,41.25,50.0,55.5,44.0,36.25
2021-01-10,30.75,28.5,27.5,32.25,27.25,31.75,35.5,26.75,29.0,24.5,34.0
2021-01-17,21.5,26.75,23.0,21.75,19.0,20.5,25.5,37.25,31.25,28.5,23.75
2021-01-24,18.5,17.25,14.25,17.75,18.5,15.25,15.0,22.5,22.25,16.0,20.25
2021-01-31,22.5,33.5,20.5,23.0,20.75,20.75,19.25,28.0,29.75,27.5,18.75
2021-02-07,20.5,22.25,24.5,21.25,24.25,21.25,24.25,29.5,30.25,20.25,17.25
2021-02-14,33.0,33.5,32.25,37.25,33.25,27.5,32.0,35.25,37.25,36.25,27.25
