fecha,0,1,2,3,4,5,6,7,8,9,10
2020-03-01,4.5,0.0,2.25,1.0,1.25,2.5,0.0,0.0,0.0,0.0,2.5
2020-03-08,1.5,1.0,1.25,1.5,0.0,2.5,0.0,2.5,1.25,0.0,1.0
2020-03-15,19.75,13.0,9.25,17.5,19.0,11.75,10.25,7.5,13.0,14.25,14.5
2020-03-22,10.5,2.5,9.0,9.5,6.0,11.25,6.25,9.25,5.25,6.0,8.25
2020-03-29,8.0,5.5,7.75,5.25,4.25,14.25,8.5,4.5,7.25,7.0,8.25
2020-04-05,33.0,18.5,26.5,25.5,24.25,28.0,19.5,16.0,23.5,12.5,21.5
2020-04-12,35.5,31.75,27.25,27.25,24.5,26.25,23.75,29.5,27.0,15.75,29.75
2020-04-19,39.75,32.5,38.0,35.25,37.0,40.5,29.0,47.0,31.25,33.5,33.5
2020-04-26,77.25,65.75,68.0,61.5,68.0,79.25,52.75,60.0,64.0,83.0,70.25
2020-05-03,91.25,100.0,96.75,100.0,100.0,95.0,99.75,100.0,98.0,92.5,98.75
2020-05-10,83.0,46.5,66.5,67.75,74.0,85.5,65.5,66.25,76.25,82.0,71.0
2020-05-17,89.75,65.5,73.5,61.75,69.5,68.0,49.75,67.75,61.25,57.75,51.75
2020-05-24,57.0,38.5,45.5,45.25,50.0,36.0,40.25,43.25,41.75,35.5,37.25
2020-05-31,39.25,42.0,35.25,27.5,44.0,24.25,27.25,35.0,43.5,34.5,36.0
2020-06-07,33.75,37.5,24.5,24.0,27.0,25.75,24.25,32.0,33.75,25.75,33.5
2020-06-14,23.5,12.25,17.5,19.25,17.0,22.5,9.25,5.5,5.75,19.5,15.0
2020-06-21,19.75,15.75,11.25,13.0,11.25,12.25,13.0,9.25,15.75,16.75,8.5
2020-06-28,5.5,9.75,11.75,9.25,8.75,9.0,10.25,5.5,15.25,9.25,7.75
2020-07-05,20.0,10.25,17.0,14.0,11.25,15.5,10.25,5.25,7.25,11.5,10.0
2020-07-12,20.0,8.25,6.0,3.5,11.0,11.25,7.75,6.5,9.25,4.5,16.25
2020-07-19,12.0,10.25,12.75,18.25,12.25,13.5,14.75,6.5,13.5,9.25,14.0
2020-07-26,3.25,1.25,2.75,1.25,1.25,1.25,5.0,5.0,3.0,3.5,2.5
2020-08-02,9.5,4.5,15.0,8.5,8.25,12.75,8.25,5.25,3.75,8.75,5.0
2020-08-09,4.0,6.75,4.5,2.25,7.0,3.5,9.25,17.75,10.75,9.25,6.0
2020-08-16,10.75,13.25,6.0,11.75,7.75,9.25,11.0,8.25,16.25,3.25,8.25
2020-08-23,15.75,6.75,20.0,13.25,10.75,17.5,8.75,5.75,7.75,13.0,13.75
2020-08-30,2.25,16.25,2.5,3.25,5.25,3.75,6.75,18.75,7.0,5.5,6.5
2020-09-06,12.75,9.25,12.25,14.0,15.75,20.75,10.0,10.75,7.5,6.25,9.25
2020-09-13,1.25,8.25,1.25,1.0,2.0,1.25,11.25,9.0,12.0,3.0,5.5
2020-09-20,8.0,4.0,9.5,7.0,6.75,4.5,5.5,3.5,3.5,5.25,9.25
2020-09-27,13.25,6.25,13.75,12.0,16.75,18.0,10.0,5.25,8.5,17.25,13.75
2020-10-04,5.75,4.5,2.25,3.25,4.5,2.5,1.5,2.25,6.25,5.25,3.5
2020-10-11,17.0,4.75,14.5,15.75,8.5,13.25,6.75,1.5,4.0,12.0,10.25
2020-10-18,18.75,16.5,8.25,13.0,20.5,13.75,18.25,13.75,19.25,18.25,11.5
2020-10-25,24.25,18.0,19.0,23.25,22.25,27.25,23.5,29.5,25.25,22.5,16.75
2020-11-01,12.5,8.0,11.25,11.25,4.25,13.25,12.25,4.75,7.25,12.75,6.0
2020-11-08,27.5,17.75,31.0,29.0,21.25,20.5,25.0,17.25,15.5,22.25,27.5
2020-11-15,10.5,12.25,7.5,4.25,16.25,8.5,15.75,6.25,16.25,15.25,8.25
2020-11-22,22.25,16.25,16.75,19.25,20.25,21.75,16.0,17.75,23.0,20.0,21.75
2020-11-29,16.25,18.0,15.0,16.5,20.75,17.0,26.0,19.0,17.0,20.0,20.5
2020-12-06,10.5,7.0,15.75,21.25,17.0,19.75,16.25,5.0,4.0,12.75,21.0
2020-12-13,25.75,20.75,23.75,19.5,12.75,18.5,15.75,26.25,16.0,19.25,10.25
2020-12-20,12.75,24.5,19.25,8.0,9.5,25.25,13.75,34.75,26.0,17.0,11.0
2020-12-27,25.5,19.0,16.25,20.5,19.25,21.0,19.25,16.75,20.5,17.0,24.75
2021-01-03,34.5,27.5,20.5,20.0,24.25,24.0,21.25,27.5,27.0,23.0,25.0
2021-01-10,11.25,12.75,10.25,14.75,4.75,16.5,15.5,9.0,10.0,10.25,17.5
2021-01-17,12.75,9.0,16.75,16.25,14.75,13.75,7.25,11.5,8.5,11.25,10.25
2021-01-24,5.0,14.5,8.25,4.25,8.0,11.75,10.25,10.75,14.0,13.25,12.75
2021-01-31,7.5,9.0,13.0,3.25,5.5,5.75,10.0,3.5,6.5,2.75,7.0
2021-02-07,1.25,4.25,2.25,0.0,2.25,1.25,5.25,9.75,5.0,2.0,1.0
2021-02-14,11.0,12.5,6.75,4.5,9.25,6.25,8.0,18.25,20.0,7.5,6.5
