fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.5,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5
2020-03-08,8.0,11.75,6.75,7.5,7.25,5.0,11.25,11.0,11.0
2020-03-15,31.75,33.75,27.0,30.75,29.25,28.25,24.25,23.5,30.5
2020-03-22,26.5,23.75,24.75,23.0,21.5,27.5,26.25,16.5,17.75
2020-03-29,15.0,30.5,19.75,21.75,18.75,20.25,22.75,25.5,26.5
2020-04-05,20.75,28.25,29.0,27.5,24.0,28.5,23.5,26.25,22.5
2020-04-12,25.0,32.0,25.75,26.5,25.25,26.0,31.75,22.25,28.0
2020-04-19,30.25,30.75,26.0,27.25,26.75,21.5,23.0,27.5,24.5
2020-04-26,18.75,40.75,23.5,16.25,31.0,17.0,24.25,29.75,28.25
2020-05-03,33.25,33.0,34.0,32.0,30.5,34.75,25.25,24.75,26.75
2020-05-10,31.25,34.0,32.5,30.25,26.25,31.25,24.25,35.0,31.0
2020-05-17,18.5,31.5,22.5,22.75,24.75,19.0,21.0,36.25,24.75
2020-05-24,19.75,33.0,24.75,23.75,30.0,22.75,19.25,26.25,25.5
2020-05-31,25.25,25.0,22.0,22.75,23.75,19.75,25.0,22.0,22.5
2020-06-07,33.0,42.0,24.0,27.0,32.5,26.25,26.5,40.75,34.5
2020-06-14,45.75,41.5,43.0,46.5,45.25,48.0,44.25,46.5,48.5
2020-06-21,79.5,66.5,76.0,75.25,60.75,69.25,60.0,68.0,57.0
2020-06-28,36.75,53.5,41.0,39.75,33.5,34.0,48.25,45.0,43.25
2020-07-05,70.25,70.0,59.5,59.25,62.25,60.75,57.5,61.75,51.25
2020-07-12,76.25,80.5,62.5,76.5,68.25,70.25,75.5,87.25,68.5
2020-07-19,67.25,60.5,74.5,65.75,72.25,65.75,61.0,66.75,62.0
2020-07-26,46.25,61.0,50.75,48.25,47.0,55.5,50.75,60.5,50.75
2020-08-02,73.0,70.25,72.5,71.0,75.0,74.75,58.75,68.25,56.5
2020-08-09,62.25,72.5,57.5,55.0,59.75,54.0,64.0,66.5,65.25
2020-08-16,45.5,50.75,44.25,45.75,43.5,39.0,48.0,42.75,41.25
2020-08-23,48.5,51.75,49.0,53.5,62.0,47.25,57.0,65.75,58.0
2020-08-30,58.5,58.25,45.0,53.75,47.75,45.75,58.75,61.75,53.5
2020-09-06,47.25,43.75,39.75,46.25,44.75,41.25,32.5,37.0,31.0
2020-09-13,33.5,38.5,32.75,36.0,33.0,28.75,30.25,32.5,34.0
2020-09-20,49.75,32.25,47.5,36.75,30.25,43.75,38.5,32.0,35.25
2020-09-27,32.75,40.5,36.0,32.75,35.75,27.25,31.0,34.0,34.75
2020-10-04,21.0,37.75,22.0,23.25,27.0,21.75,22.75,32.0,31.75
2020-10-11,32.25,33.75,24.0,26.25,34.0,29.0,32.75,27.0,34.0
2020-10-18,33.25,37.5,31.5,31.75,33.5,35.25,34.75,31.5,30.75
2020-10-25,32.5,28.75,25.5,25.75,24.25,23.25,15.0,27.5,28.25
2020-11-01,40.0,41.25,33.25,30.0,30.75,37.75,34.5,37.25,38.25
2020-11-08,43.0,41.5,31.25,30.25,32.75,32.75,34.75,39.5,39.0
2020-11-15,40.0,52.75,45.75,42.25,42.75,43.75,40.0,52.0,48.25
2020-11-22,83.25,83.0,70.75,70.75,75.0,73.75,71.5,83.0,63.5
2020-11-29,68.75,63.0,69.75,69.5,69.75,57.5,67.75,63.75,55.25
2020-12-06,94.75,79.25,89.25,89.0,90.0,95.25,86.25,82.0,69.75
2020-12-13,90.5,86.25,84.25,89.25,81.5,75.25,76.5,91.0,71.25
2020-12-20,82.75,98.5,82.75,83.0,82.25,80.25,62.0,77.0,90.5
2020-12-27,93.25,95.0,91.5,89.5,85.25,86.5,100.0,91.0,93.0
2021-01-03,86.75,77.75,69.25,81.0,66.75,75.25,78.5,73.5,71.5
2021-01-10,64.25,68.75,59.75,62.75,63.0,67.25,62.0,63.75,68.0
2021-01-17,46.75,49.25,47.5,42.25,44.5,47.0,39.5,57.5,46.75
2021-01-24,33.5,31.75,40.0,35.75,45.25,37.5,33.0,36.0,28.0
2021-01-31,47.0,44.25,50.0,45.75,41.75,41.25,38.75,32.0,37.75
2021-02-07,37.25,47.5,39.0,29.75,47.25,36.0,38.75,51.5,45.0
2021-02-14,64.75,43.25,61.25,59.75,50.5,59.0,47.75,38.75,35.0
