fecha,0,1,2,3,4,5,6,7,8,9,10
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2020-03-08,4.5,7.25,5.5,6.5,6.5,7.25,6.25,6.25,6.5,7.0,5.5
2020-03-15,34.5,32.5,39.25,34.25,33.75,32.0,30.0,38.0,29.5,34.25,30.0
2020-03-22,31.0,26.25,28.0,29.25,27.0,35.0,30.75,28.75,23.75,30.75,29.0
2020-03-29,24.75,25.25,28.5,28.75,28.25,28.25,24.75,26.75,23.5,26.0,30.0
2020-04-05,33.5,30.75,32.75,34.75,31.0,35.25,31.75,30.0,32.0,29.5,29.25
2020-04-12,27.25,29.5,26.25,29.5,28.0,30.0,28.25,33.5,33.5,31.0,29.0
2020-04-19,28.5,25.5,29.25,33.0,30.5,30.75,30.75,26.5,24.25,27.25,30.75
2020-04-26,33.5,31.0,35.25,34.25,29.75,29.75,29.25,32.25,34.0,34.5,30.25
2020-05-03,24.75,26.5,25.75,28.25,25.75,29.25,27.75,27.0,24.0,25.25,26.0
2020-05-10,22.75,23.75,21.75,23.0,24.0,23.75,24.5,24.5,24.25,23.0,23.5
2020-05-17,23.0,19.25,20.25,22.5,22.0,23.25,23.25,20.0,18.75,20.5,20.75
2020-05-24,23.75,17.0,27.25,24.75,25.5,24.75,23.5,14.25,17.75,20.0,26.5
2020-05-31,29.0,23.0,26.75,27.25,26.5,29.75,26.0,22.0,24.5,26.5,25.0
2020-06-07,31.5,36.75,33.0,33.75,33.25,37.0,32.25,36.0,36.5,35.25,36.0
2020-06-14,52.75,50.75,49.5,51.75,46.25,48.5,47.25,53.0,52.0,48.5,53.75
2020-06-21,80.5,75.75,81.0,81.25,82.25,81.25,78.75,71.75,69.5,78.25,79.0
2020-06-28,47.5,45.75,48.25,50.25,48.5,50.75,47.75,47.5,42.25,49.0,44.75
2020-07-05,59.25,63.0,70.25,66.5,67.75,69.5,64.0,59.75,63.25,63.5,62.25
2020-07-12,69.0,75.5,74.25,67.5,71.0,70.75,67.0,71.75,77.25,71.0,73.25
2020-07-19,69.0,64.25,69.75,74.75,70.5,74.0,66.5,62.75,62.25,67.25,69.5
2020-07-26,51.25,49.5,50.75,51.75,52.25,53.0,52.0,49.75,47.0,51.5,49.5
2020-08-02,61.75,57.25,63.5,60.5,61.0,64.25,59.25,54.5,54.75,61.5,59.25
2020-08-09,64.5,60.75,62.5,64.5,66.5,63.75,57.75,61.0,61.5,64.25,60.75
2020-08-16,37.75,39.25,37.25,38.5,38.25,40.0,39.25,37.75,41.0,38.5,42.25
2020-08-23,50.25,54.25,47.5,52.25,48.25,51.5,47.75,52.25,53.5,49.75,50.25
2020-08-30,51.25,50.5,50.5,50.25,51.75,50.0,53.25,45.25,48.0,51.25,48.75
2020-09-06,47.0,46.0,52.25,49.75,49.5,50.0,49.25,47.75,42.25,50.75,50.0
2020-09-13,42.75,41.5,41.5,43.5,42.75,44.5,40.75,46.0,41.75,44.75,40.0
2020-09-20,40.75,37.0,38.0,38.5,40.25,42.25,38.0,37.75,38.0,41.25,40.5
2020-09-27,31.0,33.0,31.0,27.0,28.5,30.25,27.75,32.0,34.75,31.75,33.75
2020-10-04,28.75,31.0,30.0,27.25,29.0,29.5,26.0,29.0,26.0,27.0,28.25
2020-10-11,33.0,30.25,33.5,34.5,32.75,31.25,33.0,30.25,29.0,29.75,32.5
2020-10-18,37.75,36.0,41.25,37.5,34.75,42.25,36.0,30.5,34.75,35.25,35.0
2020-10-25,36.0,32.75,37.75,40.75,38.75,40.0,36.75,35.25,37.75,40.25,36.25
2020-11-01,47.25,38.75,51.25,49.0,50.5,48.25,45.25,39.75,39.0,45.0,44.75
2020-11-08,56.5,55.75,59.25,60.25,58.5,62.5,59.0,52.5,53.5,58.0,59.0
2020-11-15,76.25,74.75,76.25,74.75,76.0,81.0,73.0,70.75,73.0,79.75,79.25
2020-11-22,98.0,100.0,95.5,97.5,96.75,96.75,99.0,100.0,100.0,99.5,100.0
2020-11-29,89.0,88.25,91.25,95.0,92.25,91.0,88.75,89.0,85.25,89.25,91.0
2020-12-06,94.0,89.5,92.5,94.5,93.75,92.5,93.5,92.25,87.5,95.0,92.0
2020-12-13,83.0,83.25,86.0,91.0,85.0,83.25,78.25,79.25,85.5,84.75,82.5
2020-12-20,81.5,85.0,84.25,84.5,90.25,87.5,86.25,86.5,83.5,82.75,83.5
2020-12-27,95.0,81.25,95.0,97.5,93.0,96.5,84.25,78.75,81.25,83.5,92.5
2021-01-03,83.0,92.75,87.0,84.25,84.25,81.0,80.25,88.0,87.25,86.0,80.25
2021-01-10,70.25,78.25,70.5,71.25,76.75,72.5,74.0,78.5,76.75,76.5,68.25
2021-01-17,55.25,53.5,60.0,57.75,58.0,59.0,52.75,54.25,50.25,57.5,54.75
2021-01-24,55.75,45.5,56.75,53.25,55.75,55.5,51.75,51.0,48.5,50.25,54.0
2021-01-31,50.5,50.75,52.75,51.5,55.5,53.5,55.75,47.75,51.75,52.5,57.5
2021-02-07,55.25,59.75,56.25,59.75,57.5,56.75,55.25,56.75,53.5,59.25,53.5
2021-02-14,62.75,71.5,66.5,62.5,74.25,67.25,61.75,81.5,75.0,76.25,68.75
