fecha,0,1,2,3,4,5,6,7,8,9,10
2020-03-01,0.0,1.0,0.0,0.0,1.5,0.0,0.5,1.5,1.0,0.0,0.0
2020-03-08,4.0,1.25,6.5,5.0,4.25,6.5,3.75,4.5,2.5,4.25,5.5
2020-03-15,25.75,30.25,28.25,26.75,19.5,26.25,29.0,25.5,23.75,27.0,25.25
2020-03-22,24.25,27.75,20.25,22.75,19.0,27.5,23.0,30.25,27.25,23.25,29.75
2020-03-29,21.5,17.0,21.5,22.5,16.5,22.0,19.75,15.0,15.25,20.75,15.5
2020-04-05,24.5,34.75,23.25,25.75,28.75,26.75,28.75,34.0,29.5,31.0,24.5
2020-04-12,42.5,33.0,48.25,42.5,35.75,35.75,44.0,35.75,24.5,43.75,36.5
2020-04-19,51.0,43.25,49.75,44.75,38.75,47.25,48.0,52.0,41.75,42.0,40.5
2020-04-26,63.0,77.5,78.75,70.25,71.25,63.0,71.75,84.75,79.0,67.0,69.75
2020-05-03,96.25,100.0,98.5,97.5,86.25,85.0,97.0,99.25,91.25,97.25,100.0
2020-05-10,95.5,89.25,96.25,95.0,98.0,99.25,88.0,95.5,100.0,90.0,86.25
2020-05-17,67.0,68.5,66.0,68.5,60.5,56.75,68.5,71.0,60.5,64.0,71.5
2020-05-24,70.25,70.5,57.25,52.75,58.5,60.0,66.25,66.75,73.75,56.0,64.25
2020-05-31,59.25,59.75,65.25,66.75,52.75,60.5,59.25,59.0,55.0,55.0,56.0
2020-06-07,53.0,50.5,65.0,53.75,40.5,56.75,49.0,54.25,46.75,39.75,49.5
2020-06-14,44.0,44.0,47.25,48.75,38.0,43.0,42.0,42.5,44.5,41.75,37.75
2020-06-21,54.5,49.5,57.0,56.0,43.75,60.25,52.0,51.0,43.75,45.75,50.5
2020-06-28,53.25,46.25,53.25,49.0,42.0,47.5,48.5,48.75,45.5,44.25,51.0
2020-07-05,58.0,33.25,56.0,54.75,35.25,51.0,40.5,35.0,38.0,37.0,51.5
2020-07-12,42.75,43.0,40.5,42.0,37.25,44.25,45.75,39.25,46.0,35.25,44.25
2020-07-19,43.25,39.5,45.25,44.5,32.75,38.5,38.25,46.5,33.0,36.25,42.0
2020-07-26,34.5,43.5,34.5,33.0,36.5,31.75,36.25,44.25,39.0,31.25,29.75
2020-08-02,46.5,43.25,43.5,39.25,41.25,39.0,40.75,44.25,43.25,42.0,42.25
2020-08-09,34.25,32.5,43.25,35.75,31.5,35.5,34.0,41.0,39.25,33.5,45.25
2020-08-16,34.25,36.0,34.5,35.75,26.0,34.75,33.75,30.25,24.25,35.0,28.25
2020-08-23,30.5,25.75,31.5,36.5,27.25,30.25,32.5,31.25,27.5,29.5,29.5
2020-08-30,23.0,24.75,28.25,29.5,16.75,25.0,26.0,28.5,15.25,27.75,27.0
2020-09-06,33.0,29.75,29.0,32.0,25.25,27.0,27.25,28.75,25.25,26.0,26.5
2020-09-13,21.5,17.25,24.5,23.0,21.5,21.25,23.5,20.5,19.0,21.25,19.75
2020-09-20,30.5,25.5,26.75,24.25,25.25,25.0,30.0,28.25,26.25,25.0,27.25
2020-09-27,19.25,24.5,21.5,24.0,23.75,22.0,18.5,24.0,14.75,16.5,23.0
2020-10-04,18.0,16.0,30.25,27.75,15.5,28.5,20.75,15.75,17.75,19.0,22.0
2020-10-11,17.25,30.25,12.5,11.75,20.0,15.25,17.75,31.75,24.75,16.5,22.0
2020-10-18,28.25,22.75,27.75,29.25,21.75,28.75,23.25,20.25,19.75,22.5,21.75
2020-10-25,31.5,25.75,33.25,33.75,22.75,28.75,22.75,25.0,24.0,23.75,24.5
2020-11-01,29.25,25.0,34.5,32.25,23.0,33.25,24.25,22.5,25.75,19.25,32.0
2020-11-08,26.5,29.5,25.75,31.75,26.5,27.5,28.75,29.5,30.75,31.25,28.75
2020-11-15,36.0,31.5,35.0,40.25,29.75,38.0,34.25,21.5,30.0,31.75,36.5
2020-11-22,49.25,53.25,51.0,42.75,44.0,41.75,50.0,46.25,55.25,38.5,56.5
2020-11-29,56.75,39.25,56.5,53.75,37.75,54.0,51.75,42.25,44.0,59.75,58.75
2020-12-06,53.0,59.25,60.75,59.25,54.5,52.25,45.0,60.0,56.0,58.25,62.0
2020-12-13,52.75,51.25,62.75,51.25,42.75,49.75,50.25,56.75,51.0,60.25,55.0
2020-12-20,67.5,43.75,71.0,67.0,52.75,60.75,61.75,50.0,42.75,61.75,62.25
2020-12-27,55.0,60.25,56.0,52.25,48.5,59.5,59.5,60.75,59.0,54.0,60.75
2021-01-03,48.75,39.5,60.0,55.0,43.0,56.75,48.25,42.75,40.5,50.5,64.75
2021-01-10,55.0,36.0,45.5,46.75,33.25,44.75,37.5,34.5,31.75,36.0,40.25
2021-01-17,41.75,44.25,35.0,30.25,33.75,40.5,36.0,40.75,41.25,33.0,33.75
2021-01-24,31.75,32.0,32.75,31.5,29.0,23.0,30.5,31.25,26.75,24.5,36.5
2021-01-31,37.75,27.5,38.25,35.25,34.0,37.75,32.5,37.25,32.5,30.0,38.5
2021-02-07,31.5,22.75,24.25,26.5,28.0,24.25,28.25,34.75,23.75,22.75,26.5
2021-02-14,34.5,37.25,37.5,41.0,35.0,34.5,36.0,43.0,43.75,37.5,46.25
