fecha,0,1,2,3,4,5,6,7
2020-03-01,0.5,1.0,0.75,1.0,1.0,1.0,1.25,0.25
2020-03-08,4.0,5.5,3.0,3.25,5.0,2.25,5.25,4.75
2020-03-15,26.5,22.5,25.25,25.5,26.75,23.0,24.25,22.5
2020-03-22,19.75,26.25,20.0,20.25,23.5,16.25,23.0,21.5
2020-03-29,17.0,22.0,17.25,15.5,23.0,18.75,17.25,24.75
2020-04-05,35.25,38.5,32.0,32.0,37.0,33.0,35.75,36.75
2020-04-12,62.5,57.0,55.0,59.5,58.0,58.25,61.5,54.25
2020-04-19,71.25,83.25,72.25,72.0,88.25,75.75,78.25,83.0
2020-04-26,95.5,92.5,97.5,95.25,97.25,97.75,95.5,94.75
2020-05-03,96.5,96.75,96.25,99.5,96.25,98.75,97.5,95.5
2020-05-10,71.75,85.5,69.5,70.25,91.0,75.25,79.25,84.5
2020-05-17,53.25,59.25,52.5,53.0,55.25,55.0,53.25,56.25
2020-05-24,44.25,46.5,44.25,44.25,43.25,43.25,43.5,37.5
2020-05-31,34.0,41.75,31.25,29.5,41.25,32.25,33.5,40.25
2020-06-07,29.0,34.25,29.25,28.25,32.0,26.75,26.75,29.0
2020-06-14,26.25,28.25,26.75,25.75,26.0,26.25,24.0,24.5
2020-06-21,51.5,47.0,52.25,46.25,49.0,53.0,45.25,44.25
2020-06-28,38.5,41.25,37.75,37.75,39.75,38.5,36.75,38.0
2020-07-05,44.75,42.75,37.5,37.75,33.5,38.5,40.75,35.25
2020-07-12,42.25,34.25,33.0,41.0,39.0,38.0,34.75,38.0
2020-07-19,24.75,30.25,25.0,26.75,31.25,23.75,21.5,29.5
2020-07-26,21.75,32.75,22.0,23.0,33.5,22.5,24.0,28.0
2020-08-02,26.75,29.0,26.25,27.0,25.75,27.25,29.25,24.0
2020-08-09,31.25,33.25,31.0,30.5,32.0,30.25,35.25,29.5
2020-08-16,25.0,36.25,25.0,24.25,32.0,25.5,26.75,31.5
2020-08-23,23.0,27.25,23.5,26.25,28.25,21.75,24.25,23.25
2020-08-30,25.75,24.25,28.75,26.75,26.75,24.25,25.25,24.75
2020-09-06,23.25,23.5,20.25,25.0,22.75,26.0,24.75,24.5
2020-09-13,20.0,23.0,20.25,22.25,23.75,19.75,25.0,20.5
2020-09-20,21.25,19.5,20.25,20.0,19.25,19.5,23.5,18.25
2020-09-27,14.0,15.75,15.75,13.25,16.5,15.25,15.25,18.0
2020-10-04,19.5,16.25,19.0,20.25,18.5,21.75,21.5,18.75
2020-10-11,19.5,20.0,20.0,17.25,19.75,19.75,21.5,15.5
2020-10-18,24.0,24.0,21.5,25.5,24.5,22.5,23.75,21.75
2020-10-25,27.5,26.5,29.5,29.0,30.75,25.75,27.25,29.0
2020-11-01,30.75,32.5,29.5,29.75,33.0,32.5,31.5,32.5
2020-11-08,36.5,42.75,39.0,38.25,45.25,39.5,40.5,39.25
2020-11-15,32.0,41.5,32.75,32.75,37.0,32.0,32.75,41.5
2020-11-22,41.0,47.0,43.75,44.25,46.5,44.75,43.0,38.75
2020-11-29,38.0,46.0,41.25,36.5,45.25,35.25,34.75,45.25
2020-12-06,41.75,62.25,41.5,40.0,58.25,42.0,47.0,55.25
2020-12-13,45.5,45.75,47.5,45.25,47.25,46.25,50.5,42.5
2020-12-20,58.75,51.75,58.0,54.75,54.75,52.75,51.25,52.5
2020-12-27,61.5,55.5,56.0,58.5,49.5,52.0,60.5,47.0
2021-01-03,47.5,45.25,46.25,51.0,39.25,48.75,45.5,41.5
2021-01-10,40.75,50.0,41.75,41.25,50.75,43.75,43.75,42.75
2021-01-17,32.75,37.75,33.25,32.75,32.5,34.0,34.0,34.5
2021-01-24,33.5,37.75,34.5,33.25,32.0,31.5,29.5,29.0
2021-01-31,23.5,26.25,31.75,27.75,25.75,26.25,26.0,22.25
2021-02-07,24.5,27.25,25.0,24.75,25.75,23.25,21.5,22.25
2021-02-14,25.25,24.5,20.75,25.75,27.25,25.5,26.75,23.5
