fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,5.5,1.5,5.0,2.75,1.5,8.25,4.5,1.5,2.25
2020-03-15,36.25,37.0,23.5,27.0,39.0,21.25,26.75,28.25,33.75
2020-03-22,22.25,38.75,26.75,21.25,28.0,26.0,27.75,37.75,38.75
2020-03-29,24.75,27.5,20.75,26.75,25.75,27.0,23.0,25.75,18.25
2020-04-05,19.75,28.25,14.75,14.25,28.75,16.75,20.25,27.5,18.0
2020-04-12,40.25,34.5,32.75,41.25,41.25,42.0,34.25,40.75,39.0
2020-04-19,51.0,54.5,46.0,52.25,48.0,59.25,42.0,55.5,33.0
2020-04-26,81.25,90.25,72.25,77.25,85.25,74.25,67.0,84.5,75.5
2020-05-03,92.75,79.5,91.5,88.0,78.75,88.0,83.0,77.5,92.25
2020-05-10,71.0,88.5,63.25,71.0,69.75,75.25,70.5,74.0,62.0
2020-05-17,59.25,65.25,47.0,63.0,64.25,53.25,52.5,62.0,55.25
2020-05-24,62.25,68.75,51.5,66.75,66.75,59.25,45.25,69.5,64.25
2020-05-31,76.25,71.5,53.75,76.5,62.25,65.5,60.75,56.0,60.0
2020-06-07,64.0,83.5,56.25,63.0,68.5,56.0,62.0,81.5,56.75
2020-06-14,85.75,84.75,77.75,95.75,67.25,92.5,86.5,75.5,72.75
2020-06-21,97.75,94.5,93.5,96.25,96.75,93.0,95.5,91.25,78.5
2020-06-28,68.75,72.75,65.25,66.0,71.25,70.75,56.5,70.5,76.75
2020-07-05,80.25,69.5,69.75,73.75,59.25,77.75,77.25,55.0,66.5
2020-07-12,79.75,73.25,59.75,75.25,54.5,73.5,63.0,59.25,66.5
2020-07-19,59.25,57.5,47.0,60.25,55.25,48.25,61.0,60.25,56.5
2020-07-26,37.25,53.5,37.0,43.5,42.25,43.75,40.5,39.5,36.5
2020-08-02,58.0,73.25,52.25,63.5,66.75,55.5,52.0,65.5,61.25
2020-08-09,50.25,60.75,39.75,40.5,50.25,47.0,43.75,67.25,48.25
2020-08-16,56.25,35.5,36.5,46.75,31.5,51.75,37.5,33.5,31.75
2020-08-23,36.0,54.5,28.25,30.75,44.5,23.5,30.25,45.5,38.5
2020-08-30,36.25,47.0,34.5,39.5,34.0,32.75,36.0,33.5,32.75
2020-09-06,31.25,40.5,34.75,35.25,33.25,27.5,29.5,20.5,30.75
2020-09-13,27.5,32.75,22.5,32.25,27.75,29.75,27.5,27.75,29.5
2020-09-20,27.5,34.0,16.5,26.0,34.5,26.25,29.5,38.25,35.5
2020-09-27,39.0,32.5,28.0,32.75,41.0,29.25,41.25,33.25,25.75
2020-10-04,43.75,42.0,31.75,40.5,34.5,35.25,26.0,34.75,42.0
2020-10-11,55.0,41.75,44.25,47.75,27.75,48.5,42.25,37.5,33.25
2020-10-18,43.5,45.5,32.5,43.5,34.0,40.25,36.75,35.25,49.5
2020-10-25,36.25,49.5,22.75,37.5,42.25,34.0,29.75,38.0,29.75
2020-11-01,42.0,30.0,30.0,26.75,29.75,29.25,31.0,35.75,28.5
2020-11-08,41.25,46.25,35.25,36.25,34.5,40.25,31.0,36.75,41.0
2020-11-15,36.0,51.75,31.5,42.5,42.25,37.0,39.5,46.5,33.75
2020-11-22,40.75,40.5,37.75,42.5,34.5,40.75,40.5,41.75,42.75
2020-11-29,35.0,36.75,29.5,31.5,31.25,34.0,31.5,35.0,39.75
2020-12-06,42.75,60.0,33.5,36.5,60.25,43.25,35.5,52.0,40.0
2020-12-13,48.0,51.75,47.5,53.0,35.0,47.0,43.5,46.5,58.5
2020-12-20,42.5,42.5,35.5,45.25,35.5,47.25,40.25,38.75,48.75
2020-12-27,67.25,62.5,48.25,49.25,61.25,46.0,47.0,48.5,52.0
2021-01-03,42.5,45.25,39.0,47.5,44.25,42.5,42.5,49.75,42.5
2021-01-10,29.75,45.25,27.75,38.0,44.0,33.75,32.75,47.0,41.0
2021-01-17,49.5,37.25,31.0,38.5,35.25,35.0,36.75,46.0,35.0
2021-01-24,31.5,28.5,22.25,23.75,39.5,28.0,25.5,35.5,26.5
2021-01-31,32.75,43.5,23.0,28.75,31.5,28.25,26.5,48.0,27.25
2021-02-07,26.75,30.0,21.0,30.75,28.5,22.5,21.5,27.5,28.75
2021-02-14,22.25,32.25,24.0,29.25,31.5,19.75,29.75,29.5,29.5
