fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,6.75,21.5,2.25,0.0,12.5,6.5,13.5,10.75,10.25
2020-03-22,14.5,25.5,20.25,8.75,41.0,16.5,28.75,33.75,36.75
2020-03-29,7.0,6.0,3.75,4.0,3.25,6.25,9.5,5.25,12.5
2020-04-05,19.25,48.25,10.75,9.75,46.25,20.0,29.0,27.5,35.25
2020-04-12,29.75,40.75,30.25,39.0,43.75,20.25,28.25,36.25,31.25
2020-04-19,40.5,33.25,29.0,36.75,31.5,41.5,37.5,16.5,24.5
2020-04-26,34.0,61.25,58.75,51.75,61.75,47.25,35.5,66.25,56.0
2020-05-03,61.25,57.0,64.0,63.0,68.5,72.75,57.75,66.5,43.5
2020-05-10,80.75,58.5,73.0,57.25,50.5,74.75,54.5,54.25,55.0
2020-05-17,69.25,65.0,56.25,73.0,83.75,80.25,99.75,67.25,75.5
2020-05-24,52.25,69.25,64.5,57.0,80.75,60.5,63.75,77.5,87.5
2020-05-31,75.25,50.0,85.25,85.75,52.5,90.5,59.5,51.25,79.25
2020-06-07,77.5,71.0,88.0,64.0,55.0,84.75,73.0,81.25,75.75
2020-06-14,49.75,70.0,51.75,57.25,76.75,42.5,47.0,71.25,46.5
2020-06-21,45.75,63.25,52.5,45.0,72.5,45.75,57.75,51.5,76.0
2020-06-28,30.25,65.75,34.0,34.0,66.0,23.5,46.0,57.25,44.25
2020-07-05,35.75,52.5,26.75,25.0,41.75,33.0,35.75,41.25,35.75
2020-07-12,33.5,17.75,13.75,29.75,26.5,16.75,26.0,30.75,16.25
2020-07-19,11.25,29.25,13.5,11.25,46.25,17.5,13.75,37.25,17.0
2020-07-26,32.5,11.75,31.25,33.25,44.5,32.0,39.75,25.5,26.5
2020-08-02,7.0,32.75,10.5,2.0,32.25,9.0,18.75,24.25,36.75
2020-08-09,29.0,14.25,30.5,33.75,14.25,35.0,31.75,20.0,23.25
2020-08-16,17.0,19.25,10.25,14.5,11.0,14.5,21.25,30.0,18.25
2020-08-23,8.5,28.5,9.5,10.25,22.75,8.75,9.5,23.25,14.0
2020-08-30,22.25,40.0,20.25,11.5,31.5,15.75,22.75,33.5,21.0
2020-09-06,13.75,45.25,17.25,23.75,11.5,9.0,19.0,24.0,16.75
2020-09-13,4.5,8.5,2.0,2.0,11.25,6.75,5.75,7.75,14.25
2020-09-20,6.5,5.5,0.0,5.25,3.0,8.5,9.25,11.0,5.0
2020-09-27,8.75,12.0,6.5,11.25,15.75,9.0,14.5,22.0,26.75
2020-10-04,7.25,12.0,8.5,11.0,12.0,4.5,5.25,6.0,4.75
2020-10-11,7.5,19.25,3.75,2.75,9.75,4.25,20.75,12.0,13.25
2020-10-18,18.5,17.75,15.0,28.5,30.25,22.25,30.0,16.75,12.25
2020-10-25,0.0,18.0,0.0,2.0,30.0,6.5,13.75,13.0,15.25
2020-11-01,13.0,12.0,12.5,4.0,23.75,4.5,8.0,5.25,12.25
2020-11-08,15.0,20.25,13.75,13.75,26.75,12.75,17.75,17.0,19.75
2020-11-15,16.75,22.25,8.5,17.5,30.0,4.25,15.5,9.0,19.5
2020-11-22,37.75,39.0,24.5,20.25,26.0,43.0,30.75,15.25,25.0
2020-11-29,22.0,8.25,23.0,15.0,43.0,24.0,14.25,20.75,27.5
2020-12-06,13.5,32.25,8.0,16.5,26.25,20.25,15.5,21.5,21.5
2020-12-13,9.25,3.0,6.5,6.0,5.75,7.75,5.75,0.0,12.5
2020-12-20,18.75,38.5,10.25,8.0,45.75,7.25,32.5,31.25,19.75
2020-12-27,25.0,24.5,23.75,30.5,14.5,23.75,22.75,11.75,25.75
2021-01-03,20.75,3.0,10.5,25.0,3.25,20.25,12.75,7.75,17.25
2021-01-10,25.25,54.75,23.5,34.5,28.5,37.5,46.25,33.0,22.0
2021-01-17,20.25,32.5,37.0,42.75,18.5,40.25,25.0,36.5,33.75
2021-01-24,42.5,59.0,33.5,42.75,55.0,24.5,37.25,41.25,32.25
2021-01-31,19.75,51.25,26.25,29.0,58.25,30.75,25.75,49.25,18.25
2021-02-07,26.5,8.25,26.5,21.0,13.5,18.5,15.75,29.75,18.75
2021-02-14,37.0,29.75,44.75,16.0,47.25,21.0,41.0,30.0,36.75
