,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28
0,0.75,8.25,35.0,21.25,20.0,31.25,32.0,29.5,48.25,32.5,39.0,25.25,22.5,22.0,22.0,29.0,71.75,40.0,64.0,94.5,89.0,63.0,67.75,61.0,40.0,36.0,35.75,32.0,24.75,26.0,34.5,31.75,36.5,42.0,41.75,62.75,68.75,87.25,94.0,89.0,85.75,74.0,65.5,63.25,79.5,61.5,47.25,46.5,47.25,40.5,60.0,,,,,,
1,1.75,4.0,30.0,25.5,23.75,26.5,35.25,31.25,43.25,38.5,37.75,27.75,22.25,14.0,20.0,28.5,56.25,46.0,54.5,97.0,95.75,68.75,74.5,56.5,38.25,44.5,33.5,31.25,31.0,26.75,23.75,26.25,35.5,43.5,44.5,54.0,61.5,89.5,88.5,92.25,93.0,62.5,70.5,71.75,76.0,54.5,44.0,38.25,39.5,48.5,69.5,,,,,,
2,0.25,10.0,31.5,23.75,20.75,31.0,36.25,32.25,47.25,36.5,35.5,25.25,23.5,24.75,20.75,29.75,68.5,38.0,61.5,96.25,89.0,65.5,63.0,65.75,43.25,37.0,36.5,31.5,24.25,26.75,32.75,31.25,40.0,35.5,44.25,60.75,65.75,87.75,89.75,93.25,91.5,69.0,71.75,69.5,70.25,65.75,49.25,39.75,45.5,42.75,63.0,,,,,,
3,0.75,7.25,36.0,20.75,19.75,29.75,36.25,26.5,49.0,31.75,35.25,21.5,23.75,18.75,20.0,28.0,59.25,35.0,58.5,96.75,81.25,62.25,60.5,57.0,39.5,38.25,33.0,26.75,21.75,26.0,29.5,29.0,33.5,38.5,38.5,54.0,70.75,80.25,86.25,92.5,81.5,69.75,62.0,62.75,66.25,54.5,44.25,39.0,39.0,43.0,60.5,,,,,,
4,1.75,4.25,34.25,28.75,21.0,24.5,33.25,29.75,41.0,35.25,34.0,20.25,24.5,13.0,18.75,30.0,60.0,39.0,52.75,91.25,93.5,74.25,75.0,59.0,37.75,41.75,29.5,28.75,26.75,23.5,24.25,23.0,44.75,47.75,46.0,48.75,57.5,89.25,96.5,82.25,93.0,55.0,58.25,74.5,78.5,51.5,43.5,38.75,37.75,46.0,59.5,,,,,,
5,0.0,7.5,37.5,22.25,19.5,27.0,38.75,25.5,45.75,34.75,34.5,22.5,25.75,21.0,20.75,29.5,64.0,40.25,61.25,97.5,82.0,66.25,71.0,62.0,39.0,37.0,32.75,30.75,23.75,27.75,30.0,32.25,33.5,37.5,36.75,55.0,69.25,92.5,90.5,91.25,94.75,69.5,63.0,55.75,72.5,63.5,43.25,42.25,41.0,42.75,73.75,,,,,,
6,1.5,5.75,33.0,25.75,25.0,27.0,32.75,29.5,40.5,39.25,35.0,24.75,23.75,18.0,21.25,32.75,65.75,40.75,56.75,90.25,94.75,70.75,73.0,61.5,43.0,38.25,34.25,33.5,29.5,23.0,26.25,29.0,41.5,42.0,41.0,54.25,65.25,97.0,96.0,89.0,95.0,59.75,70.25,72.0,75.75,53.0,43.75,44.0,43.0,46.5,70.0,,,,,,
7,0.75,4.25,30.5,24.75,21.5,24.25,35.0,27.75,40.0,36.75,33.0,21.25,20.75,10.75,13.0,30.0,54.25,35.0,48.75,91.0,92.5,68.25,65.0,56.25,34.25,44.25,25.0,31.75,25.75,23.75,22.75,19.5,34.0,43.0,40.25,51.25,53.5,84.75,97.75,82.75,80.0,54.75,62.75,67.75,69.25,52.75,41.5,40.5,34.25,43.0,57.25,,,,,,
8,0.75,6.5,30.25,22.5,24.0,28.25,33.75,28.5,41.5,37.75,30.75,23.75,24.5,19.0,21.0,28.75,59.25,43.25,57.5,92.25,92.25,68.0,65.5,59.25,38.25,36.25,28.75,25.5,26.5,20.0,22.0,23.5,34.75,38.5,46.75,51.75,65.25,87.75,97.0,89.0,81.0,64.0,66.5,73.5,75.25,52.25,44.25,38.75,36.75,45.0,59.5,,,,,,
9,1.0,7.5,37.5,22.25,23.0,31.25,37.75,30.5,51.0,36.5,36.25,30.5,22.0,18.5,23.75,30.0,71.5,48.5,64.0,94.5,92.25,74.25,71.5,61.25,45.0,39.25,33.5,32.25,25.75,27.75,34.25,30.0,37.25,46.0,40.5,59.25,63.0,89.0,92.75,94.5,85.5,74.0,76.25,75.75,74.25,58.0,46.5,44.75,41.75,47.75,68.25,96.0,,,,,
