fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.75,0.0,3.0,0.75,0.0,3.75,0.0,0.0,1.0
2020-03-08,2.75,1.5,3.0,4.0,4.0,5.0,2.25,1.5,0.75
2020-03-15,37.25,34.0,39.25,36.75,30.75,40.75,32.5,33.0,22.5
2020-03-22,9.0,18.5,8.0,6.0,28.75,7.75,11.5,24.0,10.75
2020-03-29,15.5,22.75,12.0,12.25,26.75,11.5,17.25,25.75,16.25
2020-04-05,23.5,24.5,18.5,26.0,30.5,19.25,19.5,33.25,23.5
2020-04-12,22.25,25.5,35.5,38.75,34.25,30.25,32.25,41.25,27.5
2020-04-19,38.0,37.0,35.25,39.25,39.25,41.75,47.0,48.75,32.25
2020-04-26,54.0,59.25,60.25,63.25,66.0,50.25,55.0,61.25,51.75
2020-05-03,78.5,98.75,92.5,88.75,99.25,80.75,82.0,89.75,99.25
2020-05-10,81.25,80.5,78.5,88.75,80.75,89.0,85.0,84.0,78.75
2020-05-17,47.75,49.0,52.5,47.25,44.25,55.25,45.25,51.5,47.5
2020-05-24,56.0,65.0,63.5,73.5,63.5,69.0,68.0,60.75,61.0
2020-05-31,44.25,51.75,51.0,46.5,56.0,47.25,43.25,65.75,49.5
2020-06-07,53.0,45.0,54.75,65.5,50.5,48.0,52.75,63.0,47.0
2020-06-14,51.25,69.5,47.0,56.0,77.75,51.5,51.5,81.25,74.5
2020-06-21,66.25,74.5,82.0,71.75,83.75,79.75,85.75,93.0,75.25
2020-06-28,82.25,70.75,78.75,83.75,82.5,75.75,83.5,83.5,81.75
2020-07-05,94.0,67.25,81.0,93.75,68.5,88.5,79.75,73.75,70.75
2020-07-12,83.75,82.0,88.0,82.75,87.5,79.75,80.0,79.5,74.75
2020-07-19,56.75,54.5,57.75,50.0,61.25,53.5,53.5,53.0,55.0
2020-07-26,32.75,49.5,42.5,43.5,51.5,39.5,45.25,44.75,44.25
2020-08-02,43.0,38.25,52.75,37.75,37.75,48.75,46.25,38.0,35.25
2020-08-09,31.0,32.75,37.25,39.25,33.5,43.75,34.75,35.25,24.5
2020-08-16,23.5,30.5,25.75,25.5,34.75,33.75,27.75,32.25,31.25
2020-08-23,22.5,23.5,20.0,18.75,29.0,20.5,26.25,21.25,26.0
2020-08-30,25.0,29.0,26.0,28.25,30.75,27.0,30.0,21.25,14.75
2020-09-06,25.5,20.75,21.0,30.25,26.75,30.75,24.25,23.0,20.75
2020-09-13,12.0,19.25,13.25,11.5,25.25,15.25,16.25,24.25,14.25
2020-09-20,20.5,15.75,15.75,18.0,17.75,21.75,14.0,18.0,19.25
2020-09-27,12.0,21.5,9.25,15.5,26.5,13.0,13.0,24.75,16.25
2020-10-04,14.75,21.0,13.0,17.0,21.75,17.5,25.0,18.25,18.75
2020-10-11,9.0,6.5,18.25,17.0,12.5,15.5,15.0,12.5,12.25
2020-10-18,22.25,15.75,22.75,29.25,18.5,24.0,28.75,17.75,24.0
2020-10-25,6.5,15.0,7.0,5.0,12.5,6.25,8.5,19.5,13.25
2020-11-01,15.75,25.5,11.5,14.75,26.0,15.0,14.75,18.0,16.0
2020-11-08,15.5,23.75,12.25,19.5,19.5,11.5,17.75,16.25,14.5
2020-11-15,14.75,9.75,12.75,20.25,12.5,17.75,11.75,12.5,22.5
2020-11-22,38.25,38.75,45.75,41.5,50.25,34.75,42.75,38.75,29.25
2020-11-29,23.75,31.25,23.25,24.75,40.25,27.75,30.75,33.75,22.5
2020-12-06,40.0,47.75,43.75,41.75,53.0,44.5,36.75,76.0,43.5
2020-12-13,48.75,61.5,48.5,41.75,82.5,50.0,53.0,62.5,44.0
2020-12-20,55.5,55.25,63.75,59.5,57.5,52.0,51.5,70.75,39.5
2020-12-27,53.5,67.75,62.75,60.25,61.0,57.0,43.0,66.0,57.0
2021-01-03,62.5,42.75,63.5,64.0,49.75,59.0,54.0,57.25,49.75
2021-01-10,30.75,44.5,33.75,49.25,53.0,33.5,37.0,46.25,36.5
2021-01-17,29.0,38.75,35.25,28.75,32.0,28.0,36.5,36.25,28.75
2021-01-24,31.0,30.75,28.25,32.75,36.0,32.5,33.25,29.5,21.75
2021-01-31,31.0,20.5,28.75,31.25,29.0,28.5,32.5,29.75,17.25
2021-02-07,38.75,17.75,39.0,46.25,24.75,39.0,36.5,19.0,22.25
2021-02-14,30.75,20.75,39.75,30.0,29.0,31.75,33.75,28.75,26.25
