fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,7.0,0.0,0.0,5.75,0.0,3.25,0.0,2.25
2020-03-15,15.25,26.75,8.75,8.75,24.25,14.5,26.0,25.75,10.25
2020-03-22,20.0,16.25,19.75,11.5,23.75,17.5,19.25,24.5,20.25
2020-03-29,15.25,12.75,10.75,19.5,6.5,21.5,11.25,4.25,10.0
2020-04-05,23.25,9.5,13.75,17.0,10.25,19.75,10.25,9.5,17.25
2020-04-12,25.25,28.25,27.75,20.5,32.25,28.5,19.5,30.25,21.75
2020-04-19,29.75,50.5,26.0,34.5,40.5,23.0,43.75,45.25,31.25
2020-04-26,68.0,91.5,76.75,78.25,80.5,70.5,74.5,79.5,74.5
2020-05-03,78.25,79.0,65.25,45.0,77.75,57.0,73.5,73.0,60.5
2020-05-10,77.0,74.5,92.5,75.5,75.75,73.75,71.0,66.25,78.25
2020-05-17,48.0,30.5,53.5,53.75,35.5,50.0,38.75,47.0,54.25
2020-05-24,31.25,66.75,43.5,29.5,57.75,37.0,47.0,52.5,44.0
2020-05-31,35.5,48.25,33.5,39.0,47.0,31.0,40.75,50.75,34.5
2020-06-07,14.5,37.25,12.25,15.75,32.5,15.75,27.0,35.75,21.25
2020-06-14,27.0,26.25,30.5,27.5,30.25,30.0,22.0,29.0,31.0
2020-06-21,45.25,45.5,45.75,46.25,59.75,53.25,49.5,52.75,53.25
2020-06-28,59.5,70.5,61.25,61.5,59.0,70.5,65.75,67.0,57.0
2020-07-05,65.5,64.25,63.0,59.0,70.75,85.75,60.25,77.5,56.0
2020-07-12,60.25,82.25,77.25,59.0,79.5,55.75,70.5,75.25,52.25
2020-07-19,71.25,77.25,63.75,68.75,81.0,56.5,70.25,72.75,66.25
2020-07-26,63.25,47.0,59.0,53.75,41.5,64.5,45.5,63.5,58.25
2020-08-02,83.25,70.75,88.0,92.0,69.25,78.75,84.0,69.75,89.75
2020-08-09,78.25,72.5,75.25,82.75,86.25,77.0,73.25,76.0,82.5
2020-08-16,51.25,53.25,57.25,58.0,59.25,58.75,52.0,63.0,65.25
2020-08-23,50.0,34.75,55.0,41.5,34.5,45.75,43.0,37.25,55.0
2020-08-30,51.25,58.5,59.5,57.5,47.0,49.25,42.75,55.75,47.75
2020-09-06,36.25,22.75,37.75,37.75,27.0,36.0,29.5,27.75,35.75
2020-09-13,29.5,41.25,29.5,27.0,37.25,34.5,24.25,39.25,29.75
2020-09-20,30.0,23.5,26.0,25.0,30.25,21.75,20.75,22.5,30.5
2020-09-27,21.75,16.5,17.0,21.0,12.25,18.5,13.25,14.25,19.25
2020-10-04,13.0,13.75,20.25,16.5,13.5,12.25,9.5,15.0,15.25
2020-10-11,22.25,23.0,18.25,22.0,21.5,16.0,14.75,16.25,18.25
2020-10-18,31.0,17.25,15.25,15.5,17.0,24.75,19.5,17.0,26.25
2020-10-25,8.75,23.0,24.75,21.0,24.0,12.25,25.25,21.0,17.0
2020-11-01,13.5,21.5,18.5,11.0,13.5,17.0,18.0,12.0,10.0
2020-11-08,13.5,20.75,13.75,13.0,15.5,20.5,19.25,22.5,18.25
2020-11-15,14.0,23.75,18.0,15.25,17.0,15.25,21.5,17.0,20.75
2020-11-22,33.0,24.75,21.75,35.25,27.0,40.0,32.0,32.75,28.5
2020-11-29,20.5,32.75,22.5,18.75,40.0,25.5,28.5,35.0,17.25
2020-12-06,26.5,29.0,30.5,28.25,21.5,30.5,24.0,20.5,23.0
2020-12-13,38.5,29.25,42.5,38.5,21.75,42.75,27.75,34.0,40.0
2020-12-20,32.5,50.5,33.25,25.0,33.5,28.0,43.75,35.0,43.25
2020-12-27,41.5,50.75,29.25,33.0,47.5,33.25,56.5,53.0,41.25
2021-01-03,48.75,31.25,39.75,36.5,39.25,41.75,38.75,35.5,26.25
2021-01-10,50.0,31.0,30.25,32.5,32.5,30.5,36.0,40.25,40.75
2021-01-17,23.25,40.0,31.5,30.5,31.5,33.5,39.5,37.75,36.75
2021-01-24,34.75,25.0,26.0,27.75,24.75,30.0,28.25,25.25,41.5
2021-01-31,29.5,24.0,29.75,26.5,25.25,28.5,28.25,25.25,33.0
2021-02-07,16.0,32.5,22.75,11.75,15.5,17.0,27.25,21.25,17.75
2021-02-14,27.75,20.25,32.75,21.5,26.5,39.0,29.0,24.75,38.75
