,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21
0,17.0,0.0,0.0,28.0,48.0,26.0,32.0,27.5,6.75,33.5,39.0,6.5,6.75,52.0,0.0,25.75,81.75,76.5,55.25,62.0,39.25,11.5,21.75,63.25,58.75,10.75,42.0,39.25,7.25,35.0,0.0,6.5,27.0,7.5,13.0,19.0,20.75,27.25,7.5,20.5,6.75,7.0,46.5,39.5,21.75,43.75,56.0,30.25,6.5,42.5,19.0,,,,,
1,0.0,0.0,13.5,11.25,8.25,29.75,0.0,24.25,10.25,19.5,31.75,51.0,30.5,18.5,32.75,27.5,61.25,16.5,43.75,14.75,50.25,42.75,47.75,46.25,33.0,39.0,8.0,0.0,9.0,17.75,33.75,5.5,9.25,10.5,5.5,10.25,0.0,0.0,5.75,15.5,5.75,18.0,10.5,30.75,12.5,32.0,51.5,75.0,21.25,8.25,17.0,,,,,
2,8.0,0.0,0.0,41.5,38.25,17.0,46.75,16.25,9.5,12.0,21.75,6.5,4.75,45.75,9.5,16.75,64.75,45.75,34.75,49.25,24.0,7.75,28.25,47.5,36.75,10.75,41.75,7.75,4.25,24.0,19.5,13.5,16.5,10.0,12.5,22.75,44.75,50.5,21.0,21.5,11.25,6.0,49.75,35.75,6.5,42.75,46.0,46.0,6.5,22.5,40.25,,,,,
3,7.5,0.0,0.0,21.5,40.0,43.0,31.75,9.75,6.25,15.0,44.25,9.25,14.5,35.5,17.5,20.75,71.25,60.75,39.25,45.0,49.25,23.5,38.25,78.0,63.75,0.0,32.5,29.0,6.0,37.5,11.25,17.5,16.0,15.75,15.0,6.0,16.25,39.0,19.5,19.75,13.0,6.25,39.5,15.25,17.0,66.5,27.75,37.5,17.5,30.0,24.25,,,,,
4,0.0,0.0,9.0,21.75,13.5,16.25,0.0,14.25,10.5,21.75,37.5,31.25,20.0,41.25,33.25,22.25,65.75,22.25,53.75,10.25,72.75,33.75,42.5,35.25,37.5,53.5,10.75,12.5,0.0,12.75,15.25,11.75,22.5,8.25,5.75,12.0,0.0,0.0,4.5,19.25,17.5,8.75,14.75,15.25,20.25,29.25,68.5,70.5,6.5,8.75,28.25,,,,,
5,12.0,0.0,0.0,27.25,33.25,26.5,28.5,10.25,0.0,23.0,19.0,4.5,8.75,25.25,17.75,18.0,88.5,40.75,22.75,58.5,32.25,12.0,21.75,23.0,60.75,7.75,26.0,23.75,9.0,17.5,4.5,31.25,9.0,14.0,18.5,4.5,24.0,25.5,19.25,15.0,0.0,9.25,11.25,32.75,9.5,20.0,26.5,41.75,20.75,0.0,16.5,,,,,
6,7.75,0.0,7.0,32.5,11.75,7.0,13.0,27.25,0.0,0.0,14.5,26.75,12.0,47.5,36.25,6.0,58.25,63.5,51.5,6.25,87.5,53.0,46.25,60.25,41.25,24.5,5.25,17.0,0.0,11.75,29.25,7.0,13.75,13.25,19.75,6.25,13.25,0.0,20.75,21.25,13.25,14.0,15.25,24.25,0.0,21.25,53.25,36.5,29.5,14.25,14.0,,,,,
7,0.0,0.0,19.5,29.75,4.0,12.75,0.0,13.75,13.5,25.25,21.75,41.25,28.25,27.75,16.0,50.5,46.75,28.25,54.0,4.25,55.5,57.5,27.0,53.5,23.0,44.75,13.75,3.75,13.25,7.75,7.5,0.0,17.5,18.0,0.0,4.25,0.0,18.25,4.5,13.75,22.5,13.5,10.25,0.0,14.25,19.5,78.0,46.5,19.0,4.5,39.75,,,,,
8,0.0,0.0,4.25,40.25,9.5,35.25,5.25,33.25,0.0,27.25,35.75,24.5,21.25,3.25,8.5,34.5,34.5,40.0,66.25,0.0,12.75,51.5,31.0,28.0,33.5,19.75,26.0,4.5,22.5,37.5,31.75,9.75,14.25,9.0,17.25,5.0,33.75,0.0,20.0,33.0,5.25,0.0,0.0,73.5,25.25,70.0,53.0,48.5,4.25,14.5,11.75,,,,,
9,,0.0,6.5,34.0,44.0,23.75,10.5,11.75,11.0,11.5,58.5,22.5,38.75,30.25,16.25,38.25,53.0,33.5,43.5,12.5,56.5,44.25,35.75,56.5,56.25,43.75,13.75,13.75,0.0,40.5,14.75,14.75,12.5,18.0,11.5,22.5,6.75,16.0,18.5,37.75,12.0,23.75,14.5,47.75,0.0,51.0,31.5,64.25,12.25,20.0,19.5,38.5,,,,
10,,0.0,13.25,26.5,13.75,17.75,0.0,29.5,12.0,10.5,51.25,54.25,43.0,45.5,22.0,40.75,47.25,10.0,58.75,10.5,78.75,60.25,46.75,40.0,35.5,57.0,13.25,14.25,0.0,28.5,28.5,11.25,12.0,6.0,0.0,21.75,0.0,0.0,12.5,36.5,12.0,29.5,14.0,20.25,0.0,31.25,54.25,82.0,20.25,6.25,44.0,54.0,,,,
