fecha,0,1,2,3,4,5,6,7,8
2020-03-01,3.0,0.0,3.25,1.25,0.0,1.5,0.0,0.0,0.0
2020-03-08,16.25,4.0,13.5,9.5,4.75,13.5,6.25,6.75,7.75
2020-03-15,56.25,41.75,56.5,44.25,62.5,61.5,54.5,71.75,46.25
2020-03-22,38.0,43.75,34.25,32.25,52.25,28.5,39.75,57.5,39.0
2020-03-29,25.5,29.75,16.75,13.5,28.25,23.5,30.75,26.0,22.5
2020-04-05,28.5,32.5,33.75,27.0,30.75,25.75,30.0,25.25,26.75
2020-04-12,52.0,39.25,57.0,42.0,31.0,49.25,47.0,36.5,30.5
2020-04-19,29.0,20.5,28.0,23.25,25.0,29.5,26.0,35.5,28.5
2020-04-26,21.25,21.25,25.0,17.0,20.0,17.75,28.0,27.5,18.75
2020-05-03,29.25,19.5,22.5,20.0,23.5,33.75,23.5,26.0,18.75
2020-05-10,37.75,31.0,50.0,36.75,27.75,34.25,22.25,31.75,27.75
2020-05-17,22.0,35.75,34.5,34.75,37.25,33.0,50.5,40.5,37.5
2020-05-24,61.25,40.0,51.5,45.0,45.75,56.75,44.75,60.0,39.25
2020-05-31,35.75,27.75,31.0,26.25,43.5,30.75,53.75,58.25,37.25
2020-06-07,38.75,37.5,51.5,37.75,51.5,42.25,45.5,65.25,34.75
2020-06-14,38.25,36.5,41.75,32.75,35.25,40.25,36.75,44.5,36.0
2020-06-21,42.5,54.25,45.0,42.5,58.0,36.0,47.0,74.0,45.25
2020-06-28,41.25,26.75,54.0,41.25,25.5,33.5,45.0,40.5,38.5
2020-07-05,34.5,28.0,34.0,16.25,38.5,28.5,28.0,27.5,24.0
2020-07-12,37.25,22.75,26.75,22.5,17.25,18.75,35.75,35.25,24.0
2020-07-19,61.25,30.75,51.5,37.75,40.75,48.25,45.5,43.25,40.5
2020-07-26,44.25,35.25,45.75,42.5,44.5,33.5,40.0,51.0,33.5
2020-08-02,63.0,44.25,53.25,48.75,51.0,53.25,48.25,69.75,51.0
2020-08-09,43.5,36.75,28.25,32.5,45.75,30.25,46.5,65.5,34.25
2020-08-16,64.0,46.25,55.0,39.75,46.75,44.75,37.75,69.0,43.5
2020-08-23,51.25,73.5,61.75,35.75,65.0,47.75,66.25,66.25,51.75
2020-08-30,42.75,32.25,38.5,28.75,34.0,32.5,29.0,23.75,34.0
2020-09-06,40.5,33.5,36.5,32.0,37.0,41.0,40.25,41.0,37.0
2020-09-13,48.5,30.0,39.75,19.5,33.5,43.75,42.25,46.5,39.25
2020-09-20,33.5,26.75,29.25,18.25,37.5,30.0,33.25,32.25,38.75
2020-09-27,21.5,29.75,21.5,19.5,34.75,22.0,29.75,40.0,32.5
2020-10-04,24.0,23.75,17.25,18.25,37.75,14.5,32.25,37.25,27.75
2020-10-11,54.5,22.25,39.25,42.25,31.0,42.5,45.0,46.5,24.25
2020-10-18,34.0,38.75,23.0,17.0,37.5,23.25,43.0,50.0,22.75
2020-10-25,38.5,36.25,52.25,30.75,48.0,47.25,52.25,36.5,36.0
2020-11-01,40.75,39.5,41.5,30.0,47.25,34.75,35.75,56.5,38.25
2020-11-08,40.75,29.0,35.5,30.25,48.25,35.75,34.25,41.5,29.5
2020-11-15,65.5,53.75,54.75,39.5,67.0,55.0,55.25,67.0,40.25
2020-11-22,37.75,34.25,38.75,29.5,33.0,33.75,40.75,51.25,37.0
2020-11-29,25.0,35.0,25.25,25.0,44.75,16.75,37.75,69.5,35.0
2020-12-06,45.25,58.5,61.25,44.75,75.5,58.75,76.25,66.25,45.25
2020-12-13,89.0,56.5,81.0,79.5,62.5,74.25,83.25,78.0,53.5
2020-12-20,51.5,65.25,55.0,53.5,70.5,57.25,66.75,70.5,54.75
2020-12-27,80.25,41.25,82.75,69.5,58.5,82.5,64.5,62.5,50.75
2021-01-03,74.25,90.5,64.25,61.25,87.5,72.5,73.75,82.0,66.5
2021-01-10,76.75,95.5,91.5,86.5,97.5,88.5,87.5,71.75,91.75
2021-01-17,88.75,48.5,84.25,59.75,54.0,64.0,59.25,70.75,58.25
2021-01-24,54.5,69.75,48.25,37.0,61.75,55.25,63.5,67.75,64.75
2021-01-31,71.75,50.25,78.0,49.5,62.75,49.75,59.0,73.75,54.0
2021-02-07,60.5,43.0,55.75,42.25,62.25,69.25,72.25,78.25,62.25
2021-02-14,36.25,63.75,46.75,38.5,58.0,42.0,53.5,66.0,45.0
