fecha,0,1,2,3,4,5,6,7
2020-03-01,3.25,8.25,2.25,3.5,5.5,3.25,5.5,7.25
2020-03-08,7.75,13.25,11.0,7.25,12.75,8.75,11.5,12.5
2020-03-15,61.75,62.25,55.75,61.75,57.0,57.5,61.75,59.25
2020-03-22,42.75,55.0,43.0,48.25,51.75,44.5,52.75,56.25
2020-03-29,27.0,27.75,22.75,26.25,25.0,28.25,27.75,23.75
2020-04-05,26.0,27.75,27.75,26.75,27.5,28.0,31.0,22.5
2020-04-12,47.75,60.25,44.25,42.75,58.5,42.25,52.25,56.5
2020-04-19,43.5,44.0,42.25,45.25,36.5,39.75,43.0,42.75
2020-04-26,43.25,40.5,44.5,45.25,35.25,44.75,44.0,37.25
2020-05-03,57.25,66.0,54.0,54.25,60.75,59.5,57.75,66.0
2020-05-10,86.75,91.25,95.5,82.0,88.75,96.75,96.25,92.75
2020-05-17,94.5,95.5,98.25,90.5,98.5,95.25,93.5,100.0
2020-05-24,93.0,96.25,93.0,99.25,86.75,99.5,90.0,89.5
2020-05-31,85.0,88.25,81.75,83.75,80.5,88.0,85.25,84.75
2020-06-07,64.0,70.5,55.0,60.25,71.75,59.25,69.25,70.75
2020-06-14,57.25,50.25,51.0,50.0,50.5,54.5,46.25,43.75
2020-06-21,57.5,50.75,53.75,48.75,54.25,57.25,53.75,48.5
2020-06-28,44.25,37.5,47.25,45.5,49.25,44.5,45.0,46.25
2020-07-05,29.75,29.75,29.0,25.5,32.75,29.5,29.75,34.25
2020-07-12,39.25,40.5,39.25,38.75,41.25,34.5,40.75,41.5
2020-07-19,23.0,30.25,21.5,19.25,28.75,24.5,26.5,24.25
2020-07-26,23.75,32.5,28.5,26.0,33.25,28.25,29.25,36.75
2020-08-02,27.5,38.0,31.5,31.0,38.25,32.75,34.5,39.0
2020-08-09,33.25,36.75,28.5,34.75,39.25,34.5,37.0,43.75
2020-08-16,45.25,30.5,45.0,44.0,37.25,39.75,37.5,35.5
2020-08-23,43.5,38.75,38.75,38.25,36.5,37.75,41.0,40.5
2020-08-30,20.0,23.75,18.25,16.25,22.5,17.5,22.0,23.0
2020-09-06,30.0,29.5,22.75,26.5,23.5,26.0,24.25,28.25
2020-09-13,32.75,41.5,30.0,34.25,38.25,33.75,39.0,43.75
2020-09-20,34.75,38.0,33.5,36.25,34.5,39.75,37.75,36.75
2020-09-27,30.5,45.25,30.5,30.0,42.75,30.5,39.0,44.5
2020-10-04,30.0,42.5,28.0,27.75,38.75,24.75,35.0,41.75
2020-10-11,26.0,39.0,22.75,26.25,36.5,26.25,34.75,43.0
2020-10-18,27.5,26.25,29.75,27.25,23.5,27.75,26.25,28.25
2020-10-25,26.0,40.25,27.0,27.0,37.75,21.5,32.5,32.75
2020-11-01,25.75,34.5,25.75,23.5,32.75,25.0,27.75,27.0
2020-11-08,29.5,15.75,33.0,30.0,19.25,31.75,26.0,20.0
2020-11-15,25.5,29.75,21.5,21.25,31.0,26.0,32.0,35.75
2020-11-22,34.0,27.75,33.25,30.25,31.5,31.5,30.25,31.0
2020-11-29,33.25,32.5,35.0,36.0,34.0,35.5,31.5,33.5
2020-12-06,30.0,34.0,28.25,30.0,37.75,29.5,32.0,42.25
2020-12-13,41.5,41.25,40.25,41.5,37.5,38.75,39.75,33.5
2020-12-20,46.5,44.75,40.75,48.25,40.0,41.0,41.0,36.25
2020-12-27,58.75,73.75,64.75,59.0,71.0,58.0,73.25,78.25
2021-01-03,68.25,67.0,66.5,65.5,63.25,64.25,60.75,61.0
2021-01-10,86.5,89.0,79.5,83.0,95.0,86.5,82.25,90.5
2021-01-17,60.0,61.5,55.5,60.75,64.75,53.25,70.5,58.75
2021-01-24,56.5,62.25,55.5,50.75,69.5,47.75,62.5,66.0
2021-01-31,51.25,57.75,52.75,47.75,50.75,53.5,53.75,54.5
2021-02-07,69.75,65.25,58.0,57.25,57.5,60.0,62.75,59.0
2021-02-14,52.5,54.5,46.5,53.0,54.25,49.75,56.75,51.5
