fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,4.75,16.25,13.0,8.5,5.25,0.0,0.0,13.5
2020-03-15,0.0,24.5,0.0,0.0,20.5,0.0,0.0,36.0
2020-03-22,18.75,29.0,19.75,23.75,5.75,19.5,23.5,31.5
2020-03-29,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,13.0,0.0,6.25,17.75,0.0,7.75,19.25,0.0
2020-04-12,5.0,29.5,4.5,4.0,32.0,17.5,11.0,36.5
2020-04-19,0.0,32.75,12.25,12.5,18.25,0.0,0.0,6.75
2020-04-26,0.0,54.0,0.0,3.5,35.25,7.25,0.0,23.75
2020-05-03,18.75,0.0,10.5,7.25,0.0,5.5,0.0,0.0
2020-05-10,0.0,0.0,0.0,0.0,4.5,0.0,0.0,17.75
2020-05-17,9.25,42.25,0.0,8.25,35.5,14.0,0.0,35.75
2020-05-24,8.75,0.0,10.5,12.0,0.0,11.5,0.0,0.0
2020-05-31,16.25,0.0,11.75,18.75,0.0,18.75,11.5,0.0
2020-06-07,5.5,0.0,3.5,3.75,0.0,12.75,3.75,0.0
2020-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,0.0,9.25,0.0,0.0,9.0,0.0,0.0,17.5
2020-07-05,0.0,34.0,0.0,0.0,18.5,0.0,0.0,11.5
2020-07-12,20.0,35.5,46.5,33.5,46.25,20.0,41.5,19.5
2020-07-19,53.75,76.0,57.75,71.25,99.0,65.5,56.25,84.75
2020-07-26,82.75,55.25,71.25,88.75,53.0,85.75,100.0,76.25
2020-08-02,87.25,57.0,82.75,56.25,38.25,51.75,65.5,48.75
2020-08-09,14.25,48.75,18.5,8.75,21.0,17.5,3.5,23.0
2020-08-16,19.25,37.75,41.25,51.5,23.75,74.0,50.0,59.75
2020-08-23,19.0,4.25,19.25,3.5,13.0,31.5,15.75,23.5
2020-08-30,13.5,10.5,25.0,11.5,14.0,15.75,5.75,0.0
2020-09-06,14.5,4.75,27.75,7.0,7.25,25.5,15.75,6.0
2020-09-13,0.0,24.75,0.0,0.0,14.25,0.0,0.0,0.0
2020-09-20,31.5,10.75,30.0,8.25,9.75,30.25,22.0,7.75
2020-09-27,16.75,0.0,7.25,6.75,5.0,0.0,21.5,0.0
2020-10-04,6.0,5.5,32.5,15.25,5.5,0.0,16.25,0.0
2020-10-11,4.5,10.75,19.5,13.0,5.25,9.0,13.25,15.5
2020-10-18,11.75,14.25,17.5,17.25,20.75,15.0,6.75,44.75
2020-10-25,10.0,9.75,0.0,7.75,15.0,13.0,9.5,15.75
2020-11-01,25.0,23.5,33.75,37.75,5.0,29.25,19.5,14.5
2020-11-08,26.75,45.75,28.75,33.75,23.0,37.75,22.75,19.5
2020-11-15,41.0,0.0,37.75,19.25,0.0,38.75,20.75,0.0
2020-11-22,6.25,37.0,12.0,14.5,50.0,8.5,4.25,39.0
2020-11-29,16.5,16.0,24.5,25.75,14.0,39.0,28.5,8.5
2020-12-06,26.5,6.25,8.5,18.25,12.0,14.5,12.5,24.25
2020-12-13,7.0,32.75,6.5,5.75,38.75,14.5,20.25,51.25
2020-12-20,6.5,0.0,5.5,9.25,0.0,9.5,6.5,0.0
2020-12-27,61.75,31.75,25.75,38.25,22.5,25.75,22.25,30.5
2021-01-03,0.0,37.0,0.0,0.0,56.25,0.0,0.0,18.25
2021-01-10,7.0,12.0,6.75,5.25,0.0,7.0,0.0,17.75
2021-01-17,7.25,6.0,16.75,4.25,11.5,22.0,4.75,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,15.25,0.0,14.0,9.0,13.0,18.5,14.25,13.0
2021-02-07,0.0,10.75,0.0,0.0,0.0,0.0,0.0,13.25
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
