fecha,0,1,2,3,4,5,6,7,8
2020-03-01,2.0,2.75,2.5,5.25,7.5,2.25,2.0,9.5,6.0
2020-03-08,5.0,10.5,3.25,5.75,12.0,5.25,9.75,2.5,6.5
2020-03-15,9.5,16.0,19.5,8.0,11.25,4.75,10.0,10.75,15.25
2020-03-22,35.5,11.75,35.0,29.0,7.5,42.5,29.5,13.5,25.5
2020-03-29,1.75,2.25,4.75,12.5,5.25,5.0,2.0,4.0,11.75
2020-04-05,10.0,26.0,19.5,14.25,22.75,22.25,12.75,26.75,21.0
2020-04-12,32.5,32.75,34.75,45.5,42.75,36.75,48.5,16.75,33.5
2020-04-19,30.25,27.0,43.25,23.25,27.75,28.5,34.5,22.25,37.5
2020-04-26,27.75,30.75,35.25,29.0,28.5,23.75,22.75,20.25,21.75
2020-05-03,2.25,1.5,1.5,10.75,19.0,12.0,7.5,18.75,5.0
2020-05-10,6.75,14.5,13.75,8.25,21.25,13.0,17.5,19.75,15.75
2020-05-17,15.5,9.5,20.0,11.0,15.75,20.75,18.75,9.5,11.75
2020-05-24,13.0,14.75,16.25,17.25,18.5,15.0,13.25,20.25,25.0
2020-05-31,19.0,44.75,21.0,19.0,25.75,16.25,15.75,25.5,29.5
2020-06-07,8.75,0.0,9.5,14.0,0.0,18.0,7.25,0.0,9.25
2020-06-14,2.0,29.25,2.75,2.5,24.0,4.25,14.0,37.0,32.75
2020-06-21,25.25,34.0,30.0,36.75,21.0,33.5,32.5,27.0,31.25
2020-06-28,38.0,25.25,37.0,41.75,24.0,27.0,28.75,30.5,36.25
2020-07-05,64.75,52.75,67.75,63.5,34.5,60.75,59.25,31.25,47.75
2020-07-12,49.75,100.0,54.5,56.25,83.75,43.75,73.5,83.75,64.5
2020-07-19,32.75,43.25,49.0,35.75,63.25,47.0,48.25,40.5,46.5
2020-07-26,80.5,64.75,85.25,70.5,58.75,67.5,71.0,47.75,61.0
2020-08-02,84.25,82.0,70.0,83.25,92.25,95.0,61.75,57.5,72.25
2020-08-09,49.5,45.75,66.0,53.5,50.25,67.75,64.5,55.0,51.25
2020-08-16,61.25,67.75,49.0,50.5,73.5,58.25,64.0,74.25,70.0
2020-08-23,55.75,42.25,54.25,47.0,31.75,56.75,47.25,48.5,45.75
2020-08-30,46.25,34.5,48.5,71.5,41.0,37.5,44.5,25.75,43.75
2020-09-06,70.5,48.5,78.25,83.75,36.5,66.25,33.25,45.5,45.5
2020-09-13,30.75,33.25,49.5,44.25,43.5,51.75,31.5,16.25,46.0
2020-09-20,50.0,39.5,43.25,51.25,41.25,41.25,35.5,23.0,53.0
2020-09-27,37.0,59.25,36.0,20.5,41.0,22.5,34.0,49.25,37.25
2020-10-04,21.0,39.0,22.0,42.0,27.0,31.75,32.0,17.0,28.0
2020-10-11,25.25,16.5,30.25,31.25,17.25,35.0,25.75,15.75,30.5
2020-10-18,27.25,11.5,26.5,36.75,13.5,22.25,17.5,9.75,15.0
2020-10-25,8.75,0.0,15.5,15.75,4.75,11.75,14.25,4.0,9.25
2020-11-01,13.75,21.0,10.0,13.25,20.5,18.0,10.0,21.75,18.0
2020-11-08,30.75,18.25,25.75,26.0,16.0,40.0,18.75,17.75,13.25
2020-11-15,24.0,27.25,25.5,28.25,18.0,33.5,31.25,11.0,18.5
2020-11-22,10.0,16.25,23.25,27.0,9.75,18.0,8.25,6.75,8.75
2020-11-29,24.0,23.0,37.25,24.0,25.25,25.25,16.25,39.5,8.0
2020-12-06,27.25,8.5,17.5,42.25,26.75,27.25,34.0,20.0,32.75
2020-12-13,3.0,24.5,14.75,16.75,43.0,9.75,22.0,39.0,33.75
2020-12-20,27.0,32.75,15.0,26.25,31.0,28.5,29.25,22.0,53.0
2020-12-27,33.25,22.75,32.0,53.0,29.5,39.75,24.0,18.5,43.25
2021-01-03,48.75,51.75,44.5,47.5,39.25,45.5,38.5,50.25,40.5
2021-01-10,17.5,54.75,17.75,10.75,46.25,15.75,23.0,36.5,46.0
2021-01-17,22.75,23.25,16.75,40.5,33.0,31.25,27.25,31.0,29.25
2021-01-24,26.75,30.0,21.5,23.25,31.0,37.25,29.0,24.75,23.5
2021-01-31,16.75,22.25,25.0,18.25,21.75,29.75,27.5,12.75,23.75
2021-02-07,11.75,6.0,13.0,8.25,13.75,12.5,10.25,5.25,12.0
2021-02-14,6.5,5.5,10.5,7.25,2.75,14.0,6.5,4.25,19.5
