fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,7.25,0.0,0.0,20.0,0.0,12.25,0.0,11.0
2020-03-08,0.0,13.5,0.0,0.0,11.75,0.0,0.0,17.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,13.5,7.5,26.25,32.5,18.75,33.5,18.0,0.0,22.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
2020-04-05,0.0,17.25,0.0,0.0,12.75,0.0,19.5,0.0,0.0
2020-04-12,35.0,0.0,0.0,48.75,14.5,30.75,20.0,42.0,11.0
2020-04-19,19.5,28.75,25.0,18.5,44.5,13.75,42.25,16.5,18.5
2020-04-26,59.25,30.0,74.0,40.25,18.5,55.75,46.25,14.25,10.75
2020-05-03,11.75,0.0,23.5,22.0,7.25,11.5,17.5,11.75,19.5
2020-05-10,8.0,0.0,20.0,12.75,0.0,23.75,0.0,0.0,0.0
2020-05-17,26.75,26.75,60.0,42.0,51.75,46.0,39.25,27.25,74.75
2020-05-24,0.0,13.75,12.75,16.75,11.75,0.0,11.5,18.25,25.0
2020-05-31,63.5,36.75,60.75,70.5,27.75,32.0,26.0,27.25,63.25
2020-06-07,37.0,57.0,62.75,78.5,17.0,46.5,38.0,31.75,78.0
2020-06-14,12.25,20.75,5.25,30.0,29.0,11.0,22.0,44.25,27.25
2020-06-21,37.5,37.25,29.25,35.0,22.0,45.0,49.75,26.0,29.5
2020-06-28,35.25,11.5,30.75,45.75,29.75,53.0,0.0,0.0,34.0
2020-07-05,9.0,26.0,30.5,0.0,11.75,21.0,11.25,0.0,28.75
2020-07-12,37.0,41.5,31.25,56.75,35.5,22.75,52.75,16.0,65.5
2020-07-19,19.25,42.5,33.25,17.75,44.0,60.0,37.0,82.0,36.5
2020-07-26,21.5,0.0,36.5,17.5,0.0,33.25,12.0,0.0,17.0
2020-08-02,16.25,12.5,39.75,34.5,7.0,11.0,0.0,11.75,29.75
2020-08-09,0.0,25.25,0.0,0.0,28.5,0.0,27.5,21.75,33.0
2020-08-16,28.75,0.0,5.0,0.0,0.0,8.75,12.0,0.0,17.0
2020-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,0.0,18.75,0.0,0.0,17.5,0.0,11.0,26.25,0.0
2020-09-06,7.75,46.25,12.5,37.75,40.0,19.75,22.75,37.0,29.5
2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-10-04,0.0,45.25,31.75,9.5,55.5,12.5,30.75,33.25,34.0
2020-10-11,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,23.0
2020-10-18,57.5,0.0,0.0,22.0,0.0,44.75,0.0,0.0,0.0
2020-10-25,8.75,0.0,19.25,8.25,0.0,11.5,0.0,0.0,8.5
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,11.25,0.0,34.0,20.25,0.0,11.0,0.0,0.0,0.0
2020-11-15,16.25,0.0,27.5,17.0,6.5,22.0,0.0,0.0,28.75
2020-11-22,11.5,13.5,19.5,8.25,10.5,23.0,15.0,15.0,10.5
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75
2020-12-06,21.25,21.5,39.75,34.25,0.0,63.75,13.0,0.0,30.5
2020-12-13,20.5,0.0,19.0,9.25,0.0,12.5,0.0,0.0,0.0
2020-12-20,11.75,0.0,18.0,11.25,0.0,0.0,0.0,0.0,11.75
2020-12-27,63.25,0.0,30.25,35.5,0.0,31.75,16.0,0.0,23.25
2021-01-03,0.0,89.5,0.0,0.0,50.0,0.0,32.0,38.75,58.75
2021-01-10,0.0,23.0,0.0,0.0,12.25,0.0,0.0,37.5,19.5
2021-01-17,9.5,29.5,5.5,18.25,43.5,9.0,0.0,35.0,26.25
2021-01-24,0.0,21.75,18.75,8.25,52.5,30.25,50.0,34.25,10.5
2021-01-31,7.25,11.0,17.75,15.75,17.25,36.75,21.25,17.0,25.25
2021-02-07,10.25,0.0,7.0,11.25,11.0,7.75,10.5,10.25,7.5
2021-02-14,0.0,0.0,0.0,0.0,27.0,0.0,13.0,0.0,8.5
