fecha,0,1,2,3,4,5,6,7
2020-03-01,6.5,0.0,1.5,5.0,0.0,4.5,5.25,0.0
2020-03-08,6.25,2.25,5.25,3.25,2.25,7.25,3.25,5.0
2020-03-15,0.0,11.5,0.0,0.0,14.75,0.0,6.0,24.25
2020-03-22,6.25,21.75,9.0,3.25,21.75,5.75,12.75,32.75
2020-03-29,23.25,16.75,20.0,13.5,29.25,12.5,15.25,25.75
2020-04-05,10.75,15.5,6.0,11.0,10.75,10.0,16.0,5.25
2020-04-12,29.5,21.0,25.0,27.0,44.0,29.0,30.5,21.5
2020-04-19,10.0,12.5,9.25,9.25,13.75,10.75,12.25,16.25
2020-04-26,26.0,1.5,16.0,9.25,0.0,15.75,20.25,0.0
2020-05-03,7.0,15.75,4.25,2.25,10.5,4.75,2.5,14.75
2020-05-10,14.75,22.25,12.0,9.5,21.0,11.75,13.5,33.0
2020-05-17,16.0,23.0,33.75,20.75,15.75,12.25,23.5,15.25
2020-05-24,17.25,4.5,11.0,15.25,8.0,14.75,10.75,7.75
2020-05-31,32.75,10.5,27.75,22.0,11.0,17.75,27.0,15.25
2020-06-07,10.0,21.75,10.25,5.25,22.25,13.25,19.75,23.75
2020-06-14,17.0,9.75,9.75,7.5,8.5,4.0,8.25,8.25
2020-06-21,57.0,32.0,37.0,29.25,21.25,36.25,22.5,38.25
2020-06-28,52.5,72.5,54.25,51.25,64.0,49.5,62.0,81.75
2020-07-05,93.5,58.25,94.5,87.0,66.0,82.25,83.25,81.25
2020-07-12,83.75,97.5,85.0,87.5,92.25,100.0,89.0,91.25
2020-07-19,33.5,81.5,44.75,44.0,78.5,29.0,46.0,66.0
2020-07-26,29.0,42.5,22.5,26.25,51.25,17.75,23.5,32.5
2020-08-02,15.25,4.75,29.5,14.75,26.25,14.5,26.75,47.25
2020-08-09,10.0,22.25,11.75,6.25,21.75,14.5,7.5,45.25
2020-08-16,19.0,20.0,19.25,18.5,15.5,7.5,17.25,33.5
2020-08-23,25.25,9.5,24.5,15.75,21.75,17.0,21.75,17.5
2020-08-30,16.25,9.25,6.75,5.5,12.0,12.75,5.0,16.25
2020-09-06,14.25,19.0,6.25,2.25,13.25,5.25,2.75,20.0
2020-09-13,12.5,12.0,10.0,7.25,12.75,2.5,3.25,24.5
2020-09-20,3.25,5.0,5.25,5.25,5.25,5.75,6.25,2.0
2020-09-27,0.0,3.75,0.0,0.0,11.75,0.0,5.25,7.75
2020-10-04,0.0,3.25,0.0,0.0,10.5,0.0,2.0,4.5
2020-10-11,9.5,14.25,14.75,13.5,14.0,8.75,10.0,4.5
2020-10-18,7.25,0.0,8.75,3.0,2.0,5.25,5.25,0.0
2020-10-25,3.5,6.25,0.0,6.25,7.5,5.5,7.0,6.75
2020-11-01,5.75,6.75,14.25,6.0,9.0,12.75,2.5,10.5
2020-11-08,2.0,4.5,1.5,3.0,5.0,3.0,4.5,18.75
2020-11-15,21.25,13.5,18.0,19.75,23.0,13.0,9.75,31.75
2020-11-22,3.5,5.25,10.75,6.25,4.0,8.25,11.5,6.5
2020-11-29,13.0,5.75,7.75,9.0,13.5,9.0,9.5,14.75
2020-12-06,7.0,2.0,2.5,7.75,0.0,10.75,6.25,0.0
2020-12-13,18.0,24.75,7.5,10.0,23.5,9.5,8.0,18.75
2020-12-20,11.0,12.0,20.25,15.75,11.0,14.75,9.5,12.25
2020-12-27,35.5,16.5,28.5,18.25,18.5,24.25,21.0,31.5
2021-01-03,7.25,33.0,1.75,2.25,29.75,5.75,10.5,19.25
2021-01-10,39.75,30.75,29.5,27.5,15.25,22.0,27.0,28.0
2021-01-17,34.5,32.5,23.75,19.25,39.25,25.5,24.75,53.0
2021-01-24,6.25,18.25,3.25,8.5,19.0,17.25,19.75,43.25
2021-01-31,13.0,9.5,9.0,10.25,12.25,13.25,7.0,22.5
2021-02-07,13.25,0.0,15.75,21.75,0.0,19.0,10.0,0.0
2021-02-14,4.75,3.5,6.25,13.25,7.0,6.75,5.5,2.25
