,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,10.25,0.0,0.0,4.0,0.0,51.75,30.75,11.5,9.0,0.0,20.5,12.75,4.75,17.0,32.75,44.25,80.25,57.0,73.25,25.0,37.5,77.0,40.75,52.0,5.75,24.0,83.25,11.5,17.0,72.75,5.0,8.75,16.5,24.5,15.25,36.25,28.25,14.25,32.0,45.25,46.5,13.0,47.0,16.5,0.0,26.5,23.5,0.0,0.0,
1,0.0,7.5,17.0,14.5,0.0,4.75,12.5,10.75,38.25,20.0,10.25,36.5,18.75,15.0,0.0,11.25,20.0,77.25,41.25,78.75,36.25,4.25,40.25,30.0,7.75,43.5,25.0,17.75,9.5,10.75,73.25,11.0,4.5,11.0,38.0,22.75,14.5,26.75,11.0,8.25,55.75,31.75,10.75,16.0,43.25,45.5,23.0,27.0,4.25,32.25,25.75,
2,0.0,0.0,19.75,3.75,7.25,23.0,0.0,62.75,21.25,12.5,31.5,0.0,19.75,16.0,4.75,19.25,67.75,40.0,51.0,78.5,43.75,38.75,43.75,71.0,29.5,21.25,17.75,31.75,85.0,7.75,15.75,31.25,9.25,8.0,12.0,34.25,9.5,39.0,22.0,9.0,26.5,37.75,46.0,11.5,6.25,10.5,0.0,26.75,13.75,3.75,0.0,
3,0.0,0.0,4.5,14.0,4.25,10.5,0.0,54.75,23.5,23.5,12.5,0.0,21.5,15.75,8.0,26.5,66.75,50.25,72.75,85.75,55.25,48.5,41.0,66.5,31.75,41.25,17.5,23.5,74.25,7.75,16.75,31.25,10.25,12.75,26.5,27.25,26.25,30.75,27.25,24.25,21.25,46.0,30.0,25.75,49.5,5.25,0.0,41.75,14.75,5.0,8.5,
4,0.0,11.0,0.0,0.0,0.0,7.0,11.25,13.75,18.75,8.75,7.75,33.25,23.75,25.25,0.0,3.75,23.25,46.75,43.0,92.75,34.0,8.0,26.25,14.0,6.5,36.0,22.25,9.75,8.75,9.75,54.5,2.75,8.5,5.5,31.25,39.25,15.25,25.75,2.75,15.0,47.0,24.75,33.75,30.5,43.25,72.25,26.25,9.0,3.25,17.5,5.75,
5,0.0,0.0,14.0,0.0,13.25,20.0,0.0,45.5,16.25,22.5,15.5,0.0,21.5,16.5,4.0,25.5,61.0,62.25,56.0,65.0,48.0,8.75,36.0,61.25,31.25,21.0,24.25,20.5,64.75,11.5,17.25,46.25,4.5,8.25,17.0,35.5,25.0,25.75,27.0,9.25,32.0,72.25,30.0,27.25,37.0,5.5,0.0,20.5,10.0,4.75,4.25,
6,0.0,0.0,16.25,4.0,0.0,0.0,0.0,31.5,26.75,21.5,11.5,0.0,20.75,13.75,10.25,22.25,55.25,42.75,52.5,66.75,45.25,30.0,41.5,79.5,39.75,31.0,7.5,4.0,54.5,11.5,12.25,46.0,0.0,10.25,12.75,9.75,4.5,29.0,29.75,20.5,31.0,50.0,65.0,21.75,37.75,13.75,0.0,30.5,22.25,5.0,9.75,
7,0.0,9.0,11.5,11.0,0.0,5.5,9.0,8.25,24.0,18.0,2.5,36.5,18.0,13.0,0.0,12.25,22.75,78.75,28.75,72.25,67.25,0.0,31.5,13.0,11.25,37.75,12.0,19.0,2.5,0.0,55.75,9.75,13.5,5.5,33.75,35.0,23.5,11.5,5.5,15.0,46.75,33.0,22.75,11.0,56.0,63.75,16.5,6.5,6.5,8.25,18.75,
8,0.0,8.5,16.5,6.75,4.75,14.5,20.0,14.5,21.5,17.5,9.5,12.5,9.75,13.5,4.25,17.0,18.5,55.75,56.75,74.0,52.75,23.0,25.75,15.75,20.25,12.5,6.0,34.25,21.25,11.25,62.0,8.0,24.0,12.75,31.0,32.75,13.25,30.75,3.25,12.0,39.25,30.25,11.0,16.0,31.0,69.5,22.75,4.0,4.25,32.0,9.5,
9,0.0,7.0,13.0,13.25,0.0,0.0,0.0,29.5,18.25,21.75,11.5,16.0,28.5,19.25,7.5,14.0,32.5,56.0,67.5,54.5,42.0,31.0,41.25,59.5,29.5,29.75,26.25,41.75,57.25,12.25,6.75,3.25,11.25,17.5,12.25,3.25,3.75,36.75,22.75,23.25,39.5,36.25,23.0,18.75,9.25,25.0,4.0,38.5,19.0,11.75,6.75,
10,,2.75,13.25,4.5,0.0,7.5,16.5,36.0,22.25,24.5,7.5,16.25,22.0,18.5,0.0,20.25,35.5,34.0,51.0,97.0,49.75,8.0,15.5,31.0,15.25,45.75,9.75,19.75,35.0,3.25,31.75,22.0,22.75,4.25,28.75,33.5,29.0,40.0,4.25,32.25,49.5,28.0,28.25,13.25,30.0,41.75,17.25,14.75,5.0,9.5,15.25,3.0
11,,6.25,4.0,0.0,0.0,2.75,16.5,23.0,24.75,21.0,6.75,25.5,17.0,13.75,0.0,18.5,20.0,36.5,46.25,98.0,59.0,8.0,10.0,6.0,14.25,50.0,12.0,18.25,15.5,6.25,40.5,8.5,21.75,3.25,27.75,34.75,20.75,26.75,0.0,35.0,47.25,21.5,16.5,11.75,46.75,66.75,21.25,3.75,0.0,9.5,14.0,8.75
12,,13.5,14.75,8.75,10.5,0.0,6.5,28.25,15.25,12.5,10.25,21.0,23.75,21.5,0.0,12.25,24.75,85.75,43.5,77.5,46.75,5.0,27.0,11.25,20.75,38.0,13.0,7.5,32.0,10.25,48.75,23.25,10.0,8.0,38.5,40.75,15.5,18.25,13.0,15.5,54.0,49.5,34.0,32.0,48.25,68.0,11.25,19.75,19.0,20.25,15.25,0.0
