fecha,0,1,2,3,4,5,6,7,8
2020-03-01,6.5,4.75,4.5,2.5,11.0,7.75,4.75,10.0,10.75
2020-03-08,8.75,0.0,4.25,9.75,0.0,5.75,7.5,0.0,7.0
2020-03-15,15.25,14.25,15.25,23.75,4.0,15.5,11.5,2.75,19.5
2020-03-22,17.0,26.0,24.25,34.0,22.75,24.25,19.25,47.0,20.25
2020-03-29,9.25,10.75,9.5,10.75,18.25,10.75,13.0,13.75,13.0
2020-04-05,4.5,16.25,6.25,4.25,11.0,8.25,10.75,10.5,15.5
2020-04-12,60.5,15.25,51.0,52.25,15.5,61.25,40.5,4.5,26.75
2020-04-19,20.5,31.0,27.5,30.25,25.5,19.75,18.0,26.25,21.5
2020-04-26,11.75,20.75,15.25,10.25,21.5,9.75,22.0,23.75,13.25
2020-05-03,6.5,25.75,4.75,12.25,14.25,8.0,15.0,26.75,18.5
2020-05-10,33.5,24.75,28.75,36.25,28.0,26.5,30.5,36.0,20.0
2020-05-17,18.25,30.0,18.25,16.5,14.75,15.5,19.25,23.5,16.0
2020-05-24,27.25,15.5,24.25,36.25,5.0,15.0,17.25,12.25,18.0
2020-05-31,21.5,22.25,20.0,28.25,28.75,13.75,24.0,13.75,32.0
2020-06-07,29.25,33.0,29.5,34.5,35.75,34.75,37.75,28.25,31.75
2020-06-14,9.0,27.75,7.25,6.25,14.25,17.25,11.25,32.0,26.25
2020-06-21,28.25,10.5,28.25,20.5,16.75,19.0,13.25,17.75,17.75
2020-06-28,13.0,34.0,22.5,19.75,30.0,13.25,21.5,33.0,28.75
2020-07-05,30.25,21.25,24.5,31.0,24.25,20.75,14.75,35.75,17.5
2020-07-12,83.75,34.0,64.75,67.0,33.5,71.25,52.25,31.0,55.0
2020-07-19,43.25,86.0,53.75,50.75,66.75,36.5,45.0,80.25,62.5
2020-07-26,71.5,81.75,65.25,77.5,58.75,71.5,42.5,92.0,77.75
2020-08-02,54.5,47.0,52.0,59.75,23.75,46.0,51.75,60.5,41.25
2020-08-09,29.5,53.5,30.75,30.5,45.75,37.75,27.75,69.0,52.75
2020-08-16,19.0,40.25,22.75,27.75,41.0,29.25,28.5,62.75,29.25
2020-08-23,20.75,35.5,18.75,28.5,37.75,12.75,18.25,37.25,35.0
2020-08-30,28.0,24.25,32.75,28.5,17.75,38.5,20.5,25.25,25.5
2020-09-06,18.25,22.5,23.5,31.0,17.25,17.75,22.75,27.75,37.75
2020-09-13,25.75,10.25,25.75,20.25,5.5,17.0,12.75,0.0,13.5
2020-09-20,18.25,16.5,14.5,25.75,18.0,22.75,18.75,15.25,23.0
2020-09-27,7.75,23.25,24.75,26.25,30.0,20.5,16.0,28.75,15.25
2020-10-04,27.25,27.75,14.75,27.25,16.75,19.0,17.75,17.0,18.5
2020-10-11,25.0,23.5,31.0,25.25,23.5,15.75,26.75,39.75,20.25
2020-10-18,33.5,54.5,31.75,25.5,31.5,36.5,30.0,41.75,25.5
2020-10-25,14.0,20.5,17.75,28.5,20.5,15.0,17.0,13.75,14.5
2020-11-01,25.75,15.75,24.0,46.75,16.25,27.25,37.25,21.0,29.0
2020-11-08,21.25,52.25,11.75,22.75,49.75,13.0,19.5,53.0,21.25
2020-11-15,24.0,4.25,21.5,26.25,3.25,24.25,13.5,2.5,16.25
2020-11-22,18.0,28.5,14.0,20.0,15.75,13.0,18.25,23.75,17.0
2020-11-29,21.25,28.5,25.25,28.0,25.5,34.75,22.0,22.25,25.0
2020-12-06,26.5,38.25,19.25,33.5,21.5,18.5,20.75,36.75,27.5
2020-12-13,36.0,45.5,36.0,46.75,44.25,36.0,37.75,61.75,39.25
2020-12-20,37.75,56.75,31.75,34.5,70.0,46.0,57.25,82.0,64.25
2020-12-27,78.75,72.0,68.25,77.0,68.75,49.5,57.5,79.75,55.25
2021-01-03,91.5,92.0,88.25,89.25,67.5,94.5,100.0,76.5,94.0
2021-01-10,79.0,56.0,78.5,74.0,53.0,66.25,48.75,52.25,68.25
2021-01-17,46.75,43.75,29.75,34.5,30.75,19.25,31.25,38.0,29.75
2021-01-24,39.5,37.75,39.0,40.75,45.25,35.25,38.0,41.5,27.5
2021-01-31,29.0,16.5,33.0,22.5,8.5,25.25,22.5,2.75,29.5
2021-02-07,15.5,10.75,15.75,12.5,11.5,6.0,13.0,9.25,11.0
2021-02-14,20.25,16.25,23.75,26.75,13.25,21.75,15.0,26.0,8.75
