,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09
0,0.0,3.75,5.25,25.5,9.5,10.5,21.5,20.0,23.25,18.25,18.0,25.25,20.0,12.75,0.0,5.0,28.5,15.75,5.0,20.25,18.25,45.25,43.25,27.5,39.75,43.25,45.5,29.0,20.25,58.5,31.25,45.25,41.0,54.75,65.25,46.5,38.5,37.5,71.25,32.25,27.25,71.5,78.5,63.75,77.75,87.75,49.75,26.25,18.5,24.25,32.25,,,,,,,,,,,,
1,0.0,0.0,29.0,37.25,13.5,11.75,52.25,17.0,18.5,6.25,13.75,14.5,6.25,13.25,9.75,6.0,27.0,27.0,18.5,23.75,37.25,44.5,54.75,48.0,26.75,23.25,30.5,17.25,9.75,45.0,14.25,34.75,21.25,43.5,42.5,38.75,36.25,24.5,24.75,33.25,58.0,82.75,92.0,55.0,80.75,51.5,41.25,22.75,28.0,12.0,4.0,,,,,,,,,,,,
2,0.0,1.75,3.5,12.75,12.0,8.5,23.75,12.5,22.25,11.5,21.25,16.25,13.5,5.25,0.0,1.5,17.75,6.5,3.0,24.0,12.75,32.0,34.0,22.75,39.75,36.75,36.75,23.25,16.75,51.5,34.25,43.25,43.75,54.25,63.5,29.25,28.5,18.75,62.75,20.0,34.5,54.75,63.5,52.0,99.25,74.25,40.25,38.0,17.25,17.0,21.75,,,,,,,,,,,,
3,0.0,0.0,1.5,21.0,17.5,14.0,13.0,15.0,22.75,16.5,27.75,17.25,21.5,14.5,0.0,7.25,23.0,16.0,8.25,29.75,12.0,52.0,39.75,24.0,38.5,41.5,46.25,25.25,15.5,26.0,37.5,41.75,43.5,56.5,58.0,40.75,38.5,28.25,56.75,16.75,29.0,66.5,63.25,58.0,93.75,72.75,65.25,40.5,27.75,19.75,24.5,,,,,,,,,,,,
4,0.0,1.5,4.25,30.0,9.5,5.5,24.75,16.0,18.75,8.75,16.75,27.25,17.25,8.75,0.0,1.25,18.75,12.5,10.25,27.0,15.5,40.0,49.0,28.25,26.0,29.25,42.0,27.75,13.25,39.75,22.75,28.5,26.0,50.75,59.25,41.25,28.25,27.75,44.0,38.25,28.75,64.5,82.0,50.75,76.25,52.75,39.5,20.25,14.5,9.75,14.0,,,,,,,,,,,,
5,0.0,1.75,4.5,17.25,8.75,8.0,13.0,8.75,25.25,15.5,18.75,23.75,14.5,10.5,0.0,0.0,25.5,19.0,1.75,27.75,15.75,44.0,31.75,24.0,31.75,33.75,47.75,27.0,18.5,38.0,32.75,32.75,36.0,57.5,57.5,46.75,35.5,29.75,62.25,19.25,28.75,56.75,57.5,53.0,99.75,52.0,57.5,35.25,10.5,16.0,24.0,,,,,,,,,,,,
6,0.0,0.0,14.5,31.0,15.25,11.0,48.5,20.25,28.25,14.0,18.25,18.5,13.75,17.0,4.75,6.5,23.75,21.0,13.25,28.75,40.75,38.0,51.0,47.0,30.5,28.25,33.5,17.5,16.75,32.0,34.75,41.25,38.75,71.75,58.25,26.0,40.0,25.75,33.0,34.25,60.25,73.75,80.0,75.75,91.25,64.25,50.0,29.25,16.5,8.5,9.0,,,,,,,,,,,,
7,0.0,0.0,20.75,28.75,8.75,12.5,51.25,12.5,21.25,0.0,13.75,8.75,3.5,7.0,2.0,1.0,23.25,17.0,18.5,16.0,37.75,43.5,35.5,39.75,21.75,15.5,46.75,21.0,12.25,36.25,17.5,49.25,20.75,56.75,31.0,36.0,44.75,21.75,21.75,39.5,56.5,72.25,98.75,53.5,59.75,64.75,45.5,15.0,28.0,16.25,3.75,,,,,,,,,,,,
8,1.75,0.0,17.5,24.75,11.5,10.0,34.75,27.75,27.25,15.5,18.25,13.5,10.5,15.5,10.5,3.25,29.0,18.5,15.5,25.25,32.25,43.0,55.75,29.75,31.0,26.0,50.5,25.0,16.0,30.5,30.25,35.5,38.5,48.0,41.0,47.0,30.5,22.25,49.75,27.5,57.75,65.5,79.5,43.75,74.75,69.0,45.25,26.5,33.25,15.0,6.25,,,,,,,,,,,,
9,0.0,1.5,19.25,18.5,9.75,8.25,38.75,20.5,15.5,10.25,20.5,16.0,11.25,7.25,4.5,3.5,16.25,14.75,9.0,19.75,17.25,40.5,41.75,27.0,21.0,18.25,44.0,18.25,18.5,20.5,29.5,36.0,22.75,48.25,38.75,35.0,29.0,23.75,29.25,40.25,28.25,62.5,81.25,53.0,73.75,45.0,41.5,9.5,22.5,16.0,11.0,,,,,,,,,,,,
