fecha,0,1,2,3,4,5,6,7
2020-03-01,4.5,5.5,4.25,3.75,4.75,5.5,5.0,5.25
2020-03-08,18.25,10.75,9.75,14.0,7.0,12.0,9.0,10.0
2020-03-15,56.5,26.75,47.0,57.5,49.0,52.25,44.75,31.75
2020-03-22,30.0,24.5,31.75,39.5,28.25,39.0,30.0,36.0
2020-03-29,32.25,22.5,30.5,32.75,33.0,32.25,29.75,24.75
2020-04-05,35.0,19.75,33.25,27.75,30.0,32.25,27.0,15.25
2020-04-12,50.0,40.0,54.0,46.0,45.0,45.25,50.75,48.5
2020-04-19,45.75,26.75,48.25,52.75,42.75,41.75,46.25,36.0
2020-04-26,33.25,19.75,36.75,40.0,28.0,37.75,34.0,30.0
2020-05-03,25.5,18.75,24.0,29.25,21.75,27.0,25.25,20.75
2020-05-10,42.25,23.25,39.75,38.75,31.5,35.75,34.25,26.25
2020-05-17,24.0,21.0,35.25,33.0,36.5,31.0,34.25,23.0
2020-05-24,23.5,20.75,25.0,21.75,22.0,25.0,27.0,17.5
2020-05-31,35.0,26.0,40.5,44.25,39.5,35.25,34.0,25.5
2020-06-07,20.0,20.25,24.0,17.75,20.75,21.0,24.25,22.25
2020-06-14,21.0,12.75,21.5,28.75,19.0,24.5,23.25,13.5
2020-06-21,25.5,24.75,28.75,26.25,35.0,27.75,34.25,30.0
2020-06-28,51.25,33.0,58.5,55.0,53.5,52.5,47.25,35.75
2020-07-05,72.0,35.25,69.0,67.5,69.5,59.5,63.75,50.5
2020-07-12,97.25,100.0,100.0,94.25,92.5,100.0,100.0,100.0
2020-07-19,73.75,58.75,63.75,78.75,72.25,71.75,71.5,60.25
2020-07-26,64.25,50.75,67.0,62.5,61.0,57.25,60.5,55.5
2020-08-02,57.75,39.75,59.75,63.25,54.25,59.25,58.75,45.5
2020-08-09,40.25,42.5,40.0,48.0,35.5,42.5,49.0,34.0
2020-08-16,48.5,24.75,49.25,48.0,39.25,40.25,39.5,24.5
2020-08-23,42.75,27.75,48.0,44.75,33.25,32.25,31.25,29.75
2020-08-30,31.0,22.5,39.0,36.0,28.0,33.75,33.25,30.5
2020-09-06,28.75,27.0,26.5,28.75,28.25,24.75,37.0,26.25
2020-09-13,39.75,18.5,36.75,35.25,28.5,33.25,34.25,16.75
2020-09-20,20.5,26.75,28.5,27.25,27.25,36.0,31.75,25.5
2020-09-27,43.25,33.75,41.0,41.5,32.75,38.25,38.75,37.0
2020-10-04,42.75,30.5,49.25,45.25,40.0,42.75,43.5,29.25
2020-10-11,35.0,32.25,49.25,50.0,37.75,43.25,46.0,35.25
2020-10-18,44.5,36.25,40.25,42.75,39.75,41.25,42.75,38.75
2020-10-25,45.25,39.0,39.25,34.0,39.5,41.75,44.75,38.75
2020-11-01,36.25,38.25,44.25,46.0,33.5,42.75,39.5,33.0
2020-11-08,50.0,35.75,52.0,49.5,41.25,51.0,49.5,36.25
2020-11-15,27.25,31.5,40.25,41.75,30.75,38.0,38.25,39.75
2020-11-22,51.75,39.75,55.25,48.0,53.75,42.25,52.0,34.75
2020-11-29,55.0,42.25,55.0,49.0,49.25,50.0,59.5,48.5
2020-12-06,48.75,44.25,54.25,49.25,50.5,57.0,50.25,50.75
2020-12-13,67.5,54.25,77.5,72.0,60.0,73.25,68.5,55.5
2020-12-20,72.5,68.25,71.75,65.25,71.0,62.75,70.5,69.75
2020-12-27,84.75,51.0,73.25,74.75,73.5,81.75,69.75,58.5
2021-01-03,87.25,72.5,82.75,87.75,82.75,75.0,83.75,69.25
2021-01-10,68.25,63.5,63.25,72.5,72.0,68.25,60.75,77.25
2021-01-17,62.0,45.5,58.25,52.0,49.0,51.5,63.5,38.75
2021-01-24,43.75,32.5,34.5,48.5,40.25,38.5,34.25,22.0
2021-01-31,39.25,32.5,50.0,54.25,37.0,40.0,44.0,33.0
2021-02-07,18.75,13.0,19.5,17.25,20.75,14.5,20.5,17.5
2021-02-14,29.25,12.25,24.25,25.25,16.75,23.5,17.5,13.25
