fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,15.25,0.0,19.5,42.25,43.5,44.5,12.0,0.0,0.0
2020-03-22,43.25,15.25,40.5,39.0,42.75,40.25,23.5,32.75,0.0
2020-03-29,50.25,62.25,45.0,16.75,65.25,55.5,32.5,47.75,38.5
2020-04-05,0.0,16.5,0.0,0.0,15.25,0.0,0.0,0.0,13.0
2020-04-12,0.0,44.0,0.0,0.0,13.0,0.0,0.0,27.75,10.75
2020-04-19,0.0,81.0,0.0,0.0,14.0,0.0,0.0,60.0,36.75
2020-04-26,25.0,15.5,37.5,15.75,0.0,16.0,10.25,13.75,0.0
2020-05-03,0.0,49.75,0.0,0.0,11.5,0.0,0.0,63.75,32.75
2020-05-10,73.5,0.0,31.75,29.75,21.5,31.0,34.75,0.0,0.0
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,10.75,23.75,0.0,17.25,20.25,0.0,50.0,50.75,23.0
2020-05-31,0.0,19.0,0.0,0.0,8.5,0.0,0.0,0.0,17.0
2020-06-07,29.5,19.25,11.75,69.0,0.0,11.5,52.75,39.75,0.0
2020-06-14,7.0,10.0,24.5,12.75,17.25,0.0,7.5,29.5,16.25
2020-06-21,16.0,18.0,37.5,12.0,17.5,12.5,7.25,8.75,26.75
2020-06-28,15.5,45.0,37.75,44.25,49.25,12.5,40.0,21.5,25.0
2020-07-05,24.5,22.0,75.0,34.5,16.25,36.25,14.0,53.5,9.25
2020-07-12,10.5,40.0,12.75,14.75,18.5,0.0,0.0,31.75,8.25
2020-07-19,0.0,12.5,0.0,0.0,10.5,0.0,0.0,22.5,31.5
2020-07-26,0.0,9.25,0.0,12.0,8.75,0.0,0.0,20.75,9.75
2020-08-02,55.0,9.25,44.5,40.0,9.5,50.0,7.5,61.5,18.75
2020-08-09,20.0,35.0,0.0,0.0,20.0,15.0,53.5,25.0,30.25
2020-08-16,15.25,65.75,18.25,37.0,10.25,39.0,46.5,79.5,56.75
2020-08-23,0.0,10.25,0.0,0.0,0.0,0.0,0.0,10.0,29.75
2020-08-30,46.75,10.0,30.0,27.25,37.0,12.75,23.5,46.75,9.25
2020-09-06,16.75,9.0,61.5,33.5,0.0,23.75,7.0,20.0,0.0
2020-09-13,0.0,26.75,61.25,22.75,8.5,10.75,6.75,10.5,0.0
2020-09-20,0.0,37.75,0.0,0.0,18.0,0.0,43.5,10.5,7.75
2020-09-27,0.0,20.0,12.25,13.5,9.5,25.0,7.0,0.0,19.0
2020-10-04,0.0,23.25,31.25,13.25,0.0,26.0,49.0,36.0,9.75
2020-10-11,0.0,9.25,0.0,0.0,10.0,0.0,45.0,0.0,8.5
2020-10-18,32.75,21.75,13.25,63.25,18.0,39.25,7.75,0.0,0.0
2020-10-25,36.75,0.0,13.25,0.0,19.0,40.25,15.25,0.0,0.0
2020-11-01,0.0,25.0,0.0,0.0,22.0,0.0,0.0,47.25,72.0
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,24.0,27.5,12.25,33.5,9.0,0.0,45.5,45.75,26.0
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,8.25,0.0,11.75,20.0,7.5,43.5,0.0,0.0,0.0
2020-12-20,16.5,0.0,31.0,12.25,0.0,24.75,7.0,0.0,0.0
2020-12-27,25.75,40.0,39.0,50.5,36.75,0.0,9.25,55.0,72.75
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,21.0,17.25,23.5,0.0,8.75,26.0,41.5,0.0,0.0
2021-01-17,34.0,26.5,48.75,46.0,63.5,59.25,60.25,21.5,8.25
2021-01-24,30.75,0.0,48.5,42.75,15.75,33.5,6.5,0.0,0.0
2021-01-31,7.5,9.0,12.0,11.0,0.0,12.5,43.0,9.25,0.0
2021-02-07,31.0,0.0,0.0,0.0,8.25,23.5,7.25,0.0,0.0
2021-02-14,50.0,11.75,0.0,12.25,38.75,25.0,7.25,12.0,22.5
