,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16
0,44.5,0.0,8.5,28.0,0.0,0.0,51.5,10.5,21.25,0.0,5.25,21.0,0.0,14.0,0.0,35.5,0.0,30.25,30.25,47.5,81.25,8.25,67.5,23.5,33.25,0.0,0.0,0.0,28.0,23.5,13.5,14.25,0.0,4.5,15.0,0.0,0.0,0.0,0.0,0.0,24.5,16.0,0.0,21.75,44.5,20.0,15.0,14.0,0.0,0.0,11.0,,,,,,,,,,,,,
1,0.0,0.0,9.75,30.0,40.5,11.75,40.25,8.75,29.25,0.0,0.0,25.0,41.0,7.5,0.0,16.0,26.5,61.75,0.0,0.0,45.5,41.75,22.75,45.75,35.0,10.25,40.0,41.5,16.5,0.0,47.5,42.25,9.75,10.0,0.0,36.75,9.25,32.25,24.75,15.5,0.0,0.0,19.25,0.0,87.75,39.25,9.25,0.0,20.5,0.0,22.5,,,,,,,,,,,,,
2,9.5,0.0,6.0,15.75,0.0,0.0,57.75,20.25,25.5,0.0,10.25,8.75,20.75,14.25,0.0,52.75,0.0,34.0,8.0,50.25,86.0,0.0,46.25,34.25,0.0,0.0,20.5,0.0,12.0,37.25,6.25,23.5,0.0,11.0,21.5,0.0,0.0,0.0,0.0,0.0,37.5,16.25,22.5,47.0,35.5,17.25,6.0,6.25,0.0,0.0,13.0,,,,,,,,,,,,,
3,14.5,0.0,24.75,20.5,0.0,0.0,69.0,16.75,43.0,0.0,11.0,34.25,6.75,24.25,0.0,23.5,0.0,38.5,18.75,23.5,62.25,12.5,77.25,47.0,77.25,0.0,20.75,0.0,14.25,53.0,0.0,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.5,28.75,20.25,30.75,26.25,44.0,8.75,6.5,0.0,0.0,0.0,,,,,,,,,,,,,
4,9.75,0.0,8.5,42.5,0.0,0.0,34.0,7.75,14.5,0.0,17.75,6.5,29.25,0.0,0.0,20.0,0.0,34.0,20.75,55.0,83.0,8.5,61.75,29.5,46.25,0.0,32.5,0.0,12.25,19.0,22.5,0.0,0.0,6.75,28.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,24.75,32.5,35.5,21.25,12.5,0.0,0.0,45.5,,,,,,,,,,,,,
5,13.5,0.0,6.0,23.0,0.0,0.0,26.0,23.75,18.0,0.0,22.25,22.25,7.0,6.75,0.0,21.5,0.0,16.5,6.0,43.25,81.5,17.0,65.75,35.5,57.0,0.0,27.25,0.0,5.75,26.0,0.0,0.0,0.0,9.25,4.5,0.0,0.0,0.0,0.0,0.0,6.5,6.75,20.25,9.75,36.75,27.0,8.5,15.25,0.0,0.0,13.25,,,,,,,,,,,,,
6,12.25,0.0,0.0,9.25,0.0,0.0,29.5,21.0,31.5,0.0,9.25,0.0,0.0,25.25,0.0,26.25,0.0,35.5,0.0,47.5,35.75,0.0,28.75,33.0,77.5,0.0,37.75,0.0,5.5,47.0,0.0,34.75,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,46.0,29.0,0.0,12.5,50.5,47.5,13.5,25.75,0.0,0.0,7.25,,,,,,,,,,,,,
7,0.0,0.0,27.75,38.0,0.0,7.75,11.25,29.5,11.0,0.0,0.0,26.25,84.75,15.0,0.0,28.0,48.75,40.75,0.0,0.0,49.75,50.75,0.0,68.0,53.0,7.5,30.5,49.5,29.25,9.5,29.5,36.75,9.5,10.0,0.0,18.0,15.0,38.25,15.5,21.25,0.0,0.0,7.5,0.0,37.25,46.75,0.0,0.0,56.75,0.0,26.0,,,,,,,,,,,,,
8,0.0,0.0,31.5,39.25,19.5,10.0,10.0,36.75,28.25,0.0,0.0,0.0,57.25,0.0,0.0,56.25,25.0,32.75,9.75,0.0,0.0,10.25,11.0,44.5,54.25,0.0,19.5,16.75,36.75,8.25,7.75,99.75,17.5,8.25,0.0,36.5,8.25,8.25,16.5,15.5,0.0,0.0,9.25,0.0,60.25,16.5,0.0,0.0,39.0,0.0,10.0,,,,,,,,,,,,,
9,0.0,0.0,6.25,0.0,0.0,0.0,85.25,7.75,21.0,0.0,28.5,12.5,7.0,5.25,0.0,58.0,0.0,59.0,25.0,45.25,84.5,32.5,38.75,56.5,60.75,0.0,11.0,0.0,4.75,28.75,0.0,7.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,7.25,5.25,28.5,0.0,32.0,37.25,0.0,23.5,0.0,0.0,30.75,,,,,,,,,,,,,
10,,0.0,8.5,17.5,0.0,0.0,45.0,30.75,31.0,0.0,18.0,6.5,5.5,11.0,0.0,34.75,0.0,40.25,8.25,38.75,46.0,8.0,13.5,19.75,40.0,0.0,0.0,0.0,16.5,9.5,5.25,12.25,0.0,5.0,14.75,0.0,0.0,0.0,0.0,0.0,16.5,22.5,6.0,7.5,39.0,36.0,0.0,16.5,0.0,0.0,50.25,10.5,,,,,,,,,,,,
11,,0.0,21.5,50.0,11.75,8.5,22.5,29.5,21.5,0.0,0.0,9.5,32.75,7.0,0.0,43.0,44.0,37.0,12.25,0.0,62.75,33.5,0.0,58.75,45.0,8.75,19.25,24.5,25.75,9.25,35.25,38.75,9.5,9.75,0.0,18.0,25.25,26.25,16.75,40.25,0.0,0.0,22.5,0.0,24.75,28.25,6.75,0.0,82.5,0.0,19.5,34.75,,,,,,,,,,,,
12,,0.0,12.25,44.0,0.0,0.0,52.5,0.0,52.25,0.0,11.0,0.0,20.75,19.75,0.0,58.25,0.0,40.25,0.0,67.25,87.0,0.0,50.0,8.5,12.5,0.0,21.0,0.0,24.25,6.25,9.25,10.25,0.0,9.25,24.5,0.0,0.0,0.0,0.0,0.0,19.25,27.0,0.0,30.5,26.75,46.75,18.25,16.75,0.0,0.0,11.5,10.0,,,,,,,,,,,,
13,,0.0,20.0,40.0,0.0,0.0,53.25,10.75,29.5,0.0,21.5,0.0,6.75,0.0,0.0,58.0,0.0,33.0,8.75,8.5,62.0,25.25,36.0,31.0,39.0,0.0,32.25,0.0,18.25,51.5,14.5,0.0,0.0,23.25,33.0,0.0,0.0,0.0,0.0,0.0,37.25,10.5,26.5,0.0,34.5,32.75,10.5,9.75,0.0,0.0,23.75,9.5,,,,,,,,,,,,
14,,0.0,0.0,19.25,20.5,31.0,53.25,24.0,32.5,0.0,0.0,0.0,70.75,29.25,0.0,23.0,21.0,9.5,9.0,0.0,0.0,45.5,0.0,12.0,57.5,10.25,34.5,67.75,36.25,0.0,27.0,52.0,30.25,12.25,0.0,21.5,16.25,22.25,7.75,0.0,0.0,0.0,10.5,0.0,74.5,39.25,7.5,0.0,28.5,0.0,40.75,9.0,,,,,,,,,,,,
15,,0.0,28.25,22.75,17.0,10.25,40.0,11.0,21.0,10.25,0.0,0.0,44.75,8.5,0.0,10.25,0.0,39.25,16.25,18.5,35.5,33.75,50.5,17.5,43.25,62.25,31.25,47.5,20.5,9.5,21.5,10.25,14.0,15.0,0.0,9.25,22.0,9.75,9.5,17.5,0.0,14.5,17.5,0.0,29.5,9.75,16.5,14.0,33.25,0.0,37.0,0.0,,,,,,,,,,,,
16,,0.0,10.5,25.5,0.0,0.0,52.0,10.5,24.75,0.0,20.5,9.0,17.75,13.25,0.0,37.75,0.0,36.75,21.75,24.25,42.0,0.0,29.5,6.5,17.75,0.0,22.75,0.0,20.25,39.75,8.25,0.0,0.0,13.0,22.5,0.0,0.0,0.0,0.0,0.0,23.0,0.0,6.25,0.0,58.25,26.75,5.0,10.0,0.0,0.0,32.75,13.5,,,,,,,,,,,,
17,,0.0,11.75,24.75,45.25,0.0,24.75,13.75,18.25,0.0,7.25,22.0,45.75,22.25,0.0,33.0,26.0,63.75,25.5,0.0,38.25,36.5,11.25,23.5,53.0,22.75,33.75,18.0,11.0,19.0,35.25,39.75,0.0,14.75,6.5,6.75,6.0,18.75,24.25,25.5,6.25,6.75,19.75,10.25,52.5,6.75,14.5,6.25,36.25,0.0,15.75,0.0,,,,,,,,,,,,
18,,0.0,12.5,29.75,0.0,0.0,58.5,11.0,6.0,0.0,29.75,11.75,17.25,11.5,0.0,22.75,0.0,28.75,27.25,16.25,82.75,14.5,46.75,19.75,29.75,0.0,20.75,0.0,0.0,32.75,6.25,15.5,0.0,9.75,12.75,0.0,0.0,0.0,0.0,0.0,6.0,16.5,0.0,0.0,30.5,25.75,6.0,0.0,0.0,0.0,6.25,6.5,,,,,,,,,,,,
19,,0.0,5.5,10.75,7.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,21.0,14.5,36.25,59.75,43.5,13.0,87.25,57.0,53.5,26.0,0.0,14.25,9.25,0.0,9.0,4.75,30.0,15.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,6.25,33.0,9.5,10.0,10.75,13.0,9.75,5.5,0.0,18.0,20.75,0.0,,,,,,,,,,,
20,,0.0,10.0,7.5,17.25,11.25,23.5,25.25,12.75,0.0,0.0,8.0,27.75,11.5,0.0,39.0,29.75,37.75,7.75,0.0,62.25,24.0,34.75,23.75,60.0,33.0,15.0,20.5,19.0,6.0,27.25,40.75,0.0,7.5,0.0,30.5,6.5,16.0,9.0,42.25,0.0,0.0,0.0,0.0,72.75,52.25,16.25,0.0,33.0,0.0,17.0,18.0,11.25,,,,,,,,,,,
21,,0.0,17.75,23.0,0.0,0.0,40.5,7.5,23.5,0.0,14.0,13.75,7.0,20.75,0.0,6.5,0.0,43.5,16.75,42.75,93.75,0.0,42.5,52.5,8.5,0.0,14.75,0.0,12.5,39.25,7.25,6.75,0.0,6.5,26.75,0.0,0.0,0.0,0.0,0.0,26.75,7.25,25.5,22.0,27.75,33.75,6.0,6.25,0.0,0.0,40.25,13.75,6.5,,,,,,,,,,,
