,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,35.0,0.0,17.5,56.75,18.5,13.0,0.0,17.5,26.25,10.5,11.25,16.5,5.0,17.5,4.75,10.75,6.25,30.0,12.25,41.75,67.0,6.0,27.0,6.5,0.0,38.75,53.75,58.0,23.5,0.0,12.25,30.75,0.0,20.0,10.5,21.75,0.0,13.75,11.0,0.0,21.0,13.75,5.75,28.5,0.0,12.0,22.0,0.0,0.0,
1,0.0,0.0,28.0,0.0,26.5,0.0,13.25,13.25,0.0,10.25,17.5,24.0,13.5,44.0,39.75,21.5,35.75,30.5,16.75,8.5,77.75,38.5,47.25,33.0,62.5,22.5,52.5,74.75,0.0,53.5,0.0,11.25,0.0,10.75,0.0,34.25,10.25,0.0,31.25,0.0,8.0,24.0,24.0,0.0,34.0,14.25,47.75,22.0,44.5,22.0,0.0,
2,0.0,0.0,45.75,19.0,26.5,40.75,23.25,15.25,28.75,23.25,29.75,25.0,0.0,0.0,22.5,20.75,10.25,6.25,12.0,6.75,34.75,66.5,75.0,17.0,32.0,15.75,0.0,32.25,73.75,62.0,13.75,0.0,0.0,23.75,15.75,28.5,17.5,49.0,0.0,10.5,0.0,0.0,16.5,8.5,8.5,63.5,31.75,20.0,5.75,0.0,0.0,
3,0.0,0.0,38.5,7.0,29.25,36.5,65.5,16.25,8.25,14.5,58.25,21.25,0.0,18.25,12.0,13.25,5.5,8.75,26.25,36.25,25.5,84.0,79.0,32.0,48.25,20.75,0.0,35.5,72.0,37.25,19.0,0.0,7.75,23.75,0.0,27.75,32.0,38.75,0.0,22.0,0.0,0.0,27.75,0.0,18.75,45.25,0.0,0.0,15.25,0.0,0.0,
4,0.0,0.0,0.0,7.25,10.25,7.5,19.0,7.0,0.0,10.5,6.75,9.0,0.0,38.25,17.75,17.5,9.25,28.75,5.75,21.75,50.0,59.5,45.5,35.0,58.75,5.5,17.0,32.0,34.75,19.0,30.0,0.0,0.0,12.0,7.25,14.75,10.0,0.0,14.5,0.0,4.5,4.75,31.25,0.0,4.75,27.0,12.0,5.75,11.75,0.0,5.75,
5,0.0,0.0,33.75,27.75,11.0,20.5,65.5,18.0,20.75,25.25,20.25,25.75,0.0,12.0,23.5,22.0,11.75,19.0,6.0,20.25,12.0,63.5,42.25,56.0,56.0,23.25,0.0,42.75,35.5,69.75,39.0,0.0,0.0,29.75,22.25,32.5,13.5,28.75,0.0,8.5,0.0,0.0,16.75,13.75,6.0,33.75,13.0,8.75,0.0,0.0,0.0,
6,0.0,0.0,35.5,20.75,0.0,15.5,19.5,19.25,19.0,14.75,5.0,19.0,5.5,17.25,17.25,17.5,13.0,5.25,15.0,12.0,31.0,81.25,12.25,24.0,58.75,0.0,13.0,41.0,40.0,60.5,5.25,0.0,16.0,31.0,15.0,23.75,0.0,14.0,0.0,15.0,0.0,11.25,37.0,8.5,21.5,11.5,20.5,11.5,6.5,0.0,14.0,
7,0.0,0.0,11.75,9.75,59.0,0.0,38.75,13.0,0.0,29.75,9.75,8.75,0.0,43.5,36.5,29.75,39.75,27.5,0.0,0.0,33.75,11.0,32.0,25.0,41.0,27.75,38.5,48.5,0.0,56.5,22.0,14.0,0.0,47.0,0.0,11.5,10.0,0.0,36.75,0.0,10.0,70.25,0.0,0.0,34.75,20.25,33.0,0.0,27.25,0.0,62.5,
8,0.0,0.0,27.25,33.5,35.0,0.0,16.25,23.25,0.0,9.0,0.0,44.25,9.75,38.5,19.25,62.75,52.5,26.5,0.0,53.0,80.25,34.0,45.5,35.0,61.75,22.25,59.5,44.5,0.0,74.25,8.0,10.25,0.0,28.75,0.0,31.75,0.0,0.0,19.0,0.0,33.75,22.75,0.0,0.0,10.5,34.75,25.0,15.0,29.5,15.0,20.0,
9,0.0,0.0,43.5,16.75,8.0,48.25,40.25,41.25,10.5,32.0,25.5,0.0,7.25,19.75,36.25,30.5,21.25,0.0,25.25,24.75,44.25,8.75,21.0,19.0,20.75,31.25,8.5,36.0,23.75,51.75,23.75,0.0,0.0,50.5,0.0,31.5,8.0,30.25,7.25,8.5,0.0,7.25,30.5,13.75,7.75,37.0,26.0,24.25,36.0,0.0,29.25,
