,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,0.0,0.0,17.0,43.0,22.25,0.0,21.75,10.5,24.5,68.75,46.25,12.0,9.0,28.0,17.25,4.0,39.25,21.5,15.25,48.25,32.5,75.5,75.75,28.75,21.5,22.75,5.5,38.0,22.25,12.5,44.5,26.0,13.0,20.75,20.75,13.0,15.75,12.5,29.0,8.25,39.0,8.25,38.75,12.0,17.75,4.25,12.5,25.75,18.75,11.75,14.25,,
1,0.0,11.75,10.5,48.25,16.5,40.25,35.5,14.25,17.0,31.5,45.75,6.5,15.25,14.25,50.0,64.75,29.5,41.75,70.0,62.5,38.5,36.5,78.25,34.0,52.5,60.25,40.0,28.5,4.75,36.0,26.0,18.75,11.25,22.0,13.75,15.75,26.75,27.5,0.0,3.0,24.0,3.0,25.75,36.0,14.5,72.25,27.25,3.0,7.25,15.75,30.0,,
2,0.0,0.0,14.5,45.25,62.5,0.0,48.75,10.25,47.0,62.0,82.25,18.5,32.25,39.75,24.25,3.75,36.0,23.75,20.5,22.75,56.0,43.0,55.25,45.5,36.25,11.75,30.5,57.25,27.5,26.5,22.25,36.5,8.75,26.5,18.0,32.5,12.5,11.75,13.75,8.75,40.75,17.25,33.0,26.5,17.5,3.5,12.75,53.75,20.5,31.25,0.0,,
3,0.0,0.0,12.75,35.25,34.5,0.0,21.0,23.75,38.5,53.75,44.75,28.0,14.0,23.75,17.75,4.0,27.75,28.75,11.25,41.25,66.0,75.0,87.5,46.5,27.75,25.5,22.75,52.0,17.5,23.75,12.25,35.75,23.0,35.25,17.5,34.25,0.0,21.5,22.0,12.25,37.0,13.25,49.75,13.5,26.25,31.75,8.0,28.75,20.25,30.5,0.0,,
4,0.0,9.0,29.75,35.0,36.5,8.25,30.25,21.5,37.5,43.5,40.5,21.75,19.0,19.0,24.5,30.75,48.0,16.75,28.75,60.25,41.25,56.25,73.75,31.5,52.5,44.75,37.0,36.75,8.0,38.75,32.25,14.5,29.0,16.25,17.0,24.25,26.5,13.75,9.25,10.5,28.25,9.0,26.75,27.5,16.5,65.0,16.75,14.75,26.0,17.0,14.75,,
5,0.0,0.0,18.25,39.5,27.5,0.0,27.75,11.5,26.75,27.5,71.0,16.75,17.75,51.0,15.75,0.0,45.0,19.75,4.75,15.5,36.0,74.25,70.75,37.25,15.5,5.25,20.5,24.25,12.0,15.5,33.0,25.0,14.0,20.0,8.25,43.5,15.0,10.5,17.25,4.25,24.25,12.25,32.75,14.0,22.25,27.0,11.75,20.5,25.5,30.5,8.5,,
6,0.0,0.0,19.0,17.25,41.0,0.0,50.25,12.0,46.0,63.75,41.75,23.25,33.75,21.5,27.75,18.25,32.25,19.0,17.0,22.25,58.5,77.0,43.75,19.75,10.5,19.5,14.75,47.25,13.75,18.0,26.75,17.25,27.75,16.5,8.25,55.5,13.0,8.5,17.5,7.5,33.75,16.5,50.75,27.5,8.5,0.0,13.0,51.0,34.0,22.75,4.25,,
7,0.0,5.5,20.5,55.25,39.0,25.0,14.25,37.5,13.5,24.5,45.75,7.5,8.25,7.5,26.25,42.0,23.75,23.75,41.0,88.5,10.0,53.5,89.5,25.0,87.25,50.25,18.5,0.0,0.0,42.5,21.5,30.75,19.5,19.0,3.75,4.0,24.75,43.5,7.5,17.5,21.0,10.75,43.0,41.0,15.25,83.25,7.0,10.5,8.25,11.0,18.25,,
8,0.0,16.5,24.5,32.5,14.5,19.25,30.75,22.0,33.5,19.0,37.5,12.0,28.25,10.0,29.0,47.25,18.25,30.75,80.5,70.5,36.5,38.25,100.0,24.25,30.0,49.25,3.75,15.0,11.25,44.25,16.75,18.75,8.0,3.25,21.0,0.0,32.0,24.75,14.25,9.25,24.0,6.5,28.0,60.25,14.0,56.25,27.5,17.5,7.75,14.5,22.5,,
9,0.0,28.75,14.5,37.75,27.75,13.0,28.25,27.5,15.25,49.0,61.5,15.75,23.5,21.5,35.0,22.5,34.75,29.25,29.0,49.25,47.25,50.75,83.75,29.75,51.75,43.0,41.0,12.5,4.75,21.5,12.5,19.75,19.75,15.0,9.75,13.5,27.75,15.75,10.75,3.5,13.5,20.5,31.25,46.5,9.75,39.25,13.25,19.5,18.0,7.75,3.75,,
10,,0.0,22.0,48.75,25.25,0.0,35.0,21.75,33.75,29.5,45.5,15.25,15.75,28.0,17.75,14.0,34.0,10.0,8.25,24.75,52.75,51.5,47.25,42.5,15.75,24.25,11.25,13.75,26.75,14.5,25.5,23.0,13.0,23.25,15.25,42.0,15.25,8.75,4.5,13.0,21.5,23.5,30.0,29.0,21.0,15.25,10.0,26.0,6.75,27.75,8.0,21.75,
