fecha,0,1,2,3,4,5,6,7
2020-03-01,6.5,6.25,9.5,0.0,0.0,16.25,18.0,21.5
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,14.5,0.0,8.5,7.0,9.25,6.0,0.0,0.0
2020-03-22,0.0,6.5,5.25,26.75,15.5,11.25,19.75,0.0
2020-03-29,0.0,6.5,0.0,0.0,0.0,0.0,0.0,13.25
2020-04-05,25.25,0.0,14.5,12.25,30.75,12.25,0.0,0.0
2020-04-12,20.5,44.0,0.0,20.5,6.0,0.0,23.0,35.5
2020-04-19,34.5,17.5,50.0,54.25,59.5,5.75,25.25,43.0
2020-04-26,0.0,31.0,0.0,0.0,14.75,8.25,48.0,43.5
2020-05-03,49.75,51.5,48.75,42.25,70.0,46.0,37.75,34.25
2020-05-10,23.0,51.0,19.5,34.75,40.25,15.0,29.75,43.75
2020-05-17,40.0,9.75,37.5,31.75,42.25,40.5,12.0,21.25
2020-05-24,27.5,75.25,21.75,40.5,60.25,28.25,31.25,19.25
2020-05-31,48.75,17.75,44.75,64.75,56.25,62.0,38.25,41.25
2020-06-07,42.5,31.25,37.75,50.5,35.0,33.5,20.25,41.75
2020-06-14,43.75,31.5,45.25,39.5,52.0,31.0,28.25,35.5
2020-06-21,19.75,53.5,16.75,17.5,32.75,23.25,32.25,43.25
2020-06-28,61.25,37.25,68.25,100.0,78.75,91.75,50.25,54.0
2020-07-05,38.75,10.5,40.5,43.75,37.0,49.75,17.75,14.75
2020-07-12,15.75,45.25,12.25,16.25,29.0,22.75,24.5,16.5
2020-07-19,54.0,38.75,51.0,40.0,67.0,42.75,21.5,47.5
2020-07-26,40.25,34.0,54.0,33.75,31.75,38.5,34.5,66.25
2020-08-02,27.75,40.0,12.25,53.0,16.5,13.25,55.5,22.0
2020-08-09,23.5,69.0,47.25,38.75,28.25,18.25,33.0,49.25
2020-08-16,21.5,26.0,15.5,38.5,39.75,23.0,8.75,28.75
2020-08-23,6.0,38.5,28.0,47.5,41.0,15.5,30.5,16.0
2020-08-30,11.25,9.25,20.25,17.5,18.5,11.0,12.5,0.0
2020-09-06,29.0,19.25,26.75,5.0,23.5,34.25,18.25,21.0
2020-09-13,34.0,0.0,29.0,10.0,22.0,22.0,0.0,0.0
2020-09-20,0.0,0.0,6.25,18.5,11.5,0.0,0.0,0.0
2020-09-27,16.0,15.25,6.25,8.5,9.5,21.5,8.25,10.75
2020-10-04,31.75,15.75,7.5,28.0,20.0,29.5,12.5,4.25
2020-10-11,10.0,5.5,24.0,30.25,31.75,17.75,4.5,15.0
2020-10-18,24.25,25.5,27.5,35.75,25.0,22.5,15.75,42.75
2020-10-25,6.75,42.0,13.5,52.75,25.0,29.0,23.75,60.75
2020-11-01,0.0,10.25,20.25,23.5,10.75,12.5,16.5,6.25
2020-11-08,5.5,10.25,7.25,9.0,6.5,11.25,15.0,24.75
2020-11-15,35.75,0.0,11.0,19.0,13.5,13.25,0.0,0.0
2020-11-22,35.0,10.25,19.25,36.75,23.75,27.5,3.5,0.0
2020-11-29,0.0,9.75,0.0,0.0,0.0,0.0,6.5,13.5
2020-12-06,32.75,0.0,16.5,50.75,10.5,27.5,11.75,19.5
2020-12-13,27.75,15.0,39.0,16.75,39.25,53.0,12.5,4.0
2020-12-20,18.75,66.5,23.0,45.75,8.25,7.5,45.75,55.75
2020-12-27,13.25,0.0,46.25,23.25,26.75,0.0,0.0,0.0
2021-01-03,18.5,33.0,18.25,13.5,28.25,20.25,31.5,50.25
2021-01-10,13.75,14.0,22.25,16.0,17.5,20.25,23.0,11.0
2021-01-17,90.0,8.75,41.75,70.5,64.75,48.75,19.0,5.25
2021-01-24,21.0,31.25,11.5,15.0,13.25,4.25,18.25,55.75
2021-01-31,27.25,5.5,35.75,12.0,7.75,29.0,12.5,4.5
2021-02-07,17.75,19.5,41.0,24.5,16.5,19.25,24.75,23.5
2021-02-14,16.75,25.75,18.5,18.0,0.0,20.5,25.0,39.5
