fecha,0,1,2,3,4,5,6,7
2020-03-01,12.75,4.5,7.75,10.5,0.0,4.75,0.0,12.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,28.25,17.25,11.5,29.0,11.0,28.25,33.5,20.75
2020-03-22,0.0,3.75,0.0,0.0,0.0,0.0,0.0,19.25
2020-03-29,13.5,3.75,16.5,19.25,10.5,16.0,13.0,8.5
2020-04-05,17.0,8.5,12.5,22.0,40.25,14.0,18.25,15.0
2020-04-12,29.25,34.5,27.25,30.5,51.25,35.0,61.5,64.0
2020-04-19,43.25,53.75,55.5,57.5,51.75,41.5,53.75,82.25
2020-04-26,33.75,36.75,36.25,30.75,31.75,41.5,47.75,12.25
2020-05-03,16.25,48.75,24.0,20.75,9.5,27.75,26.25,37.0
2020-05-10,16.75,22.0,48.0,37.5,52.5,29.25,54.75,64.5
2020-05-17,24.75,22.5,22.75,18.25,32.0,34.75,35.25,30.75
2020-05-24,35.75,2.5,48.25,25.25,32.0,40.75,40.25,0.0
2020-05-31,34.75,26.0,43.5,20.75,32.75,25.0,49.0,36.25
2020-06-07,43.0,34.5,25.5,39.5,28.5,23.25,36.25,40.25
2020-06-14,32.75,25.75,39.5,37.75,27.0,27.0,37.25,40.25
2020-06-21,68.5,38.75,63.5,46.0,39.5,36.0,41.0,52.5
2020-06-28,23.5,22.25,62.5,42.5,44.75,52.25,15.0,26.5
2020-07-05,28.25,48.0,65.0,47.75,40.25,65.0,59.75,53.5
2020-07-12,86.75,16.75,80.75,63.0,68.5,98.75,54.75,41.0
2020-07-19,46.0,43.75,38.5,40.25,28.75,46.5,37.25,54.25
2020-07-26,64.0,84.75,87.75,80.75,73.75,71.5,61.75,99.0
2020-08-02,50.0,75.0,58.0,44.25,59.25,67.0,75.5,70.5
2020-08-09,43.75,48.5,60.75,43.75,61.5,41.5,52.75,42.75
2020-08-16,34.0,54.25,27.25,18.75,17.5,30.75,43.25,8.5
2020-08-23,28.0,40.5,38.75,20.0,25.25,24.75,29.75,33.5
2020-08-30,4.25,21.0,26.75,28.0,26.0,28.25,25.0,18.5
2020-09-06,12.75,25.25,15.25,14.5,31.75,27.5,31.25,30.0
2020-09-13,46.75,16.5,60.0,39.0,43.0,55.75,24.5,23.5
2020-09-20,36.5,45.5,50.75,42.5,33.0,32.5,34.25,61.75
2020-09-27,18.75,8.75,10.5,16.5,8.5,8.25,7.75,16.25
2020-10-04,24.75,63.25,19.25,19.5,45.25,28.0,46.75,72.5
2020-10-11,0.0,19.25,0.0,13.5,13.25,11.0,12.0,26.75
2020-10-18,26.25,19.25,44.75,25.25,48.5,37.5,18.25,12.5
2020-10-25,43.5,35.0,54.75,53.25,54.75,26.5,30.25,16.75
2020-11-01,15.5,0.0,24.25,8.75,19.25,11.75,4.75,0.0
2020-11-08,14.25,13.0,8.5,8.75,11.5,0.0,7.0,15.75
2020-11-15,19.25,9.5,19.5,29.5,15.5,13.0,18.75,12.75
2020-11-22,13.0,7.75,32.5,32.0,15.25,22.0,14.5,0.0
2020-11-29,13.0,14.75,15.75,11.5,7.5,17.25,22.25,20.25
2020-12-06,48.5,0.0,16.0,17.0,20.5,15.5,30.5,4.0
2020-12-13,15.25,28.0,15.5,0.0,19.25,8.0,7.5,29.0
2020-12-20,5.5,7.5,5.5,15.75,16.25,8.5,22.5,30.5
2020-12-27,0.0,24.25,37.5,24.0,16.5,34.5,17.5,25.75
2021-01-03,25.25,5.75,30.5,21.25,19.0,17.75,30.25,0.0
2021-01-10,11.75,13.75,19.75,11.5,5.25,11.25,22.0,33.25
2021-01-17,34.5,28.5,31.0,15.0,29.25,41.75,49.25,36.5
2021-01-24,64.75,13.5,68.5,52.0,38.25,54.25,30.5,12.75
2021-01-31,41.75,11.5,55.25,21.5,33.5,40.5,54.25,14.0
2021-02-07,31.0,34.5,25.0,20.25,25.25,39.25,51.75,29.0
2021-02-14,25.0,22.5,27.75,57.0,24.75,43.75,44.75,55.25
