,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,8.75,0.0,27.25,14.0,24.25,21.75,56.0,86.75,88.0,38.75,55.5,33.25,41.0,68.5,45.0,37.25,30.75,48.75,13.25,40.25,41.75,68.0,42.0,39.75,23.25,25.75,22.5,28.75,21.75,32.0,25.0,17.25,20.75,22.5,28.5,35.75,39.25,30.5,26.0,26.0,17.5,12.75,39.0,27.0,44.5,25.0,34.25,47.5,32.5,18.5,57.0,,
1,4.75,0.0,15.0,25.5,74.25,42.25,65.75,75.25,93.5,45.75,41.25,36.75,26.5,44.25,27.0,58.0,27.75,18.0,26.0,45.5,42.75,43.0,63.5,37.75,7.75,19.75,24.0,6.75,27.5,15.25,19.0,23.25,35.25,29.5,47.75,24.0,29.0,17.0,25.5,12.25,12.0,6.75,27.25,31.75,28.75,34.75,22.0,30.75,56.5,36.75,57.0,,
2,5.0,5.0,33.0,15.25,12.75,18.25,56.25,94.75,52.0,39.5,32.25,30.25,31.5,44.0,46.0,28.75,28.75,26.25,26.0,31.25,35.0,55.5,23.25,38.25,13.75,21.5,9.0,19.25,6.5,28.0,26.25,12.0,9.5,22.75,28.5,27.0,25.25,32.25,13.75,18.5,11.5,9.75,23.75,20.0,16.5,17.5,28.75,39.5,30.75,24.25,74.0,,
3,2.0,0.0,29.75,18.75,24.0,13.75,45.75,93.25,63.5,35.25,46.75,42.5,24.0,56.0,51.5,18.75,22.75,22.25,22.5,33.5,44.5,55.0,30.25,30.25,26.5,16.75,18.0,27.5,12.75,20.75,26.25,11.0,21.0,14.0,22.0,35.5,29.25,31.5,16.5,6.25,14.5,10.75,42.5,19.0,25.0,21.25,32.75,45.5,20.5,24.25,74.5,,
4,2.0,0.0,16.0,15.75,78.75,60.0,71.0,69.75,85.0,55.25,59.25,34.0,54.25,51.5,45.5,53.25,34.75,24.5,33.5,37.5,54.0,57.75,61.5,43.25,13.5,19.25,36.75,22.75,19.5,23.75,17.25,39.0,31.25,49.75,52.5,30.75,31.0,29.25,19.0,17.5,11.25,11.75,30.75,29.75,36.25,40.0,43.0,47.75,48.0,40.0,84.5,,
5,5.0,2.0,30.25,22.5,13.25,18.0,33.25,98.5,50.0,36.5,38.25,29.0,33.0,50.25,35.75,36.75,21.25,26.75,13.5,37.25,38.0,63.75,20.0,32.75,22.5,21.25,18.25,16.25,5.5,30.5,23.25,18.0,23.0,17.75,25.0,18.5,29.25,28.0,12.25,16.25,5.5,5.5,44.0,29.5,16.25,22.5,19.5,36.5,21.5,22.5,55.25,,
6,1.25,1.25,18.0,15.25,43.75,12.75,64.75,56.5,54.75,35.0,42.25,34.0,19.5,48.5,33.25,38.25,29.0,22.25,20.25,26.5,47.75,44.0,42.0,17.5,13.75,14.75,14.0,21.75,17.5,19.75,19.75,23.5,18.5,28.5,35.25,32.0,24.75,28.75,19.5,13.75,8.0,6.0,28.0,15.75,26.25,36.0,20.75,28.75,31.25,29.0,53.5,,
7,16.5,0.0,23.0,19.25,68.5,55.25,67.25,71.75,78.5,57.25,67.75,42.25,58.25,54.75,31.75,48.5,28.25,41.25,34.5,42.5,50.0,45.25,61.25,51.0,7.75,38.75,21.0,19.0,35.0,36.0,25.5,34.75,51.5,34.5,46.25,37.5,35.25,32.75,37.75,21.75,18.0,10.25,29.0,25.5,35.25,58.0,32.5,44.0,69.5,29.75,64.5,,
8,8.25,0.0,24.5,24.0,35.0,70.5,75.25,91.0,89.0,41.0,67.75,44.25,34.0,46.25,33.25,32.75,33.5,32.0,26.25,42.5,50.5,38.0,70.25,43.75,7.75,14.25,29.25,2.0,32.5,26.25,7.25,25.0,39.0,21.0,49.25,31.25,30.0,24.0,41.5,21.5,16.25,7.0,51.75,29.5,47.25,32.75,25.0,52.25,60.75,44.5,58.5,,
9,8.5,3.25,24.75,25.0,37.0,35.5,82.25,85.25,85.25,47.0,57.75,52.75,40.5,41.5,41.5,38.5,26.5,28.0,26.75,29.0,49.75,54.5,53.5,36.5,31.0,24.5,14.0,19.25,17.75,22.0,27.25,26.25,30.0,35.0,42.5,33.5,36.5,21.75,21.0,30.5,16.0,16.75,39.75,46.5,43.25,40.5,50.25,30.0,33.25,30.75,79.0,,
10,,3.5,22.0,14.5,34.25,48.25,66.5,77.25,64.75,46.25,72.25,29.25,58.25,54.0,40.5,38.75,45.75,18.75,31.25,40.5,52.75,63.0,59.25,38.0,28.75,20.75,25.0,17.0,15.25,36.0,25.75,26.25,21.25,39.0,45.0,36.25,28.5,37.75,28.0,24.0,13.5,13.75,36.75,37.0,43.25,42.0,31.25,50.5,29.0,44.5,73.75,46.75,
11,,0.0,18.75,16.0,59.5,53.75,51.25,68.75,65.0,53.75,74.75,21.5,60.5,49.25,37.25,50.75,37.25,25.25,36.0,30.25,60.25,49.75,81.5,29.25,18.25,25.75,24.5,6.75,16.5,32.25,18.5,29.25,30.25,34.25,44.75,30.0,30.0,29.5,34.25,13.0,15.5,16.25,36.75,37.0,51.5,59.0,34.25,36.75,44.5,50.5,62.5,21.25,
12,,5.5,15.75,20.0,24.5,32.0,58.75,89.0,71.0,40.5,49.5,43.5,39.0,55.25,38.0,34.75,28.0,28.5,20.75,43.5,42.5,61.0,58.25,31.25,14.75,15.25,24.0,12.75,20.5,38.5,18.0,13.25,23.25,28.5,40.0,30.5,22.75,18.0,29.0,30.5,12.5,13.0,32.0,43.0,28.75,36.5,25.0,35.75,44.5,45.5,69.75,50.5,
13,,2.25,12.0,19.75,16.5,20.5,41.25,99.25,60.0,32.0,32.5,39.25,34.75,59.5,40.5,30.5,29.0,36.25,20.0,37.0,53.25,53.25,40.25,44.5,17.75,18.0,16.5,14.0,13.75,23.5,18.25,14.5,15.25,11.75,23.5,43.0,22.25,20.25,17.25,19.25,10.75,16.0,32.0,23.5,33.5,18.75,34.75,41.25,26.0,14.75,65.25,76.75,
14,,2.25,15.0,17.5,26.25,28.25,42.0,99.25,70.25,32.5,37.0,40.25,39.5,63.5,37.0,34.25,29.5,27.75,28.25,37.75,54.0,51.25,52.5,43.5,15.0,13.5,15.25,15.75,14.25,20.5,20.0,20.5,19.75,19.75,26.0,43.25,26.0,30.75,17.5,17.75,11.0,12.75,32.5,28.5,41.5,24.25,35.5,41.75,33.75,17.0,66.25,70.25,
15,,0.0,18.25,18.0,82.75,63.5,70.25,73.0,86.5,63.25,46.75,48.75,53.5,54.5,41.0,53.0,27.75,25.75,31.75,38.0,49.75,47.5,56.0,36.5,11.75,19.0,29.5,16.25,19.25,16.5,23.75,25.75,38.75,31.25,61.25,28.25,34.75,37.75,24.5,14.25,9.5,22.0,33.0,33.0,35.25,39.25,36.0,49.25,74.0,31.0,55.5,38.25,
16,,0.0,25.0,20.5,62.75,48.25,67.5,79.0,99.25,59.25,54.5,27.75,54.75,59.5,48.5,41.5,37.5,25.0,32.25,36.25,57.25,42.25,65.25,40.25,20.5,27.75,12.25,10.5,24.0,20.5,3.5,37.0,34.0,40.25,60.0,25.25,28.0,27.5,30.75,6.0,11.25,17.75,18.5,45.75,39.5,38.5,38.25,36.25,57.5,38.25,62.0,17.75,
17,,5.75,33.5,18.5,5.25,8.0,79.75,82.75,64.25,38.75,45.5,26.0,42.75,64.25,42.5,30.0,26.75,44.75,28.5,30.75,49.5,59.5,35.75,43.0,23.5,20.25,22.25,24.25,11.0,22.75,30.25,16.25,11.75,27.0,32.25,36.0,35.25,27.5,24.75,19.25,11.75,7.75,40.25,29.75,16.5,21.75,44.5,43.75,26.75,32.5,74.25,73.25,
