,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07
0,0.0,0.0,36.0,83.25,0.0,0.0,0.0,47.25,56.75,30.5,54.5,40.0,63.5,27.75,36.0,19.0,38.75,69.0,43.75,87.0,0.0,49.25,0.0,25.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,19.75,0.0,19.75,0.0,,,
1,8.75,0.0,0.0,11.0,0.0,0.0,16.5,39.25,33.5,6.75,21.0,38.75,10.25,71.75,12.25,51.25,39.0,49.75,29.25,0.0,0.0,45.5,58.75,0.0,0.0,33.75,11.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,6.25,29.5,0.0,0.0,6.25,0.0,18.0,10.5,0.0,0.0,,,
2,0.0,0.0,13.75,73.0,0.0,0.0,0.0,60.25,70.0,9.0,41.75,11.25,44.0,28.25,19.75,21.5,86.25,37.25,24.0,49.0,0.0,36.0,0.0,14.25,0.0,0.0,0.0,0.0,18.5,0.0,0.0,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,0.0,44.5,0.0,0.0,0.0,10.25,0.0,0.0,0.0,,,
3,0.0,0.0,10.0,67.0,0.0,0.0,0.0,16.0,32.5,29.75,31.25,10.5,35.75,9.75,13.75,26.75,27.25,8.25,20.5,50.0,0.0,18.5,0.0,10.5,0.0,0.0,21.0,0.0,6.25,0.0,0.0,10.25,0.0,0.0,0.0,0.0,23.75,0.0,0.0,15.5,0.0,0.0,0.0,27.25,0.0,0.0,15.75,0.0,0.0,15.5,0.0,,,
4,36.5,0.0,10.75,46.5,0.0,0.0,11.5,22.5,19.25,11.0,49.75,18.25,29.5,26.75,8.25,27.25,45.25,68.5,40.5,46.0,0.0,23.5,11.75,0.0,0.0,0.0,20.0,0.0,27.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.25,8.25,0.0,10.25,0.0,0.0,0.0,0.0,26.5,9.5,9.25,0.0,,,
5,0.0,0.0,0.0,33.25,0.0,0.0,0.0,42.75,53.25,0.0,20.75,29.75,69.5,8.0,9.75,27.5,33.5,41.0,9.25,82.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,28.5,0.0,0.0,10.75,0.0,0.0,0.0,0.0,35.75,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,7.75,9.5,0.0,11.0,0.0,,,
6,17.25,0.0,9.0,32.5,0.0,0.0,8.5,8.5,17.5,7.5,38.25,15.25,21.25,44.25,12.5,13.25,19.75,8.25,17.0,0.0,0.0,44.5,73.25,9.5,16.25,19.5,7.25,0.0,7.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,10.25,0.0,5.75,0.0,7.75,13.75,7.25,0.0,,,
7,23.0,0.0,0.0,9.5,0.0,0.0,32.0,0.0,77.5,9.0,37.75,52.75,9.0,33.5,26.75,44.75,50.5,70.75,21.0,0.0,0.0,21.5,48.5,0.0,60.75,12.0,0.0,0.0,0.0,0.0,0.0,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,8.5,9.25,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,,,
8,0.0,0.0,9.5,62.5,0.0,0.0,0.0,29.0,91.0,0.0,0.0,17.75,6.75,20.5,6.75,38.0,16.5,24.0,20.0,59.25,0.0,22.5,14.0,0.0,14.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,20.5,0.0,0.0,14.75,0.0,0.0,8.75,26.0,12.0,7.5,0.0,,,
9,,0.0,30.5,55.25,0.0,0.0,0.0,32.25,64.5,8.75,48.0,20.5,55.0,15.25,32.75,25.5,64.75,43.25,23.0,23.25,0.0,21.25,25.0,11.75,13.25,0.0,22.25,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,9.75,0.0,0.0,38.0,0.0,9.5,9.25,14.75,11.25,11.25,0.0,0.0,,
10,,0.0,0.0,8.0,0.0,0.0,15.25,15.25,19.75,20.0,25.0,47.25,11.0,57.0,21.5,26.5,43.75,33.5,58.0,0.0,0.0,23.25,74.75,0.0,54.25,15.0,29.75,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,30.75,0.0,0.0,0.0,45.5,0.0,0.0,46.0,0.0,0.0,32.0,,
11,,0.0,15.5,70.25,0.0,0.0,5.75,6.0,26.75,11.25,18.25,4.75,15.5,29.75,14.25,15.0,56.75,38.75,25.25,37.0,0.0,53.5,25.0,0.0,0.0,6.5,24.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75,0.0,0.0,28.25,0.0,0.0,5.5,35.5,0.0,0.0,17.75,9.75,10.5,13.0,0.0,0.0,,
12,,0.0,26.5,0.0,0.0,0.0,0.0,37.75,96.0,0.0,32.25,21.75,62.75,19.25,19.75,20.25,29.5,30.0,11.25,88.5,0.0,25.25,0.0,13.75,0.0,0.0,23.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,29.25,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,,
13,,0.0,26.5,0.0,0.0,0.0,0.0,48.0,81.25,9.25,39.75,30.25,42.0,34.75,19.75,19.25,17.75,36.25,30.5,63.5,0.0,25.25,23.25,13.75,0.0,0.0,23.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,29.25,8.25,0.0,9.25,31.25,0.0,0.0,0.0,0.0,9.25,31.5,0.0,8.5,,
14,,0.0,0.0,19.75,0.0,0.0,57.75,7.0,27.25,24.75,44.0,37.0,9.25,72.75,8.0,14.75,33.75,58.5,10.0,0.0,0.0,7.5,58.5,0.0,21.25,0.0,10.0,0.0,6.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.75,,
15,,0.0,0.0,0.0,0.0,0.0,47.75,42.25,13.5,12.75,24.5,41.25,23.5,38.5,19.75,43.0,46.0,40.0,30.25,0.0,0.0,54.5,65.0,0.0,29.25,21.0,5.25,0.0,11.75,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.75,15.75,28.75,0.0,0.0,10.75,0.0,10.75,42.25,0.0,0.0,11.25,,
16,,0.0,12.0,13.0,0.0,0.0,0.0,25.0,40.0,10.75,38.25,20.75,25.75,14.75,19.25,46.25,48.75,44.25,0.0,75.0,0.0,13.5,0.0,33.0,0.0,0.0,12.25,0.0,10.25,0.0,0.0,25.25,0.0,0.0,0.0,0.0,28.75,0.0,0.0,24.0,0.0,0.0,0.0,15.75,0.0,0.0,8.5,14.75,0.0,10.5,0.0,0.0,,
