,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
0,0.0,0.0,25.0,0.0,28.0,24.75,26.5,11.25,65.75,14.75,31.0,15.25,0.0,20.5,10.75,46.5,30.25,34.75,38.75,42.25,17.0,28.25,18.25,14.5,0.0,0.0,0.0,0.0,10.75,8.75,9.25,22.0,0.0,21.25,12.75,19.25,0.0,0.0,29.5,0.0,0.0,0.0,19.5,0.0,64.75,8.5,0.0,32.5,9.25,0.0,0.0,,,
1,0.0,0.0,36.0,0.0,12.75,9.25,21.5,11.25,33.25,14.75,34.25,32.25,7.25,25.25,8.75,20.75,0.0,50.5,63.75,62.75,17.0,59.0,27.5,0.0,0.0,0.0,0.0,7.75,0.0,15.5,16.75,22.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,47.0,15.25,0.0,65.25,9.25,0.0,0.0,,,
2,0.0,18.5,13.0,0.0,22.5,17.0,25.0,0.0,61.5,19.0,35.5,10.5,10.0,10.0,9.5,27.5,33.75,49.5,11.5,37.0,11.75,36.0,25.25,0.0,0.0,0.0,15.0,9.5,10.0,9.0,9.5,0.0,0.0,0.0,29.25,13.25,0.0,14.25,37.5,0.0,0.0,0.0,14.25,0.0,15.5,8.75,0.0,30.0,16.5,0.0,22.25,,,
3,0.0,34.75,0.0,0.0,17.25,53.5,32.5,0.0,72.25,51.5,22.0,0.0,53.0,0.0,42.5,46.0,67.75,24.25,0.0,0.0,0.0,0.0,15.0,42.0,0.0,0.0,12.75,0.0,22.25,55.5,0.0,0.0,0.0,11.25,12.5,34.0,0.0,10.75,10.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,32.25,0.0,11.0,,,
4,0.0,17.75,25.0,0.0,31.0,41.0,30.5,0.0,22.25,27.0,31.25,0.0,40.75,0.0,9.75,23.5,35.0,33.0,23.0,0.0,0.0,36.75,12.5,28.75,0.0,0.0,0.0,0.0,22.0,32.5,10.25,9.25,0.0,0.0,10.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.25,9.5,0.0,31.75,10.25,0.0,11.0,,,
5,0.0,0.0,0.0,0.0,35.0,37.25,23.5,8.0,21.25,21.5,24.0,21.25,42.25,12.25,32.5,39.25,0.0,82.75,26.75,23.5,10.5,49.0,10.0,0.0,0.0,0.0,0.0,18.0,18.75,24.25,30.75,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,30.75,11.0,0.0,63.0,11.75,0.0,0.0,,,
6,0.0,0.0,48.5,0.0,37.75,23.0,12.25,34.75,34.25,29.75,37.5,10.5,37.5,26.0,0.0,9.25,0.0,82.0,48.0,35.0,21.75,32.75,35.75,0.0,0.0,0.0,0.0,10.5,0.0,26.0,26.25,7.25,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,16.75,27.5,0.0,31.25,11.0,0.0,0.0,,,
7,0.0,33.5,0.0,0.0,0.0,55.5,15.75,0.0,50.5,13.0,35.0,0.0,43.5,38.5,36.5,10.5,43.5,27.25,0.0,0.0,0.0,0.0,0.0,28.75,0.0,0.0,24.5,0.0,22.25,30.25,0.0,0.0,0.0,10.25,13.0,23.75,0.0,11.0,11.75,0.0,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,12.75,0.0,47.25,,,
8,0.0,11.0,0.0,0.0,12.25,61.5,9.5,0.0,54.25,18.75,53.0,0.0,27.25,16.75,46.5,41.0,50.0,10.25,0.0,0.0,0.0,0.0,23.25,28.0,0.0,0.0,0.0,0.0,11.75,57.25,0.0,0.0,0.0,9.0,13.25,22.0,0.0,18.5,28.5,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,13.25,,,
9,0.0,16.0,8.25,0.0,0.0,17.25,25.0,8.0,64.5,25.75,18.5,7.5,50.25,26.75,7.0,42.0,60.75,33.5,0.0,8.5,0.0,8.0,31.75,0.0,0.0,0.0,13.25,0.0,18.25,6.25,0.0,6.25,0.0,10.75,20.0,7.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,10.75,6.25,0.0,13.25,7.0,0.0,24.75,,,
