,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26
0,0.0,0.0,0.0,48.0,47.75,0.0,0.0,70.25,15.5,15.0,0.0,22.75,0.0,32.75,26.0,40.0,26.5,73.25,81.5,58.5,16.75,17.25,0.0,25.75,26.5,26.75,15.75,0.0,13.0,19.5,34.5,0.0,21.5,0.0,0.0,15.0,14.5,41.5,0.0,7.0,21.0,0.0,0.0,10.25,14.75,14.25,0.0,0.0,15.5,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,56.5,0.0,23.0,0.0,14.5,17.0,25.75,24.5,16.0,30.0,46.0,64.0,66.0,19.5,88.25,22.25,15.75,41.75,0.0,24.75,0.0,19.0,11.0,10.0,0.0,7.75,17.5,6.5,36.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,0.0,6.5,6.25,14.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12.25,0.0,0.0,41.5,57.25,0.0,0.0,29.25,20.75,28.0,0.0,19.25,0.0,45.5,48.0,20.75,32.25,47.25,82.0,44.0,19.25,20.25,0.0,35.75,54.25,19.0,18.75,0.0,8.75,8.25,42.75,19.5,42.25,0.0,0.0,0.0,26.0,17.75,0.0,24.25,24.5,0.0,0.0,46.75,0.0,19.5,8.75,35.75,16.25,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14.5,0.0,0.0,20.5,34.5,0.0,0.0,60.5,6.0,0.0,8.25,23.75,0.0,58.75,23.5,41.75,42.75,87.5,82.75,37.0,14.75,29.75,0.0,14.0,0.0,9.25,19.0,0.0,5.0,5.25,47.5,19.25,25.5,0.0,0.0,13.5,16.5,5.25,0.0,0.0,10.75,0.0,0.0,36.25,17.5,11.0,6.5,17.5,7.5,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21.5,0.0,0.0,12.5,32.5,0.0,0.0,38.5,15.75,15.25,6.25,30.5,0.0,16.0,12.25,20.5,22.75,72.25,56.0,41.5,34.25,25.0,0.0,22.25,20.25,15.25,34.75,0.0,16.75,0.0,28.5,4.75,12.5,0.0,0.0,7.0,0.0,30.25,0.0,10.0,9.0,0.0,0.0,44.5,6.75,29.0,7.25,6.5,14.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.0,0.0,0.0,26.75,49.25,0.0,0.0,51.25,22.25,17.25,7.5,58.5,0.0,48.0,15.75,44.0,35.0,60.0,72.5,68.0,53.75,43.25,0.0,9.0,33.5,12.5,30.25,0.0,0.0,9.0,63.0,0.0,0.0,0.0,0.0,29.25,40.0,43.5,0.0,0.0,38.5,0.0,0.0,24.75,17.75,32.25,16.25,60.25,18.0,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.25,0.0,0.0,47.75,51.75,0.0,0.0,51.5,28.0,18.0,20.0,24.0,0.0,85.75,25.75,36.5,33.0,72.5,91.5,40.25,0.0,34.25,0.0,22.5,20.75,13.5,78.0,0.0,16.0,5.0,23.25,10.75,19.5,0.0,0.0,0.0,28.25,10.25,0.0,18.0,15.75,0.0,0.0,8.5,10.75,11.0,28.5,16.0,19.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,51.0,0.0,7.25,6.0,13.5,7.25,20.0,5.75,40.0,59.75,48.5,28.0,72.75,37.5,44.0,79.0,39.5,32.25,0.0,15.25,37.75,6.0,0.0,18.5,27.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,5.5,0.0,27.75,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12.25,9.5,0.0,47.5,0.0,18.75,0.0,50.5,27.0,26.5,18.0,34.0,47.0,34.5,28.75,67.0,52.0,64.5,44.5,10.5,68.5,19.75,29.25,25.0,8.75,37.25,21.0,0.0,0.0,0.0,20.25,0.0,24.75,0.0,7.5,10.5,18.75,24.0,0.0,0.0,18.25,0.0,0.0,0.0,33.25,21.0,16.25,16.5,10.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.0,0.0,8.0,29.25,25.0,0.0,61.5,32.75,18.5,20.0,30.5,0.0,52.5,54.25,45.75,29.25,64.75,45.0,66.5,46.75,34.25,37.75,9.25,32.0,12.25,32.5,0.0,0.0,18.0,26.25,10.25,19.25,0.0,0.0,11.75,21.0,7.25,0.0,18.25,21.5,0.0,0.0,11.0,10.0,0.0,11.0,35.5,11.25,8.0,12.25,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.0,0.0,19.5,0.0,33.0,0.0,29.75,26.0,28.75,11.25,17.75,7.25,43.25,63.0,53.5,30.5,62.25,31.75,45.25,52.25,21.0,50.75,0.0,8.25,20.75,19.0,0.0,0.0,24.0,0.0,20.5,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,16.0,22.75,0.0,45.25,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.0,0.0,13.75,24.5,8.0,0.0,51.5,8.25,13.0,0.0,5.5,0.0,48.0,31.5,24.75,37.75,61.25,48.75,47.0,33.25,25.5,8.0,7.25,32.5,18.25,7.25,0.0,11.0,6.75,33.0,13.75,27.0,0.0,0.0,6.0,14.0,7.25,0.0,0.0,25.5,0.0,0.0,10.75,0.0,14.5,13.5,20.25,7.5,5.75,8.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.0,0.0,37.75,0.0,0.0,0.0,28.0,9.25,17.5,27.75,37.5,0.0,38.25,37.75,16.75,50.0,33.0,39.25,39.75,51.0,19.75,0.0,35.0,43.5,10.25,31.25,0.0,7.75,25.0,42.5,9.0,0.0,0.0,0.0,8.5,15.75,0.0,0.0,25.5,18.0,0.0,0.0,63.25,8.75,16.75,0.0,34.25,0.0,0.0,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.0,0.0,19.5,0.0,32.5,0.0,44.5,34.0,28.75,20.5,0.0,28.25,21.25,32.25,49.0,16.25,92.25,30.0,21.25,62.5,17.25,17.75,0.0,6.5,21.75,10.25,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,23.75,0.0,10.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.0,0.0,27.5,0.0,15.5,0.0,0.0,0.0,26.75,14.0,6.5,25.25,11.5,39.75,39.25,10.5,35.0,42.5,27.5,55.25,7.75,24.0,0.0,22.0,0.0,7.0,0.0,11.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,0.0,6.25,12.25,27.5,0.0,15.75,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0.0,0.0,13.75,22.25,0.0,0.0,55.25,7.25,20.25,23.75,22.5,0.0,69.25,48.0,10.75,32.0,96.0,61.75,26.75,31.0,7.5,0.0,32.0,27.25,8.25,39.0,0.0,8.25,7.0,19.75,9.25,21.75,0.0,0.0,5.75,21.25,6.5,0.0,20.75,7.0,0.0,0.0,21.75,0.0,17.75,14.25,0.0,0.0,24.5,0.0,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0.0,0.0,17.5,7.75,0.0,0.0,70.25,24.75,0.0,9.75,32.75,0.0,30.0,6.0,34.5,34.5,93.0,37.5,19.5,37.0,19.25,0.0,44.75,12.25,22.5,29.0,0.0,6.25,17.0,41.0,0.0,26.75,0.0,0.0,0.0,34.0,31.0,0.0,22.25,43.75,0.0,0.0,25.0,23.5,33.25,6.75,14.75,7.5,0.0,0.0,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0.0,0.0,11.75,14.25,0.0,0.0,58.75,15.5,7.75,6.0,27.0,15.0,73.0,25.75,31.25,24.5,75.75,79.0,35.5,56.0,16.5,9.0,24.5,25.25,6.75,13.25,0.0,6.25,13.0,12.0,13.0,25.0,0.0,0.0,5.75,26.75,11.75,0.0,12.25,18.25,0.0,0.0,11.0,21.0,21.25,13.5,12.0,28.5,7.0,17.0,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.0,0.0,30.75,28.25,10.75,0.0,53.0,29.75,16.0,17.5,16.0,0.0,37.75,41.0,33.25,24.75,92.75,27.75,0.0,56.25,0.0,22.75,8.5,32.5,8.25,25.25,0.0,6.0,6.0,6.75,9.0,18.25,0.0,0.0,9.75,24.5,15.0,0.0,0.0,8.5,0.0,0.0,13.5,16.0,15.75,18.0,17.25,28.75,0.0,22.0,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0.0,0.0,23.25,0.0,0.0,0.0,33.25,32.5,0.0,7.25,22.25,7.75,40.25,19.25,20.25,39.75,51.5,72.25,0.0,53.0,17.75,37.25,19.25,18.5,53.25,7.75,7.5,0.0,0.0,0.0,0.0,14.5,0.0,13.5,0.0,0.0,6.5,0.0,6.5,0.0,0.0,0.0,10.0,14.75,0.0,13.25,0.0,0.0,0.0,17.25,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0.0,0.0,49.75,0.0,31.75,0.0,44.25,28.75,46.5,0.0,9.5,46.75,34.75,59.0,72.25,49.5,57.0,0.0,31.5,92.75,29.75,24.25,0.0,32.5,0.0,29.5,0.0,0.0,14.25,0.0,19.5,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.75,0.0,9.5,0.0,31.25,17.5,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0.0,0.0,50.25,25.0,0.0,0.0,90.0,16.75,8.0,25.0,37.75,0.0,48.0,27.5,33.5,14.0,47.5,50.5,58.75,18.75,26.0,0.0,8.75,45.0,9.5,25.25,0.0,0.0,0.0,45.25,0.0,15.5,0.0,0.0,8.0,0.0,14.5,0.0,0.0,21.0,0.0,0.0,0.0,0.0,23.5,7.25,22.0,0.0,8.25,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.0,56.25,45.25,0.0,0.0,56.75,25.5,20.5,31.25,45.25,0.0,55.5,51.75,39.5,29.0,70.0,53.0,22.75,34.0,20.25,0.0,21.0,39.0,11.0,0.0,0.0,20.75,20.75,67.0,11.5,20.5,0.0,0.0,21.25,45.0,30.0,0.0,8.25,11.0,0.0,0.0,47.25,11.75,32.25,11.25,46.75,12.25,12.0,0.0,0.0,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.0,39.75,57.25,0.0,0.0,61.5,0.0,7.25,7.5,15.75,0.0,44.75,22.5,35.25,41.75,68.75,74.5,31.25,32.5,24.75,0.0,20.0,0.0,16.75,16.0,0.0,12.75,0.0,38.0,23.75,23.5,0.0,0.0,16.5,6.75,20.25,0.0,15.5,34.5,0.0,0.0,13.25,7.0,30.75,6.75,15.75,0.0,22.25,0.0,9.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,18.0,38.0,0.0,26.5,0.0,10.75,48.0,0.0,20.25,23.25,74.5,21.75,40.25,30.5,20.5,60.5,74.25,13.25,39.25,35.0,72.75,9.25,9.0,42.0,27.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,34.0,47.25,5.5,15.0,0.0,0.0,0.0,14.0,0.0,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0,44.75,18.25,0.0,0.0,37.0,9.5,36.25,8.25,26.75,18.0,76.5,30.75,39.25,16.75,39.5,66.75,38.25,37.5,41.5,23.75,22.0,30.5,20.75,27.75,0.0,7.5,6.75,39.5,7.75,8.5,0.0,8.75,0.0,24.5,15.75,0.0,8.25,25.75,0.0,0.0,13.0,9.0,16.75,0.0,16.75,9.0,8.25,0.0,0.0,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.0,52.0,60.0,0.0,0.0,41.0,18.25,0.0,24.25,35.75,0.0,42.25,51.0,13.5,28.5,69.75,86.75,26.0,26.25,46.25,0.0,7.25,9.0,7.0,42.25,0.0,20.0,6.75,36.75,23.25,40.5,0.0,0.0,17.75,31.25,29.25,0.0,14.5,40.0,0.0,0.0,22.25,0.0,0.0,0.0,13.0,9.75,17.75,0.0,9.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,35.25,55.25,0.0,0.0,52.0,9.75,15.5,8.25,55.25,0.0,30.0,20.75,26.5,35.25,94.25,28.25,57.0,28.5,7.5,0.0,0.0,47.25,18.75,8.25,0.0,14.25,0.0,16.0,6.75,8.5,0.0,0.0,25.75,31.75,16.0,0.0,16.75,37.25,0.0,0.0,44.25,15.75,23.0,7.25,28.25,26.75,7.75,0.0,26.25,23.0,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
