fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,16.5,3.0,3.75,10.75,0.0,0.0,0.0
2020-03-08,12.0,12.75,12.75,4.0,3.75,2.0,9.5,6.0,12.75
2020-03-15,11.0,10.5,24.75,27.0,23.75,15.75,7.5,7.0,18.75
2020-03-22,31.25,24.25,19.75,22.75,30.5,20.0,16.25,12.5,33.25
2020-03-29,18.25,38.25,9.25,20.25,21.25,18.5,13.75,23.0,34.5
2020-04-05,16.5,27.5,39.0,16.5,21.75,19.75,13.0,11.0,34.0
2020-04-12,32.75,66.75,18.0,37.5,46.25,27.75,50.75,51.5,55.5
2020-04-19,53.75,16.0,41.0,28.5,44.0,34.75,18.0,13.0,31.5
2020-04-26,9.5,11.0,15.75,14.25,17.25,16.0,30.0,12.5,11.25
2020-05-03,30.25,29.0,44.5,35.75,12.0,31.0,14.0,28.75,57.0
2020-05-10,21.0,28.0,27.0,4.75,24.75,13.25,28.25,31.75,48.5
2020-05-17,9.75,32.75,25.25,6.75,27.0,9.75,16.25,27.0,14.25
2020-05-24,52.5,51.75,41.25,67.25,52.0,36.5,53.0,19.25,68.25
2020-05-31,18.75,10.0,39.0,31.0,30.25,20.25,21.0,5.0,13.5
2020-06-07,19.5,75.5,29.5,25.0,55.5,17.0,36.0,61.0,36.0
2020-06-14,40.0,74.5,47.25,45.75,60.75,43.0,45.5,35.75,72.5
2020-06-21,25.0,44.25,36.5,28.25,32.5,32.5,35.25,37.25,28.25
2020-06-28,49.25,54.25,44.5,25.0,52.75,35.5,26.25,64.5,54.0
2020-07-05,35.75,76.5,49.75,35.5,42.0,39.0,40.75,70.5,44.75
2020-07-12,100.0,26.25,100.0,96.5,79.0,100.0,65.75,10.0,53.5
2020-07-19,22.75,54.25,32.25,25.25,38.0,13.25,32.0,49.25,38.0
2020-07-26,25.75,51.5,46.0,25.25,52.25,30.25,47.75,46.25,48.25
2020-08-02,30.0,72.5,27.5,36.0,50.5,15.75,61.0,67.5,62.75
2020-08-09,9.25,43.0,13.5,14.0,27.75,19.5,15.25,15.0,11.75
2020-08-16,17.5,29.75,32.0,29.0,25.25,11.25,12.0,16.75,15.25
2020-08-23,19.5,27.25,40.75,28.75,23.5,25.0,29.25,27.75,32.5
2020-08-30,22.5,39.5,18.75,33.75,24.5,13.75,33.5,41.25,37.25
2020-09-06,14.5,43.0,12.0,18.5,24.75,6.5,13.75,11.5,27.0
2020-09-13,19.5,42.25,26.5,19.0,24.5,24.0,8.0,21.25,20.0
2020-09-20,20.25,44.5,21.25,30.75,24.75,26.0,22.0,32.75,50.0
2020-09-27,7.5,37.75,29.75,6.0,6.5,10.5,8.0,30.0,17.0
2020-10-04,10.75,16.0,5.75,5.5,9.5,8.0,7.5,15.5,3.25
2020-10-11,26.75,19.0,32.75,22.25,9.25,18.25,22.25,9.0,9.75
2020-10-18,7.5,26.5,6.75,7.75,22.75,8.5,15.0,21.0,27.5
2020-10-25,23.25,5.0,26.25,25.75,31.75,9.25,24.25,21.25,39.0
2020-11-01,9.0,20.25,36.5,19.25,17.75,10.5,26.25,16.75,37.75
2020-11-08,9.75,23.5,9.5,7.5,15.5,15.75,10.5,14.5,11.25
2020-11-15,25.5,2.5,41.0,29.25,33.5,15.25,23.0,11.5,17.5
2020-11-22,16.75,25.0,16.5,19.0,9.5,8.75,13.5,12.0,13.75
2020-11-29,14.75,35.5,24.0,22.5,34.0,12.25,18.25,23.0,34.75
2020-12-06,10.0,44.0,14.5,10.25,28.5,11.5,20.5,43.75,26.0
2020-12-13,19.75,36.25,34.5,16.0,41.0,26.25,21.0,21.25,21.25
2020-12-20,30.5,7.75,38.25,28.5,18.25,21.5,21.5,14.25,17.5
2020-12-27,36.5,69.5,33.5,30.0,64.5,28.0,41.0,94.25,59.5
2021-01-03,13.75,39.0,23.25,11.0,23.25,15.5,15.5,23.75,19.0
2021-01-10,12.25,32.75,16.0,10.5,25.5,12.5,21.0,8.75,25.25
2021-01-17,12.25,48.25,34.0,35.5,29.0,10.75,19.25,37.75,44.75
2021-01-24,11.75,30.5,30.75,15.75,25.25,8.0,22.25,11.75,23.5
2021-01-31,11.25,38.0,17.0,13.5,31.25,21.25,19.75,35.25,25.75
2021-02-07,15.5,8.75,12.25,17.5,16.75,21.0,18.25,9.5,22.75
2021-02-14,13.0,12.0,12.25,6.25,8.25,4.5,14.5,3.0,16.5
