,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28
0,16.5,0.0,0.0,43.25,44.25,9.25,5.75,13.0,12.25,0.0,0.0,0.0,0.0,5.25,19.0,0.0,0.0,0.0,17.25,24.0,7.0,23.0,47.5,54.0,43.25,64.5,39.5,66.5,27.5,11.75,20.5,16.75,24.0,61.25,31.25,39.25,21.5,32.5,65.25,69.75,17.75,6.25,11.25,49.0,66.5,32.5,28.25,30.5,26.0,55.5,80.5,,
1,0.0,0.0,29.25,23.5,19.75,5.0,18.5,41.5,0.0,20.5,0.0,9.0,0.0,9.5,0.0,10.0,6.25,24.75,0.0,44.75,56.75,27.25,38.0,69.0,75.75,59.0,15.25,33.25,28.75,30.75,19.5,23.75,4.5,71.75,10.5,46.75,37.0,24.75,10.25,20.25,35.5,65.0,24.25,18.25,38.5,55.5,43.5,0.0,29.0,32.25,44.0,,
2,0.0,0.0,0.0,17.75,34.25,21.75,14.25,7.75,4.75,0.0,0.0,0.0,0.0,3.75,26.0,0.0,0.0,0.0,4.0,23.0,17.0,30.0,31.5,62.75,37.25,59.5,23.25,43.75,25.75,23.5,14.0,5.5,13.75,51.0,63.0,42.75,18.25,32.75,38.0,30.25,15.5,5.25,45.5,38.5,53.0,13.5,44.5,51.25,4.75,49.5,79.75,,
3,12.75,5.25,0.0,19.5,21.5,11.5,35.25,5.25,13.25,0.0,0.0,0.0,0.0,4.0,12.5,0.0,0.0,0.0,4.5,15.75,10.25,45.0,53.5,52.0,43.0,66.0,21.25,32.5,28.75,18.5,22.5,12.5,31.75,62.75,45.75,47.5,21.75,14.25,79.0,14.5,21.25,5.0,28.75,39.5,70.25,32.25,49.75,44.75,11.25,73.75,73.75,,
4,0.0,0.0,36.5,18.25,35.0,7.25,25.25,53.0,0.0,34.75,0.0,0.0,0.0,22.0,0.0,6.0,9.75,28.75,0.0,31.5,70.25,25.25,32.75,53.25,63.0,13.75,37.75,27.5,17.0,31.75,38.5,25.25,0.0,77.75,41.25,72.5,21.25,30.5,30.25,35.5,37.5,70.0,16.0,7.5,42.25,20.25,21.75,0.0,30.5,33.0,26.25,,
5,9.75,10.0,0.0,12.75,13.0,14.0,6.75,0.0,4.0,0.0,0.0,0.0,4.25,3.5,14.0,0.0,0.0,0.0,8.75,13.25,14.0,8.5,29.0,60.5,34.75,41.25,18.0,13.25,19.25,29.5,22.25,0.0,3.25,30.75,23.5,31.25,13.5,22.75,38.25,27.25,18.5,0.0,23.75,43.5,53.0,14.0,18.5,42.5,4.5,65.75,69.25,,
6,15.75,22.25,0.0,18.0,20.75,6.5,40.75,11.75,0.0,0.0,0.0,0.0,5.75,5.5,16.75,0.0,0.0,0.0,6.5,6.25,29.5,44.0,38.0,32.5,26.0,65.5,15.75,78.0,6.0,11.25,23.25,6.0,30.0,48.0,47.75,35.75,22.5,24.75,30.5,24.5,6.25,20.0,14.75,46.0,20.75,26.25,20.0,41.0,21.75,62.0,73.5,,
7,0.0,0.0,25.0,41.25,0.0,4.0,5.0,17.75,0.0,16.5,0.0,3.0,0.0,6.5,0.0,4.75,3.25,14.0,0.0,10.0,57.0,3.75,21.25,30.75,42.5,31.25,21.0,27.5,22.5,26.25,19.25,13.0,11.5,72.75,20.75,40.75,20.0,24.25,0.0,19.5,35.25,50.25,0.0,0.0,35.75,35.25,24.0,0.0,25.5,32.75,46.5,,
8,0.0,0.0,19.0,12.25,36.25,8.25,20.75,27.25,0.0,28.75,0.0,13.75,0.0,19.75,0.0,9.5,9.5,20.0,0.0,20.25,77.0,45.25,14.75,79.25,17.0,16.5,27.25,36.75,24.75,28.25,14.0,28.0,7.0,68.75,56.25,71.25,47.5,30.5,0.0,49.75,38.75,53.25,19.0,23.5,18.75,30.25,57.5,0.0,24.0,44.0,42.5,,
9,0.0,12.75,5.0,8.75,21.25,19.25,27.5,18.75,9.5,7.75,5.0,3.5,0.0,0.0,0.0,3.75,8.75,8.75,10.25,10.25,23.25,35.75,37.25,75.0,36.5,34.0,24.0,25.75,12.25,17.75,3.0,11.75,11.75,47.0,40.25,46.5,16.75,28.75,36.5,32.5,8.25,41.25,9.0,53.25,36.5,41.25,18.0,24.5,31.0,33.0,73.5,,
