,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25
0,0.0,0.0,14.5,0.0,0.0,33.25,21.0,5.25,21.25,12.25,0.0,20.5,0.0,16.25,0.0,4.5,0.0,8.25,23.0,7.25,10.0,18.5,30.5,40.0,100.0,39.0,27.0,25.75,0.0,27.25,3.5,3.5,18.5,22.25,3.5,0.0,8.5,0.0,14.0,12.0,13.5,13.5,21.75,7.0,0.0,22.25,28.75,0.0,6.25,37.75,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,10.25,0.0,47.0,25.0,55.0,77.0,73.0,48.75,20.5,7.25,21.0,28.5,0.0,65.75,0.0,27.5,46.25,59.25,47.5,31.25,32.5,60.25,7.5,26.5,0.0,10.0,14.5,15.5,6.75,0.0,8.0,8.0,31.25,33.25,0.0,0.0,6.5,7.5,17.75,0.0,74.0,17.75,55.0,45.25,17.5,38.5,55.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,48.0,7.5,17.0,33.25,15.5,0.0,15.75,0.0,15.25,0.0,31.5,0.0,26.5,14.75,0.0,22.75,29.0,65.75,30.25,94.25,10.0,15.25,13.25,0.0,33.5,10.0,8.25,11.5,11.75,15.5,0.0,0.0,0.0,0.0,9.0,17.75,17.25,5.25,0.0,0.0,0.0,11.75,0.0,15.5,25.0,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,32.0,0.0,0.0,5.25,25.0,25.25,10.5,22.75,0.0,21.25,0.0,17.0,0.0,17.25,0.0,7.75,13.5,8.25,12.75,32.75,57.0,27.5,99.5,17.5,3.5,26.0,0.0,30.5,17.0,9.5,20.0,26.75,19.0,0.0,17.75,0.0,4.25,0.0,23.75,22.75,26.0,14.25,0.0,5.25,13.5,0.0,0.0,10.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,31.0,0.0,61.5,47.0,25.0,39.75,28.25,43.75,34.5,13.25,0.0,34.75,21.0,20.75,0.0,27.25,61.75,27.25,39.75,64.0,20.25,48.0,24.75,15.0,0.0,18.75,34.25,6.0,8.25,0.0,23.25,17.0,20.5,38.25,0.0,0.0,15.5,15.5,20.75,0.0,52.0,15.75,39.0,8.75,56.0,19.75,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,23.25,0.0,0.0,16.0,26.5,22.25,26.5,5.75,0.0,25.0,0.0,11.25,0.0,37.5,0.0,16.25,21.5,7.25,11.75,35.5,55.25,20.5,97.5,24.75,14.75,34.0,0.0,23.75,17.75,15.75,6.0,14.25,12.0,0.0,7.25,0.0,17.0,6.25,35.25,18.25,15.75,16.5,0.0,5.5,9.75,0.0,15.25,39.25,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,9.0,0.0,0.0,29.5,30.5,28.5,11.25,24.0,5.0,22.5,10.0,0.0,0.0,39.75,4.75,15.0,30.5,5.0,58.25,22.0,35.75,50.0,82.0,55.0,11.75,16.75,0.0,37.0,5.25,7.75,5.0,21.0,5.0,0.0,19.0,5.0,20.0,0.0,24.25,0.0,25.75,7.75,25.0,20.0,24.25,0.0,23.0,35.0,35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,60.75,0.0,25.25,48.25,31.5,5.0,41.75,6.0,5.0,0.0,23.75,41.0,0.0,6.5,16.75,30.75,49.5,57.5,37.5,15.5,26.25,5.75,0.0,5.5,5.75,6.0,0.0,0.0,0.0,11.75,17.25,44.0,0.0,0.0,13.5,13.0,6.5,0.0,85.0,23.5,78.25,0.0,77.5,23.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,26.0,0.0,57.5,19.25,36.0,30.0,15.25,22.0,48.0,4.75,23.75,12.25,24.5,23.5,0.0,31.25,25.5,6.0,43.75,32.25,29.25,26.25,5.75,18.25,12.25,9.75,33.25,5.75,19.0,0.0,0.0,13.25,19.75,18.25,0.0,0.0,19.25,20.5,14.25,9.0,57.75,23.75,48.75,12.75,46.25,22.75,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,14.0,0.0,9.5,31.25,17.5,14.5,15.25,6.5,0.0,14.75,0.0,7.25,6.25,19.0,0.0,36.0,30.5,0.0,27.75,15.5,56.75,40.0,79.25,34.5,7.5,22.0,0.0,13.75,20.5,13.25,21.75,9.0,8.0,6.5,21.25,0.0,16.5,16.5,27.25,16.0,20.25,0.0,16.25,7.5,27.75,17.0,25.0,29.5,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
