,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28
0,0.0,2.0,14.0,3.75,10.25,10.0,17.75,20.5,26.75,20.25,13.5,10.25,15.5,12.25,15.5,14.5,27.75,16.5,24.75,37.0,63.75,80.0,91.25,52.0,56.75,47.25,18.0,13.0,15.0,23.5,9.25,1.5,7.75,12.5,10.75,19.0,5.0,1.5,10.25,7.5,1.25,18.75,21.25,21.5,5.5,20.5,37.25,39.5,26.0,38.5,21.0,,,,,,
1,0.0,0.0,2.5,0.0,15.75,1.75,29.0,26.75,12.75,3.0,19.0,23.5,12.25,6.75,27.5,10.75,23.75,13.0,7.0,15.5,38.5,99.75,82.0,53.0,46.25,31.5,13.0,10.75,11.75,4.25,3.25,8.25,4.0,13.0,6.5,4.5,3.25,11.25,2.25,6.5,4.5,0.0,16.25,4.0,7.5,20.5,15.75,35.0,13.0,12.25,1.75,,,,,,
2,0.0,0.0,17.75,14.25,9.75,0.0,18.0,28.5,38.75,17.75,10.75,14.0,18.5,19.75,6.25,34.0,20.75,11.0,24.0,37.5,62.75,77.0,95.0,57.0,32.5,46.5,10.75,12.75,15.5,23.25,9.5,3.0,10.0,10.75,10.25,6.25,8.0,3.0,7.5,5.75,3.0,6.25,9.25,17.75,4.25,11.5,39.5,44.75,39.5,31.5,20.0,,,,,,
3,0.0,6.25,6.75,14.0,16.0,2.25,19.75,15.25,40.25,15.75,10.25,11.25,8.5,14.5,21.25,18.5,19.5,16.5,32.75,42.75,56.5,84.0,98.5,64.75,66.25,67.5,20.75,13.5,15.0,23.0,12.75,1.75,9.75,19.5,12.25,9.75,7.5,1.75,8.25,4.75,6.75,15.25,14.5,17.25,12.25,25.5,29.75,30.25,29.0,35.75,39.0,,,,,,
4,0.0,2.0,20.75,17.75,6.0,4.0,17.0,21.0,20.0,17.5,12.25,20.0,13.75,17.75,9.0,16.75,20.25,20.0,30.0,41.5,38.25,85.5,100.0,45.5,47.0,49.5,13.25,15.5,15.75,20.75,11.25,1.75,5.0,18.0,17.5,7.5,1.75,1.5,11.25,3.25,3.0,7.25,12.75,15.25,2.0,19.25,43.5,36.75,30.0,36.75,30.75,,,,,,
5,0.0,1.75,13.0,17.5,8.25,5.25,17.5,17.25,28.75,11.75,15.0,12.75,9.25,12.0,10.75,18.25,16.5,9.5,23.0,43.0,39.5,72.75,95.75,68.0,57.0,49.0,15.25,16.25,24.0,19.25,11.0,2.0,12.5,11.75,1.75,7.25,9.0,3.25,8.0,9.25,2.0,5.5,19.75,11.5,11.25,26.25,32.5,36.25,35.0,38.75,22.75,,,,,,
6,0.0,1.5,5.75,2.75,14.25,10.0,28.75,29.25,19.75,3.75,8.0,20.25,11.75,8.25,33.5,18.25,15.0,13.75,22.25,26.5,52.5,87.0,84.0,53.5,61.25,43.75,20.0,15.75,9.5,15.75,5.25,1.5,4.0,11.25,6.75,1.5,8.5,13.25,7.5,9.0,3.75,2.25,19.75,17.0,13.5,12.25,20.5,22.0,28.75,25.5,17.75,,,,,,
7,0.0,4.0,6.0,0.0,4.0,4.0,21.0,29.75,11.5,1.75,13.25,18.75,11.0,6.75,21.5,13.25,17.75,10.75,7.25,22.25,32.75,93.0,80.75,47.0,47.0,24.5,18.5,9.0,8.75,14.25,1.5,5.75,0.0,8.0,2.0,6.5,5.75,13.0,3.75,4.25,5.5,0.0,11.0,5.75,14.0,14.5,16.0,24.25,27.0,11.25,0.0,,,,,,
8,0.0,0.0,4.0,2.5,3.75,4.75,17.5,26.25,21.0,18.25,9.25,18.25,16.75,15.75,9.0,6.25,12.25,21.75,18.0,37.25,50.75,96.25,71.0,60.25,38.0,29.75,11.75,20.5,6.5,14.25,11.25,4.0,8.25,19.25,16.0,8.75,6.0,6.0,4.5,4.25,11.75,3.25,1.75,10.25,8.5,11.5,16.5,13.25,24.0,26.0,21.75,,,,,,
9,,4.0,10.75,13.25,11.0,6.25,16.25,26.75,20.5,10.75,15.0,21.5,9.0,15.25,14.5,23.25,18.75,21.5,18.5,43.25,40.5,82.5,98.5,65.0,62.5,42.75,17.75,11.25,21.0,9.25,6.5,6.0,9.5,15.5,10.25,6.5,8.75,10.25,5.0,3.0,4.0,7.75,18.25,13.75,14.25,18.25,37.5,30.75,16.25,30.0,15.0,23.5,,,,,
10,,1.5,4.0,3.5,11.25,4.0,16.5,32.25,7.25,4.5,25.5,19.0,11.0,7.75,21.75,8.25,14.0,20.0,10.5,21.25,38.25,91.75,84.0,62.0,55.5,40.0,15.0,9.75,11.25,2.75,0.0,8.75,5.0,9.75,5.5,9.75,6.5,10.75,1.5,3.0,5.25,0.0,15.75,1.75,10.25,22.5,19.5,26.25,11.25,17.25,2.0,21.75,,,,,
11,,5.25,6.75,6.5,12.25,5.75,24.75,17.0,17.5,5.25,15.25,20.25,11.0,6.0,24.5,14.0,12.25,17.25,20.0,15.75,47.0,88.0,93.25,66.5,42.75,39.5,22.25,16.25,16.75,12.75,5.0,1.5,5.5,12.25,3.75,10.25,6.0,14.25,3.25,1.75,6.25,3.25,16.25,12.0,12.0,17.5,28.75,34.5,21.25,28.25,13.25,25.5,,,,,
12,,4.0,20.5,8.75,2.5,2.5,18.75,29.5,20.25,12.25,22.0,19.25,15.5,12.0,24.0,27.0,18.25,7.25,27.75,49.0,55.75,88.0,86.5,58.0,49.5,36.5,13.5,20.5,21.75,21.25,14.5,3.25,6.25,14.75,16.0,10.75,9.25,4.25,6.5,11.0,3.5,9.5,12.25,21.0,6.0,26.75,35.75,36.5,25.25,33.5,22.25,33.5,,,,,
13,,3.25,3.5,1.75,7.25,5.25,17.25,40.25,9.0,3.0,15.25,22.25,13.25,7.75,16.0,9.25,20.0,5.75,11.0,11.25,47.25,82.75,86.75,58.25,45.75,30.75,13.25,17.5,7.75,6.5,3.0,3.0,3.0,11.25,3.25,3.0,10.5,19.0,1.25,2.5,2.5,0.0,16.5,8.5,6.75,18.75,10.25,22.5,13.5,11.5,1.75,16.0,,,,,
14,,6.0,8.75,10.0,3.75,3.75,24.25,16.5,27.0,10.75,25.0,17.5,8.0,15.0,10.5,26.75,19.25,17.75,37.25,38.5,54.75,87.0,100.0,65.5,64.5,42.5,22.25,18.0,13.25,19.25,9.0,3.25,5.25,13.0,5.75,10.0,8.0,12.25,3.5,4.5,4.75,12.75,14.25,13.5,9.75,12.0,37.5,41.5,28.25,27.75,19.0,13.75,,,,,
15,,4.5,12.5,9.0,6.75,11.75,7.75,19.75,20.5,6.75,11.0,19.75,15.0,6.25,17.5,9.5,17.5,8.75,20.0,31.25,41.25,76.75,89.0,55.0,50.0,27.0,10.5,18.25,11.25,13.0,9.75,5.5,0.0,7.25,1.5,7.0,5.75,1.25,2.75,4.0,1.5,5.25,16.0,9.5,3.0,18.25,14.75,32.75,23.25,12.75,15.75,17.0,,,,,
