fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,7.25,1.75,0.0,1.25,2.5,2.0,5.25,1.25
2020-03-08,11.0,6.25,16.0,10.0,4.75,12.25,11.25,2.5,10.5
2020-03-15,17.5,18.75,19.5,25.5,18.0,12.75,14.25,26.5,19.0
2020-03-22,23.75,16.0,18.5,19.5,12.0,18.25,23.5,15.0,15.0
2020-03-29,17.75,27.75,17.5,23.5,26.25,22.0,19.75,32.5,19.75
2020-04-05,20.75,32.0,23.5,12.75,30.75,19.0,30.25,37.75,26.75
2020-04-12,58.0,63.0,61.5,55.5,64.25,56.0,58.5,62.75,65.5
2020-04-19,65.25,67.0,58.0,59.25,82.0,51.5,61.25,66.0,61.5
2020-04-26,83.75,61.5,78.0,79.25,70.25,68.25,62.25,78.25,71.75
2020-05-03,51.75,39.0,49.0,37.25,44.75,51.0,43.5,42.25,46.25
2020-05-10,50.0,48.25,46.0,45.25,35.0,29.0,49.0,31.75,39.75
2020-05-17,47.0,55.5,59.5,60.75,49.5,58.25,60.0,51.25,73.0
2020-05-24,90.5,59.5,81.25,80.5,66.25,86.25,68.0,68.0,80.25
2020-05-31,67.0,56.0,67.75,77.25,63.25,66.25,72.25,68.25,64.25
2020-06-07,66.75,85.25,69.0,76.25,79.5,76.25,74.75,79.75,67.25
2020-06-14,83.5,92.0,84.25,94.5,92.25,85.75,88.25,92.0,95.25
2020-06-21,63.25,90.5,55.25,51.5,84.5,49.5,70.0,72.5,74.75
2020-06-28,64.75,57.5,66.25,67.25,48.5,55.25,50.5,54.75,64.75
2020-07-05,72.75,57.25,60.25,65.25,60.25,55.75,54.0,70.5,67.5
2020-07-12,59.0,79.0,60.5,58.25,70.75,55.25,70.75,63.75,74.25
2020-07-19,73.5,53.25,78.0,72.25,53.5,77.5,66.75,55.25,71.25
2020-07-26,32.5,62.0,37.0,33.75,50.0,39.25,54.25,54.0,42.0
2020-08-02,46.5,60.0,48.5,48.75,57.25,40.25,50.25,49.75,45.5
2020-08-09,71.5,44.0,64.25,63.25,38.25,62.5,47.5,44.75,57.5
2020-08-16,26.5,30.25,32.25,36.5,23.25,24.5,34.5,36.5,33.75
2020-08-23,39.0,24.5,34.0,32.5,24.0,36.25,28.5,28.25,30.75
2020-08-30,32.75,19.5,26.75,39.0,27.25,29.25,26.75,16.75,30.25
2020-09-06,19.75,21.0,19.75,26.0,16.5,14.5,22.75,18.5,20.75
2020-09-13,22.5,18.0,19.5,17.5,15.75,18.0,21.25,19.25,17.0
2020-09-20,18.0,17.75,20.75,18.75,19.25,28.25,29.5,21.5,22.0
2020-09-27,13.25,17.0,13.75,19.0,21.5,6.75,20.5,28.25,22.0
2020-10-04,11.75,12.0,12.0,9.0,11.0,8.25,10.0,10.5,17.25
2020-10-11,10.5,10.5,12.0,10.5,8.0,15.75,15.5,10.75,9.75
2020-10-18,4.75,19.0,2.75,4.75,9.75,4.5,13.0,17.75,16.0
2020-10-25,13.5,6.25,19.75,15.0,9.5,9.0,11.25,11.5,9.25
2020-11-01,10.5,14.0,9.5,13.0,15.25,9.75,17.0,24.75,12.5
2020-11-08,19.75,14.0,15.25,17.25,19.25,15.5,20.5,16.75,14.5
2020-11-15,13.25,14.5,16.75,25.25,12.25,19.25,17.75,10.75,14.25
2020-11-22,7.75,12.25,7.0,15.5,10.0,10.0,15.0,13.5,14.75
2020-11-29,23.5,12.0,18.25,27.5,9.25,25.75,16.25,13.0,13.75
2020-12-06,15.25,15.0,15.75,21.75,16.5,11.5,12.0,16.25,14.25
2020-12-13,29.5,31.75,30.75,32.25,25.25,26.0,26.75,42.75,28.0
2020-12-20,29.75,29.75,34.75,31.75,31.0,30.75,25.25,28.0,28.25
2020-12-27,54.0,25.75,47.25,43.25,27.25,42.25,42.0,22.5,37.25
2021-01-03,31.0,31.5,34.0,30.75,40.25,32.25,39.0,45.75,49.5
2021-01-10,32.5,37.75,46.0,44.75,36.75,45.75,30.25,31.75,36.75
2021-01-17,36.25,50.25,42.0,37.25,47.75,33.5,41.5,44.75,49.75
2021-01-24,67.75,63.25,76.0,71.0,68.0,66.0,59.75,62.75,70.0
2021-01-31,71.25,59.75,74.5,76.25,43.25,68.0,71.25,44.75,66.25
2021-02-07,44.5,59.0,41.75,39.75,64.0,25.75,63.5,66.5,46.5
2021-02-14,36.75,29.75,49.0,50.0,46.5,45.5,35.25,34.0,54.0
