fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,2.25,5.25,7.75,5.0,7.25,5.0,4.5,8.0,0.0
2020-03-15,39.5,12.75,31.0,36.0,14.0,20.5,26.75,13.0,28.75
2020-03-22,17.0,6.75,6.75,10.75,8.75,4.5,12.0,9.0,10.5
2020-03-29,20.0,28.0,22.25,10.75,19.0,17.25,12.75,20.75,20.25
2020-04-05,24.75,42.25,37.75,21.75,43.5,31.25,20.0,47.75,40.5
2020-04-12,97.75,68.75,87.5,69.25,53.5,89.0,87.25,88.5,77.5
2020-04-19,89.75,85.25,82.25,81.75,86.0,79.25,66.0,90.25,92.25
2020-04-26,48.5,89.75,63.5,70.0,81.75,65.5,43.0,80.5,84.5
2020-05-03,61.5,79.25,54.5,63.25,77.5,65.75,60.5,73.75,68.75
2020-05-10,29.25,54.25,46.25,45.25,66.75,30.5,54.25,49.25,67.0
2020-05-17,73.5,47.5,76.25,90.0,46.5,66.75,48.0,46.25,68.75
2020-05-24,48.75,57.25,57.0,38.0,64.25,57.75,57.25,76.75,67.0
2020-05-31,61.75,42.75,62.5,66.25,44.5,60.75,39.75,35.25,58.5
2020-06-07,22.75,28.5,31.5,40.75,19.75,37.25,36.75,44.0,35.75
2020-06-14,46.25,21.75,60.5,54.0,24.5,48.75,23.0,15.25,31.25
2020-06-21,24.75,61.75,25.75,22.75,52.5,19.25,31.5,56.0,39.25
2020-06-28,52.0,17.25,39.0,30.0,33.75,36.25,32.0,37.0,38.5
2020-07-05,15.25,37.75,14.5,9.0,19.75,19.0,11.5,13.25,21.0
2020-07-12,26.75,22.25,34.25,29.75,11.75,36.75,35.0,21.0,23.25
2020-07-19,25.0,27.25,18.0,25.0,30.5,24.0,23.0,22.75,14.25
2020-07-26,41.5,22.75,51.0,48.75,14.5,40.75,43.5,22.5,27.75
2020-08-02,43.5,35.75,33.5,46.5,26.75,56.75,58.5,41.5,44.25
2020-08-09,30.0,19.75,32.75,11.0,13.5,59.25,40.5,29.0,41.5
2020-08-16,59.0,26.5,48.5,41.0,48.75,31.75,55.25,29.25,50.75
2020-08-23,35.75,31.25,33.75,40.0,35.75,28.75,30.25,37.25,38.25
2020-08-30,19.0,25.75,19.75,31.0,15.0,31.0,19.75,31.5,17.25
2020-09-06,4.75,18.5,10.75,12.0,6.75,17.25,10.75,16.0,18.5
2020-09-13,10.25,33.0,16.5,19.75,39.75,12.75,29.0,32.25,32.0
2020-09-20,39.5,10.75,41.0,32.0,5.0,36.0,28.5,4.5,28.0
2020-09-27,12.0,20.75,17.0,18.25,24.25,16.25,16.5,16.0,18.75
2020-10-04,5.0,5.75,12.75,14.5,19.0,9.25,19.0,9.5,17.75
2020-10-11,25.25,20.0,16.25,15.5,17.75,21.5,9.5,17.0,19.0
2020-10-18,16.25,35.25,31.0,19.75,25.0,15.5,11.25,32.25,23.0
2020-10-25,11.5,19.0,6.25,7.75,20.75,12.0,0.0,18.0,18.5
2020-11-01,9.0,26.0,12.0,12.0,24.75,10.25,11.0,35.25,20.5
2020-11-08,17.0,32.75,16.0,11.5,31.0,22.75,20.0,46.0,27.25
2020-11-15,19.0,9.75,16.25,19.25,3.25,25.25,1.75,8.0,19.5
2020-11-22,20.25,16.25,30.25,18.0,20.0,28.75,12.75,21.25,19.0
2020-11-29,13.75,35.25,22.5,16.25,25.5,22.75,23.25,23.0,18.75
2020-12-06,33.5,26.25,28.25,32.0,16.75,19.0,18.75,19.0,29.5
2020-12-13,4.0,29.75,2.5,4.0,20.0,0.0,6.25,21.25,10.0
2020-12-20,4.75,35.5,5.75,8.0,37.25,13.0,26.5,54.5,27.0
2020-12-27,41.75,32.75,35.75,39.5,36.0,29.5,33.5,24.75,44.5
2021-01-03,43.0,47.5,50.75,77.25,47.75,80.5,44.75,37.0,61.0
2021-01-10,7.0,69.25,14.0,5.5,38.25,7.75,23.0,40.75,38.5
2021-01-17,56.0,37.75,44.5,59.75,35.25,58.25,66.25,42.75,52.75
2021-01-24,46.0,36.75,48.75,37.5,44.0,48.0,51.75,38.5,48.5
2021-01-31,36.75,42.0,38.75,33.0,44.5,21.75,24.5,73.5,43.75
2021-02-07,52.75,10.5,49.0,56.5,15.75,36.75,47.75,13.5,33.25
2021-02-14,54.5,21.25,33.25,34.25,55.0,25.0,12.75,34.25,28.0
