,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24
0,0.0,15.25,0.0,0.0,8.75,0.0,27.0,35.5,4.0,40.0,24.25,31.5,0.0,18.25,0.0,38.0,4.0,31.25,32.0,43.75,62.75,99.5,29.25,16.5,30.25,26.75,4.0,10.5,0.0,13.75,0.0,4.25,0.0,0.0,13.5,0.0,4.25,11.0,0.0,11.25,16.5,5.25,22.25,34.25,18.5,12.25,64.5,9.25,17.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,7.5,0.0,22.0,14.25,39.0,19.75,15.75,0.0,29.5,30.75,8.25,5.75,0.0,17.5,7.5,6.5,47.0,43.5,65.25,58.25,76.25,8.25,39.0,3.0,3.5,15.25,0.0,0.0,14.75,8.5,0.0,0.0,0.0,12.75,12.75,12.0,0.0,0.0,0.0,7.5,16.75,29.75,17.0,10.0,16.75,21.5,0.0,23.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,13.75,0.0,0.0,8.25,0.0,34.25,44.5,6.75,37.75,28.25,40.5,0.0,13.0,19.25,28.75,32.0,20.5,45.25,42.75,66.0,75.0,48.25,45.5,22.0,11.75,9.5,12.75,0.0,24.5,0.0,4.5,0.0,0.0,11.0,0.0,18.0,4.5,0.0,8.0,30.75,17.75,28.0,14.5,23.0,13.0,50.75,4.75,13.75,0.0,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,5.25,0.0,25.75,23.25,0.0,21.25,29.0,32.75,0.0,12.75,4.5,19.25,29.25,27.75,50.25,26.75,62.25,81.75,32.5,32.25,27.75,25.25,5.25,4.0,0.0,18.75,0.0,13.5,0.0,0.0,14.0,0.0,4.25,4.25,0.0,4.25,25.0,18.5,19.25,33.75,27.75,0.0,29.5,7.25,19.0,0.0,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,23.0,0.0,19.5,11.75,32.25,41.5,68.0,0.0,46.75,22.0,16.0,19.0,0.0,50.0,0.0,4.25,45.0,57.0,74.75,71.75,53.75,21.5,51.75,5.25,6.0,14.75,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.75,5.0,0.0,0.0,5.25,17.5,13.5,14.25,43.75,34.0,34.75,40.75,6.5,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,7.0,0.0,0.0,14.5,0.0,41.5,23.5,5.0,40.25,10.75,30.0,0.0,17.25,18.75,33.5,40.5,28.5,32.25,36.75,74.75,65.25,50.0,49.5,20.75,18.0,9.5,6.25,0.0,31.0,0.0,5.0,0.0,0.0,21.75,0.0,5.0,9.75,0.0,11.5,7.25,17.25,57.0,14.0,34.0,13.0,70.25,13.25,19.0,0.0,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,6.75,0.0,0.0,3.75,0.0,57.75,28.25,15.0,24.75,17.0,20.5,2.75,9.0,10.5,45.0,30.75,28.5,44.0,24.75,96.75,46.5,65.0,42.75,14.75,26.0,13.75,12.75,0.0,37.25,0.0,3.0,0.0,0.0,4.75,0.0,12.25,4.75,0.0,11.25,13.5,11.75,28.25,29.0,15.25,4.25,43.0,17.25,14.5,3.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,15.0,0.0,44.5,22.0,38.0,0.0,15.75,23.75,6.25,15.5,0.0,20.5,0.0,7.5,43.25,74.5,85.5,39.75,98.5,43.0,40.0,5.25,0.0,15.5,0.0,0.0,13.25,0.0,0.0,6.0,0.0,8.5,9.0,8.5,0.0,0.0,0.0,14.0,0.0,23.75,37.75,17.25,22.25,23.0,0.0,41.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,6.5,0.0,0.0,19.25,12.0,59.0,44.0,21.5,16.75,19.0,24.25,9.5,10.25,11.0,39.25,20.5,4.25,59.5,35.5,70.0,49.0,53.5,44.0,30.75,17.75,6.25,14.25,0.0,17.0,10.5,10.25,0.0,0.0,11.25,5.5,0.0,5.5,0.0,0.0,5.25,6.5,21.0,37.75,28.0,23.25,57.0,8.25,7.25,27.0,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.0,5.0,5.5,34.75,0.0,32.0,37.0,50.0,7.75,31.25,17.75,18.0,10.5,3.75,23.25,7.25,15.75,48.5,42.25,55.0,63.75,84.0,31.75,32.0,34.75,18.75,16.75,4.25,0.0,6.75,7.75,0.0,11.5,0.0,3.75,10.5,12.5,0.0,4.5,0.0,3.75,9.0,12.75,17.25,12.25,11.25,14.75,11.25,41.25,0.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
