fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,21.0,0.0,0.0,33.25,0.0,8.5,35.75
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
2020-04-12,56.0,17.25,17.0,21.5,32.0,35.75,10.75,12.25
2020-04-19,53.25,38.0,42.25,45.0,60.5,31.25,18.5,29.25
2020-04-26,34.75,26.25,0.0,14.25,7.75,17.0,27.5,20.0
2020-05-03,13.5,26.75,14.25,4.75,39.75,23.0,25.5,44.0
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0
2020-05-17,0.0,0.0,0.0,0.0,6.5,0.0,16.0,26.25
2020-05-24,17.25,29.5,20.25,20.25,46.25,19.25,8.75,18.0
2020-05-31,0.0,27.75,0.0,0.0,8.5,0.0,21.0,16.0
2020-06-07,0.0,14.75,0.0,0.0,5.25,0.0,0.0,7.75
2020-06-14,14.5,7.25,6.25,15.25,11.0,5.5,13.0,5.0
2020-06-21,26.0,32.75,27.0,25.75,11.75,24.0,23.5,26.25
2020-06-28,9.0,0.0,17.25,13.25,7.75,21.75,35.25,22.0
2020-07-05,51.5,21.75,28.75,37.0,12.5,31.0,36.0,6.0
2020-07-12,35.25,67.0,29.5,24.0,33.0,25.5,50.0,40.5
2020-07-19,0.0,7.75,19.25,19.5,0.0,6.25,15.0,9.0
2020-07-26,16.0,36.25,28.25,22.25,32.25,8.5,13.5,28.0
2020-08-02,50.0,25.5,70.5,39.0,31.75,61.25,55.25,26.75
2020-08-09,43.5,63.0,37.5,25.75,44.0,49.5,31.0,11.0
2020-08-16,47.75,52.75,48.25,28.75,29.0,61.0,36.5,49.5
2020-08-23,29.25,19.25,45.0,14.5,16.5,30.25,25.5,16.75
2020-08-30,6.5,0.0,24.0,23.0,0.0,16.25,17.5,0.0
2020-09-06,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2020-09-13,0.0,22.5,0.0,0.0,32.75,0.0,16.75,45.25
2020-09-20,0.0,16.25,0.0,0.0,0.0,0.0,5.25,8.75
2020-09-27,26.25,19.25,15.25,10.25,20.75,32.5,7.5,6.5
2020-10-04,19.75,8.75,9.0,8.0,17.5,7.0,0.0,28.75
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.5
2020-11-08,0.0,9.0,0.0,0.0,19.25,0.0,0.0,6.25
2020-11-15,16.25,0.0,32.5,10.0,0.0,29.75,18.5,0.0
2020-11-22,27.0,0.0,7.75,4.75,0.0,6.5,7.0,0.0
2020-11-29,9.5,0.0,21.25,18.25,0.0,9.0,6.75,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,16.5,8.75,0.0,5.0,23.25,22.25,0.0,10.0
2020-12-20,8.0,0.0,19.5,13.0,0.0,0.0,13.25,0.0
2020-12-27,28.25,12.5,59.25,61.75,9.25,45.0,13.75,0.0
2021-01-03,0.0,85.25,0.0,0.0,59.75,0.0,28.0,47.25
2021-01-10,0.0,11.5,0.0,0.0,53.0,0.0,19.5,33.5
2021-01-17,59.25,37.25,22.5,41.5,20.75,28.5,69.25,13.5
2021-01-24,17.5,12.25,34.75,7.75,13.25,38.25,37.75,8.0
2021-01-31,40.25,30.25,43.25,12.0,30.75,32.5,24.25,91.25
2021-02-07,51.25,42.0,33.75,65.5,45.5,66.0,21.0,20.75
2021-02-14,41.25,62.75,78.25,67.75,60.5,62.0,39.75,37.0
