,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21
0,0.0,0.0,10.0,15.25,13.5,47.0,51.0,86.5,75.25,77.5,52.25,81.25,47.5,53.25,58.25,30.25,16.75,28.0,29.5,23.0,18.75,28.5,34.5,23.25,44.75,25.25,19.75,22.75,28.0,11.5,18.5,10.5,31.75,21.75,9.0,12.25,6.5,3.25,11.75,8.25,22.75,28.5,30.75,22.75,49.0,43.75,32.0,38.0,10.25,26.0,38.25,
1,0.0,2.5,14.25,18.5,36.5,36.25,93.0,75.25,88.5,62.75,84.25,75.75,47.75,46.5,24.75,45.25,53.0,36.25,17.0,43.25,18.0,38.25,26.75,35.25,35.5,43.5,27.25,17.25,20.0,10.75,4.5,9.75,33.75,22.25,16.5,20.25,9.75,10.75,29.0,7.0,14.0,50.25,48.0,35.5,42.5,74.0,43.75,27.75,57.25,23.75,31.0,
2,0.0,0.0,9.5,9.5,18.5,40.5,75.25,82.75,77.0,91.25,68.75,95.5,72.5,65.25,63.0,45.0,31.25,43.0,35.25,28.25,34.25,40.0,31.0,40.5,50.25,31.75,19.75,42.25,41.75,9.5,20.75,13.0,25.75,23.0,3.5,11.25,11.5,6.25,17.75,12.0,27.75,53.75,35.0,17.0,44.0,38.75,41.0,57.0,21.75,26.5,40.5,
3,0.0,0.0,5.5,8.0,14.5,46.75,67.75,79.5,66.75,73.75,58.75,94.0,58.75,53.0,58.5,39.75,23.25,35.75,30.75,24.5,29.5,29.75,27.75,22.0,53.0,32.5,31.5,29.5,30.5,10.5,15.75,9.5,16.75,15.75,12.0,11.0,9.5,10.0,14.5,4.75,16.25,50.0,31.5,22.75,35.0,27.75,44.25,44.0,16.0,14.75,43.0,
4,0.0,8.25,5.25,12.0,41.5,30.75,85.25,69.75,82.0,77.5,76.75,56.25,40.25,50.0,27.0,46.0,50.25,42.0,21.25,38.5,30.75,43.25,31.25,38.75,30.5,43.75,20.25,17.75,18.75,9.5,12.0,15.5,26.5,12.5,11.75,19.75,20.25,19.0,21.25,8.75,15.25,44.0,64.5,36.75,34.0,47.25,39.5,20.0,39.5,31.0,20.0,
5,0.0,0.0,2.75,10.75,20.25,63.25,63.25,70.25,80.25,82.0,67.25,84.75,70.0,71.75,60.75,32.0,23.75,32.5,34.75,25.25,28.5,48.25,29.25,45.5,36.0,26.0,26.0,23.5,31.25,13.25,14.25,9.75,21.5,23.0,5.0,11.75,11.5,9.5,17.0,9.25,27.75,51.0,45.25,29.25,50.25,52.5,41.0,58.0,18.25,23.5,30.5,
6,0.0,0.0,15.75,2.0,11.5,41.5,72.0,73.0,76.75,87.5,67.0,62.5,76.75,61.25,45.75,42.75,42.5,28.25,27.0,21.75,33.5,42.5,24.5,29.25,43.75,43.0,17.0,33.0,20.5,15.0,20.5,13.75,27.25,25.0,11.25,10.0,13.25,10.5,13.75,3.25,19.25,63.25,19.75,32.5,36.5,32.25,33.25,62.25,23.5,24.0,13.25,
7,0.0,0.0,21.25,7.5,28.0,47.5,96.25,79.0,92.75,66.75,55.5,35.75,62.0,52.75,39.75,57.0,58.75,37.25,21.5,33.5,27.5,43.75,21.25,41.75,31.5,45.25,36.5,13.5,14.25,8.5,12.0,19.5,16.5,12.25,19.0,19.5,17.0,15.5,38.0,17.0,22.5,37.0,42.25,38.75,30.0,52.0,42.5,41.25,53.5,23.75,17.25,
8,0.0,0.0,21.25,11.25,31.5,36.25,79.75,60.25,94.0,69.0,82.25,68.75,32.5,48.25,19.5,40.5,45.0,37.25,5.25,44.25,19.25,28.25,25.25,28.5,33.0,27.5,33.5,15.0,16.25,9.5,14.0,15.0,37.75,9.25,16.5,14.25,17.5,29.25,20.75,13.25,24.75,55.75,49.75,27.25,32.5,39.0,44.75,28.5,20.75,24.25,17.25,
9,,2.75,5.75,8.5,21.25,49.75,69.0,75.5,94.0,82.0,69.75,83.0,70.0,64.0,39.25,53.5,45.5,33.75,27.0,34.25,28.75,47.25,29.75,34.5,37.0,34.75,21.5,21.5,24.5,16.0,13.25,15.0,25.25,26.25,18.75,17.5,3.75,20.5,15.0,16.5,13.0,43.0,45.0,49.25,41.0,51.25,33.5,54.5,38.0,28.0,21.25,39.75
10,,0.0,16.5,9.75,30.25,33.5,70.25,69.25,93.5,75.5,84.75,68.75,67.75,51.75,28.25,63.0,53.75,35.5,15.5,37.25,30.0,40.5,21.75,30.75,42.0,32.0,28.75,11.75,20.0,11.0,8.75,11.75,29.5,6.75,14.25,14.5,13.75,17.75,16.25,13.25,13.25,38.5,47.75,35.25,26.75,59.25,29.0,40.0,45.75,35.75,16.25,42.25
