fecha,0,1,2,3,4,5,6,7,8
2020-03-01,14.5,0.0,11.25,3.25,0.0,5.25,6.0,0.0,4.25
2020-03-08,0.0,4.5,0.0,0.0,4.25,0.0,6.25,27.25,5.0
2020-03-15,11.0,0.0,8.25,18.75,0.0,6.0,6.5,0.0,8.5
2020-03-22,9.25,0.0,12.0,12.25,0.0,13.75,8.5,0.0,0.0
2020-03-29,4.0,14.0,9.5,3.0,16.0,9.0,0.0,0.0,0.0
2020-04-05,16.0,0.0,26.0,10.25,0.0,11.75,4.75,0.0,6.0
2020-04-12,38.25,19.5,48.75,45.75,6.25,50.75,31.0,13.25,40.75
2020-04-19,15.25,46.5,8.25,5.0,39.75,11.0,24.25,37.25,38.75
2020-04-26,12.5,20.0,7.75,5.0,23.5,11.0,8.75,27.5,22.25
2020-05-03,16.5,12.25,21.5,11.0,13.75,25.5,23.75,25.75,8.25
2020-05-10,34.75,25.0,44.5,41.0,40.0,47.75,26.5,16.5,28.5
2020-05-17,41.25,30.25,29.0,27.25,21.0,42.5,32.0,28.25,25.25
2020-05-24,59.25,84.5,62.25,69.5,82.0,71.5,77.25,99.25,46.5
2020-05-31,85.75,56.25,80.5,57.0,64.25,86.75,61.0,68.75,44.5
2020-06-07,80.5,29.75,71.5,80.25,46.25,78.75,69.0,20.25,39.5
2020-06-14,67.75,82.5,70.25,56.0,54.5,87.0,89.0,46.25,85.75
2020-06-21,40.0,77.75,68.25,42.75,56.0,52.25,47.25,71.5,52.0
2020-06-28,21.5,75.0,25.0,39.75,70.25,33.25,22.75,73.0,50.75
2020-07-05,20.5,37.0,33.25,36.25,39.25,22.25,30.0,29.25,39.5
2020-07-12,38.5,50.75,71.0,85.25,57.75,52.0,51.75,51.25,56.25
2020-07-19,16.25,36.75,32.25,36.0,18.75,30.75,30.0,26.75,35.25
2020-07-26,42.25,13.5,27.75,21.25,24.5,26.25,46.0,9.5,14.0
2020-08-02,9.5,29.5,3.5,11.75,29.25,0.0,10.75,19.25,13.75
2020-08-09,14.25,20.0,20.25,16.5,10.5,26.25,5.25,11.0,32.25
2020-08-16,11.75,17.5,27.0,22.75,15.5,18.25,15.0,7.5,24.75
2020-08-23,17.0,0.0,9.25,15.5,3.5,17.75,5.0,7.0,3.0
2020-08-30,0.0,5.5,9.25,0.0,3.5,4.5,12.5,0.0,3.75
2020-09-06,0.0,12.0,0.0,0.0,12.0,0.0,5.25,11.5,4.75
2020-09-13,0.0,33.0,0.0,7.75,31.75,4.5,15.5,21.75,11.5
2020-09-20,10.0,21.25,8.75,6.25,45.0,8.75,22.0,25.25,21.5
2020-09-27,11.75,9.25,14.25,13.0,12.25,0.0,12.75,3.5,7.75
2020-10-04,12.5,14.75,31.25,14.0,15.5,14.75,34.5,21.5,11.5
2020-10-11,0.0,3.0,8.5,14.75,7.25,9.5,12.5,3.5,3.75
2020-10-18,5.0,5.25,5.0,0.0,9.0,5.75,5.5,3.75,0.0
2020-10-25,0.0,16.25,0.0,0.0,5.25,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,4.0,0.0,8.25,6.5,0.0,5.0,5.25,0.0,6.75
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,8.0,15.25,0.0,8.5,7.25,0.0,0.0,4.25,9.25
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,3.25,0.0,0.0,5.25,0.0,0.0,11.25,5.25
2020-12-13,5.0,3.25,9.0,12.0,5.25,4.75,0.0,8.0,8.5
2020-12-20,0.0,0.0,0.0,0.0,9.25,0.0,7.0,14.75,0.0
2020-12-27,0.0,18.25,0.0,0.0,12.0,0.0,7.25,10.75,5.5
2021-01-03,0.0,22.25,0.0,0.0,41.0,0.0,0.0,13.5,21.75
2021-01-10,9.75,5.0,20.0,3.75,9.0,29.5,13.0,0.0,9.25
2021-01-17,4.75,39.5,12.25,3.25,53.75,0.0,25.0,17.0,21.75
2021-01-24,17.5,12.75,44.5,25.0,4.0,26.75,13.75,8.0,4.25
2021-01-31,30.75,37.0,27.5,18.25,20.75,22.25,45.5,16.25,54.25
2021-02-07,26.25,25.0,6.75,11.75,37.0,9.75,13.5,4.25,13.25
2021-02-14,39.25,18.25,17.25,28.5,35.0,23.0,39.5,39.0,18.0
