,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18
0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,22.5,11.5,0.0,52.0,18.25,0.0,11.0,0.0,12.0,54.0,48.25,25.0,0.0,69.0,27.0,0.0,36.25,23.75,0.0,0.0,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,23.5,23.75,35.75,0.0,0.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,20.0,42.5,0.0,9.75,0.0,21.75,30.5,39.75,67.25,0.0,44.0,0.0,0.0,14.75,64.25,13.75,53.75,,,,,,,,
2,5.75,13.25,5.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,25.25,0.0,0.0,0.0,27.25,19.5,0.0,5.5,0.0,0.0,0.0,15.0,5.75,0.0,0.0,0.0,61.5,37.0,16.0,0.0,8.25,15.75,0.0,17.25,22.0,53.5,43.25,28.25,0.0,25.0,59.0,50.5,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,13.0,23.75,45.5,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.5,21.0,10.75,34.75,0.0,10.0,0.0,33.5,36.25,30.5,29.5,0.0,25.75,14.75,0.0,27.75,39.75,27.0,53.75,,,,,,,,
4,16.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,12.0,0.0,0.0,0.0,10.25,10.75,0.0,0.0,0.0,0.0,10.75,9.5,32.25,11.5,22.5,19.5,81.75,24.0,35.25,19.5,21.25,23.5,14.5,45.75,24.5,42.75,0.0,0.0,0.0,39.75,33.5,39.25,,,,,,,,
5,23.5,0.0,0.0,0.0,14.25,10.75,22.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.0,21.0,0.0,59.25,21.75,22.75,13.75,60.75,11.0,11.75,22.5,24.0,13.5,47.75,30.75,0.0,23.25,28.5,0.0,27.0,66.25,55.0,29.0,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,33.25,0.0,0.0,23.25,32.25,0.0,9.25,0.0,13.0,55.25,90.5,0.0,0.0,34.75,39.5,0.0,21.75,25.25,0.0,0.0,,,,,,,,
7,21.25,0.0,0.0,0.0,34.5,20.5,9.25,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,0.0,20.0,19.75,30.25,32.25,63.5,10.5,10.25,0.0,0.0,11.25,39.0,60.5,0.0,33.75,0.0,0.0,11.25,24.0,12.5,85.5,,,,,,,,
8,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,9.5,0.0,27.75,7.0,17.5,10.5,11.0,11.25,10.0,7.0,27.25,18.5,55.75,34.0,0.0,7.5,25.0,0.0,0.0,58.0,25.0,61.25,,,,,,,,
9,10.75,0.0,0.0,0.0,12.5,9.25,10.25,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,28.75,0.0,31.75,20.25,11.25,0.0,73.0,22.25,0.0,20.75,10.0,33.75,38.75,75.5,0.0,36.75,38.25,0.0,0.0,57.5,27.5,48.25,,,,,,,,
10,8.25,18.25,9.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,19.0,0.0,0.0,0.0,10.5,0.0,0.0,9.75,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,73.25,56.0,37.5,21.0,11.75,0.0,0.0,71.75,32.75,6.0,42.25,22.5,0.0,36.75,65.75,24.5,25.25,,,,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,20.75,31.0,0.0,43.75,11.5,0.0,10.25,0.0,31.5,34.5,65.0,13.75,0.0,24.25,63.25,0.0,71.25,12.75,0.0,0.0,0.0,,,,,,,
