,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25,0.0,48.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,9.0,0.0,20.0,50.75,19.5,31.0,0.0,22.25,0.0,33.0,25.0,0.0,0.0,21.75,58.75,76.25,31.0,0.0,0.0,22.25,,,,
1,0.0,50.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,24.0,30.25,0.0,0.0,0.0,0.0,0.0,0.0,10.5,11.0,0.0,32.5,0.0,20.5,19.5,0.0,33.0,0.0,11.5,57.75,0.0,0.0,0.0,45.0,38.5,56.0,43.25,0.0,0.0,22.25,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,27.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,9.0,12.0,20.0,50.75,19.5,31.0,11.5,22.25,0.0,47.25,25.0,0.0,0.0,21.75,48.25,78.25,32.5,0.0,0.0,22.25,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,45.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,0.0,23.75,0.0,0.0,21.5,20.75,73.75,0.0,12.5,0.0,0.0,15.25,14.75,0.0,61.75,63.75,80.25,23.75,0.0,13.0,39.0,,,,
4,0.0,54.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,16.25,25.5,11.75,0.0,0.0,0.0,0.0,0.0,38.0,35.25,24.25,0.0,10.75,23.25,0.0,0.0,8.25,34.25,0.0,9.0,38.0,28.5,0.0,14.0,15.0,0.0,62.25,56.25,0.0,48.5,0.0,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,0.0,0.0,12.75,23.25,38.5,0.0,23.5,0.0,23.0,13.5,43.5,0.0,13.25,38.75,0.0,0.0,0.0,25.75,41.5,,,,
6,0.0,56.5,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,50.25,11.5,0.0,0.0,0.0,0.0,0.0,0.0,34.75,0.0,0.0,24.5,0.0,0.0,0.0,39.0,13.25,0.0,0.0,86.25,0.0,0.0,0.0,0.0,28.5,88.5,24.5,0.0,27.75,0.0,,,,
7,0.0,46.0,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,35.5,0.0,0.0,0.0,11.75,0.0,13.25,42.25,24.25,25.0,0.0,31.25,0.0,0.0,13.75,0.0,12.5,25.5,11.0,38.25,0.0,35.75,0.0,36.5,12.0,23.75,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,13.0,0.0,0.0,59.25,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,30.25,0.0,12.25,0.0,22.0,21.5,9.75,47.25,21.25,54.0,25.75,22.5,73.25,14.5,33.0,0.0,13.0,0.0,0.0,35.25,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,22.0,0.0,19.0,34.0,0.0,22.75,0.0,50.5,19.5,54.25,51.25,0.0,0.0,0.0,60.75,89.0,34.0,0.0,36.75,62.0,36.25,,,
10,,52.5,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,0.0,46.0,48.75,0.0,0.0,0.0,0.0,0.0,39.0,91.0,20.75,0.0,0.0,12.5,0.0,0.0,0.0,12.0,0.0,26.25,46.75,0.0,0.0,30.25,0.0,15.25,25.25,0.0,0.0,0.0,0.0,52.0,,,
11,,39.75,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,14.75,24.0,46.5,0.0,0.0,0.0,0.0,0.0,12.0,64.75,0.0,0.0,22.75,45.25,0.0,0.0,61.0,33.75,0.0,47.0,12.0,0.0,0.0,13.5,0.0,0.0,87.5,48.5,0.0,0.0,0.0,26.5,,,
12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,20.0,0.0,0.0,28.5,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,6.75,0.0,31.25,0.0,29.0,9.5,10.0,9.75,30.75,90.0,20.75,0.0,54.75,52.5,0.0,7.25,7.5,0.0,0.0,52.0,,,
13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,23.5,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.25,9.75,0.0,17.25,0.0,12.25,0.0,22.0,39.25,10.5,57.75,39.25,11.5,50.75,33.75,25.25,6.25,7.25,0.0,0.0,43.5,34.75,,
14,,,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,67.25,0.0,0.0,0.0,0.0,0.0,0.0,47.5,51.25,12.5,0.0,31.0,20.25,0.0,0.0,22.0,11.75,0.0,12.25,66.5,25.0,0.0,51.0,0.0,0.0,68.25,58.25,0.0,12.75,0.0,37.25,0.0,,
