fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,5.25,6.25,4.75,13.25,8.25,11.5,1.5,3.25
2020-03-15,30.5,32.25,27.25,25.0,22.0,28.5,23.75,43.0
2020-03-22,26.0,34.25,29.5,34.5,23.25,26.25,25.75,35.5
2020-03-29,45.75,40.0,28.25,36.25,44.75,33.5,48.75,36.25
2020-04-05,18.0,33.0,16.5,16.25,20.0,23.25,24.5,20.0
2020-04-12,24.75,15.5,17.25,34.25,28.25,14.0,23.0,18.75
2020-04-19,21.75,25.0,24.5,25.25,24.0,24.25,29.75,24.25
2020-04-26,11.25,18.25,11.0,11.0,11.75,4.5,17.75,16.5
2020-05-03,4.75,8.75,7.25,5.75,9.75,9.5,9.75,9.25
2020-05-10,3.75,8.0,6.5,6.5,13.5,10.0,8.75,7.75
2020-05-17,12.75,6.75,10.0,11.25,8.5,6.25,5.0,7.75
2020-05-24,8.75,10.25,15.5,16.5,7.75,12.5,12.5,9.5
2020-05-31,1.75,9.25,1.5,1.75,3.5,1.25,2.5,3.0
2020-06-07,19.0,3.0,16.0,20.5,18.0,14.5,6.0,4.5
2020-06-14,15.75,10.0,10.25,13.25,18.75,12.0,8.75,14.5
2020-06-21,36.0,13.75,24.75,30.75,36.75,26.75,12.0,9.5
2020-06-28,25.0,24.0,12.0,20.5,24.5,22.25,26.75,31.25
2020-07-05,18.5,28.75,21.5,20.0,22.5,22.25,31.0,42.5
2020-07-12,29.25,49.5,20.0,22.75,13.25,14.0,29.25,40.25
2020-07-19,34.25,41.75,27.75,41.75,32.0,27.0,30.5,30.0
2020-07-26,47.5,32.25,31.0,30.75,41.25,37.75,38.5,37.25
2020-08-02,49.25,35.75,40.0,46.5,52.75,64.25,27.5,43.75
2020-08-09,80.25,42.0,73.25,70.75,77.5,61.25,41.5,42.0
2020-08-16,74.5,96.5,70.5,71.5,73.75,73.0,76.75,87.25
2020-08-23,77.25,78.25,80.5,54.25,70.0,75.75,56.75,84.0
2020-08-30,90.25,67.5,80.75,79.0,94.75,64.5,70.5,56.5
2020-09-06,64.25,55.0,39.5,39.5,35.25,48.0,72.75,81.25
2020-09-13,76.25,73.0,65.0,76.5,70.25,84.25,60.25,61.0
2020-09-20,34.75,47.25,19.25,36.5,35.75,32.25,36.75,47.75
2020-09-27,25.75,46.5,29.75,24.75,34.0,32.75,40.0,34.25
2020-10-04,30.0,23.0,24.0,25.5,31.75,23.5,27.25,35.5
2020-10-11,42.25,40.25,49.25,30.25,49.75,48.75,31.25,37.25
2020-10-18,31.0,22.5,30.25,31.75,39.5,28.25,17.75,29.25
2020-10-25,21.0,20.75,23.5,18.75,31.0,21.0,18.5,13.5
2020-11-01,28.0,16.5,31.75,21.0,33.25,25.0,20.25,11.25
2020-11-08,7.25,10.75,12.25,8.5,11.25,17.0,11.0,11.25
2020-11-15,29.75,4.75,25.25,28.0,29.0,22.75,17.0,9.5
2020-11-22,18.75,16.5,15.25,11.5,14.5,16.75,6.0,12.25
2020-11-29,10.0,11.5,11.0,8.75,3.0,4.75,12.75,3.25
2020-12-06,12.0,9.75,13.0,5.5,15.25,11.0,12.75,13.5
2020-12-13,22.25,19.25,24.5,25.5,17.25,15.0,6.25,7.0
2020-12-20,70.0,27.25,45.0,29.5,54.75,40.5,29.75,29.25
2020-12-27,43.0,44.25,35.0,31.0,44.75,40.75,32.25,16.25
2021-01-03,15.0,25.75,27.25,34.25,33.5,20.25,20.75,14.5
2021-01-10,23.0,19.25,20.25,21.75,20.0,17.25,16.5,32.25
2021-01-17,13.5,24.75,16.25,13.75,7.25,9.25,14.0,26.25
2021-01-24,24.0,20.0,13.5,26.75,28.75,18.0,19.5,4.75
2021-01-31,33.25,15.25,31.75,18.25,23.0,20.5,6.25,22.25
2021-02-07,21.25,14.5,15.5,19.25,15.75,19.25,16.25,16.75
2021-02-14,7.75,9.25,7.5,11.0,9.5,4.75,16.75,14.5
