,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02
0,0.0,0.0,28.5,0.0,30.5,36.75,12.25,21.25,12.5,21.5,37.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,19.75,47.0,35.5,24.25,0.0,0.0,43.75,25.0,33.5,62.5,22.5,0.0,45.75,0.0,11.25,11.0,0.0,0.0,24.25,0.0,44.25,0.0,0.0,0.0,0.0,0.0,51.75,11.75,0.0,,,,,,,,,,,
1,0.0,12.5,9.0,0.0,7.0,48.0,48.25,0.0,8.25,0.0,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,11.75,11.25,0.0,19.5,43.0,44.25,18.5,20.0,61.25,42.5,33.0,0.0,0.0,0.0,33.25,0.0,17.0,0.0,0.0,31.0,0.0,0.0,14.5,0.0,41.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,0.0,0.0,31.0,12.0,54.0,22.5,8.5,25.25,13.0,11.75,63.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,21.0,24.75,44.5,42.25,0.0,30.0,22.25,18.75,0.0,50.25,19.75,0.0,54.75,0.0,26.75,0.0,0.0,0.0,8.5,0.0,32.5,0.0,0.0,0.0,0.0,0.0,20.5,8.5,0.0,,,,,,,,,,,
3,0.0,0.0,0.0,10.5,23.25,26.0,0.0,46.5,0.0,33.25,60.5,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,36.75,23.0,11.25,46.5,0.0,13.0,36.5,52.75,25.5,34.5,0.0,0.0,69.25,0.0,55.0,21.0,0.0,0.0,36.25,0.0,43.25,0.0,0.0,0.0,0.0,0.0,22.75,12.25,0.0,,,,,,,,,,,
4,0.0,12.25,27.5,0.0,59.5,13.5,23.75,37.25,50.0,11.25,63.5,49.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,12.25,12.5,36.5,0.0,49.5,24.75,0.0,25.5,66.25,24.5,50.0,35.0,0.0,44.25,10.25,22.0,0.0,0.0,0.0,49.0,0.0,15.0,14.75,0.0,12.25,0.0,0.0,36.0,12.5,0.0,,,,,,,,,,,
5,0.0,0.0,14.75,24.0,40.75,13.25,24.25,13.0,0.0,23.0,33.5,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25,0.0,23.25,13.5,48.0,0.0,26.25,8.75,42.25,33.75,74.0,7.5,0.0,75.25,0.0,15.25,12.5,0.0,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,13.5,0.0,,,,,,,,,,,
6,0.0,0.0,17.5,0.0,20.75,29.75,16.0,30.5,0.0,0.0,14.25,8.75,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,16.5,13.25,14.0,30.25,7.75,0.0,17.0,75.0,11.75,64.25,7.75,0.0,7.0,6.75,15.25,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,22.25,0.0,0.0,8.75,0.0,0.0,,,,,,,,,,,
7,0.0,11.0,12.75,0.0,16.75,88.5,34.25,23.5,29.0,0.0,35.25,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,0.0,22.5,27.75,17.5,40.5,35.0,6.0,0.0,98.75,67.0,50.5,21.0,0.0,25.25,58.25,0.0,0.0,0.0,0.0,44.75,0.0,0.0,27.5,0.0,11.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,0.0,0.0,12.0,36.25,0.0,9.5,23.75,30.25,46.0,0.0,23.0,11.25,15.75,9.5,0.0,0.0,0.0,0.0,0.0,10.75,11.25,11.25,0.0,22.5,70.75,21.5,21.75,8.5,36.0,41.5,45.0,70.25,28.75,0.0,39.75,7.25,20.0,7.75,21.75,12.5,30.5,11.5,25.0,13.0,0.0,30.5,0.0,0.0,21.75,0.0,0.0,,,,,,,,,,,
9,0.0,0.0,24.75,12.75,42.0,25.0,34.75,23.0,0.0,0.0,10.25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,21.5,12.75,0.0,13.75,0.0,13.5,0.0,64.75,0.0,68.5,12.5,0.0,60.25,0.0,51.25,11.5,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,46.5,22.5,0.0,,,,,,,,,,,
10,0.0,7.75,18.5,0.0,8.25,43.5,17.0,25.5,7.5,7.5,16.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.5,17.0,15.5,0.0,7.5,7.25,0.0,0.0,54.5,16.5,89.5,15.0,0.0,23.25,6.25,23.25,29.75,0.0,0.0,0.0,0.0,29.25,8.75,0.0,7.25,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,
11,0.0,0.0,14.5,33.5,25.0,13.75,0.0,13.0,16.5,0.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,13.25,31.5,12.75,15.5,31.75,13.25,16.5,0.0,27.25,77.75,29.0,16.0,23.75,0.0,53.0,0.0,0.0,11.75,40.5,13.25,0.0,0.0,0.0,15.25,0.0,31.5,0.0,0.0,12.25,13.0,0.0,,,,,,,,,,,
12,,0.0,15.25,0.0,32.75,15.0,20.75,0.0,13.75,22.75,34.25,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,9.25,23.75,0.0,29.25,0.0,25.0,12.0,37.0,11.0,31.25,19.5,0.0,70.75,0.0,31.25,12.5,0.0,0.0,19.75,0.0,64.75,0.0,0.0,0.0,0.0,0.0,31.25,23.0,0.0,0.0,,,,,,,,,,
13,,32.75,8.25,0.0,24.0,8.5,48.0,32.5,16.5,0.0,16.5,0.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,7.5,23.25,8.25,8.25,31.5,57.75,0.0,41.0,92.25,47.5,55.5,30.5,0.0,13.75,20.25,0.0,0.0,0.0,0.0,15.75,0.0,0.0,9.25,0.0,40.5,0.0,0.0,0.0,0.0,0.0,29.75,,,,,,,,,,
14,,24.5,0.0,12.25,34.25,51.5,54.5,13.0,18.75,0.0,0.0,0.0,26.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.75,16.25,12.25,13.25,41.75,24.75,17.25,0.0,73.75,35.75,28.25,0.0,0.0,11.5,15.5,0.0,0.0,22.25,12.0,18.0,12.5,0.0,6.5,0.0,25.75,0.0,0.0,0.0,0.0,0.0,23.5,,,,,,,,,,
15,,11.5,12.75,11.25,22.0,40.0,0.0,12.0,25.75,11.25,0.0,46.25,21.25,20.25,0.0,0.0,0.0,0.0,0.0,12.5,21.75,22.25,12.25,0.0,13.75,11.0,24.5,0.0,51.25,50.75,0.0,59.0,11.5,0.0,32.75,11.5,11.25,0.0,33.0,24.0,11.75,0.0,0.0,0.0,0.0,12.0,0.0,0.0,25.0,0.0,0.0,25.0,,,,,,,,,,
16,,0.0,23.75,0.0,17.25,89.25,39.75,23.25,0.0,0.0,31.5,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,11.75,30.25,12.0,18.25,30.0,22.5,10.5,7.5,63.25,57.75,37.5,11.5,0.0,9.5,45.0,0.0,19.75,0.0,0.0,28.25,0.0,0.0,35.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
17,,0.0,23.25,0.0,40.0,6.25,26.5,17.0,34.75,0.0,39.0,41.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,13.5,5.75,45.25,5.5,13.5,5.75,5.5,30.75,37.25,26.5,56.5,57.0,0.0,38.0,0.0,10.25,28.5,0.0,0.0,11.5,0.0,25.0,0.0,0.0,5.5,0.0,0.0,20.5,20.25,0.0,5.25,,,,,,,,,,
